Date,PSTL
2019-05-15,11.949385643005371
2019-05-16,11.879096984863281
2019-05-17,11.879096984863281
2019-05-20,11.773660659790039
2019-05-21,11.801774024963379
2019-05-22,11.766632080078125
2019-05-23,11.583876609802246
2019-05-24,11.422204971313477
2019-05-28,11.415180206298828
2019-05-29,10.965319633483887
2019-05-30,11.246482849121094
2019-05-31,11.562788963317871
2019-06-03,11.211335182189941
2019-06-04,11.169160842895508
2019-06-05,10.431111335754395
2019-06-06,10.213210105895996
2019-06-07,11.119958877563477
2019-06-10,11.246482849121094
2019-06-11,11.211335182189941
2019-06-12,11.232421875
2019-06-13,11.049667358398438
2019-06-14,10.60683822631836
2019-06-17,10.613868713378906
2019-06-18,10.402995109558105
2019-06-19,10.613868713378906
2019-06-20,10.227270126342773
2019-06-21,10.431111335754395
2019-06-24,10.25538444519043
2019-06-25,10.26944351196289
2019-06-26,10.206181526184082
2019-06-27,10.726332664489746
2019-06-28,11.070754051208496
2019-07-01,11.042640686035156
2019-07-02,11.098871231079102
2019-07-03,10.895031929016113
2019-07-05,11.084814071655273
2019-07-08,11.21396255493164
2019-07-09,11.002243995666504
2019-07-10,11.101045608520508
2019-07-11,11.058703422546387
2019-07-12,11.11515998840332
2019-07-15,11.11515998840332
2019-07-16,11.101045608520508
2019-07-17,11.023415565490723
2019-07-18,11.002243995666504
2019-07-19,11.016358375549316
2019-07-22,10.727007865905762
2019-07-23,10.684669494628906
2019-07-24,10.592924118041992
2019-07-25,10.45883560180664
2019-07-26,10.402379035949707
2019-07-29,10.381205558776855
2019-07-30,10.649382591247559
2019-07-31,10.48000717163086
2019-08-01,10.437663078308105
2019-08-02,10.5082368850708
2019-08-05,10.056572914123535
2019-08-06,10.134202003479004
2019-08-07,10.09185791015625
2019-08-08,10.374146461486816
2019-08-09,10.162430763244629
2019-08-12,10.218889236450195
2019-08-13,10.225948333740234
2019-08-14,10.056572914123535
2019-08-15,10.515295028686523
2019-08-16,10.536466598510742
2019-08-19,10.691725730895996
2019-08-20,10.727007865905762
2019-08-21,10.698783874511719
2019-08-22,10.649382591247559
2019-08-23,10.804640769958496
2019-08-26,10.727007865905762
2019-08-27,10.550580024719238
2019-08-28,10.656439781188965
2019-08-29,10.698783874511719
2019-08-30,10.748184204101562
2019-09-03,10.705840110778809
2019-09-04,10.727007865905762
2019-09-05,10.748184204101562
2019-09-06,10.769355773925781
2019-09-09,10.727007865905762
2019-09-10,10.695252418518066
2019-09-11,10.5082368850708
2019-09-12,10.628211975097656
2019-09-13,10.48000717163086
2019-09-16,10.47647762298584
2019-09-17,10.677610397338867
2019-09-18,10.63526725769043
2019-09-19,10.734068870544434
2019-09-20,10.762299537658691
2019-09-23,10.727007865905762
2019-09-24,10.741127967834473
2019-09-25,10.797582626342773
2019-09-26,10.959900856018066
2019-09-27,10.945786476135254
2019-09-30,11.178675651550293
2019-10-01,11.093987464904785
2019-10-02,11.086930274963379
2019-10-03,11.037531852722168
2019-10-04,10.981072425842285
2019-10-07,11.072813987731934
2019-10-08,11.051643371582031
2019-10-09,11.002243995666504
2019-10-10,11.249247550964355
2019-10-11,11.27747631072998
2019-10-14,11.545652389526367
2019-10-15,11.962028503417969
2019-10-16,12.138460159301758
2019-10-17,11.962028503417969
2019-10-18,12.004371643066406
2019-10-21,11.983200073242188
2019-10-22,11.933799743652344
2019-10-23,11.842053413391113
2019-10-24,11.856172561645508
2019-10-25,11.919686317443848
2019-10-28,11.898513793945312
2019-10-29,11.736196517944336
2019-10-30,11.771483421325684
2019-10-31,11.856172561645508
2019-11-01,11.856172561645508
2019-11-04,11.83499813079834
2019-11-05,11.50330924987793
2019-11-06,11.616222381591797
2019-11-07,11.707967758178711
2019-11-08,11.439794540405273
2019-11-11,11.573881149291992
2019-11-12,11.192789077758789
2019-11-13,11.150444984436035
2019-11-14,11.39965534210205
2019-11-15,11.392537117004395
2019-11-18,11.413899421691895
2019-11-19,11.531383514404297
2019-11-20,11.570545196533203
2019-11-21,11.463739395141602
2019-11-22,11.42813777923584
2019-11-25,11.449501991271973
2019-11-26,11.42813777923584
2019-11-27,11.32845687866211
2019-11-29,11.292850494384766
2019-12-02,11.246570587158203
2019-12-03,11.11484432220459
2019-12-04,11.171806335449219
2019-12-05,11.285734176635742
2019-12-06,11.20740795135498
2019-12-09,11.321334838867188
2019-12-10,11.221650123596191
2019-12-11,11.349814414978027
2019-12-12,11.342695236206055
2019-12-13,11.321334838867188
2019-12-16,11.250129699707031
2019-12-17,11.214529991149902
2019-12-18,11.463739395141602
2019-12-19,11.59190559387207
2019-12-20,11.819756507873535
2019-12-23,11.862479209899902
2019-12-24,11.862479209899902
2019-12-26,11.80551815032959
2019-12-27,12.118813514709473
2019-12-30,11.962167739868164
2019-12-31,12.068968772888184
2020-01-02,11.520708084106445
2020-01-03,11.364056587219238
2020-01-06,11.442380905151367
2020-01-07,11.499342918395996
2020-01-08,11.819756507873535
2020-01-09,11.705830574035645
2020-01-10,11.670232772827148
2020-01-13,11.762796401977539
2020-01-14,11.7129545211792
2020-01-15,11.869599342346191
2020-01-16,11.99776554107666
2020-01-17,11.97640323638916
2020-01-21,11.570545196533203
2020-01-22,11.677351951599121
2020-01-23,11.641749382019043
2020-01-24,11.641749382019043
2020-01-27,11.59190559387207
2020-01-28,11.641749382019043
2020-01-29,11.606149673461914
2020-01-30,11.748553276062012
2020-01-31,11.874585151672363
2020-02-03,11.798396110534668
2020-02-04,11.727192878723145
2020-02-05,11.648870468139648
2020-02-06,11.54206371307373
2020-02-07,11.32845687866211
