Date,HXL
2010-01-04,12.51172924041748
2010-01-05,12.94603157043457
2010-01-06,12.687296867370605
2010-01-07,12.678055763244629
2010-01-08,12.659574508666992
2010-01-11,12.899832725524902
2010-01-12,12.557931900024414
2010-01-13,12.751982688903809
2010-01-14,12.84438705444336
2010-01-15,12.428563117980957
2010-01-19,12.530208587646484
2010-01-20,11.975774765014648
2010-01-21,11.495261192321777
2010-01-22,11.116400718688965
2010-01-25,11.449064254760742
2010-01-26,11.310452461242676
2010-01-27,11.4860258102417
2010-01-28,10.848423957824707
2010-01-29,10.164623260498047
2010-02-01,10.072216987609863
2010-02-02,10.09070110321045
2010-02-03,9.915128707885742
2010-02-04,9.416136741638184
2010-02-05,9.36069393157959
2010-02-08,9.554743766784668
2010-02-09,9.721076965332031
2010-02-10,9.600950241088867
2010-02-11,9.813481330871582
2010-02-12,10.044495582580566
2010-02-16,10.044495582580566
2010-02-17,10.238547325134277
2010-02-18,10.349432945251465
2010-02-19,10.349432945251465
2010-02-22,10.349432945251465
2010-02-23,10.164623260498047
2010-02-24,10.247790336608887
2010-02-25,10.192344665527344
2010-02-26,10.183106422424316
2010-03-01,10.580451011657715
2010-03-02,11.042478561401367
2010-03-03,11.255011558532715
2010-03-04,11.41209888458252
2010-03-05,11.81868839263916
2010-03-08,11.864887237548828
2010-03-09,12.086661338806152
2010-03-10,12.243751525878906
2010-03-11,12.410078048706055
2010-03-12,12.3453950881958
2010-03-15,12.354637145996094
2010-03-16,12.37311840057373
2010-03-17,12.410078048706055
2010-03-18,12.382357597351074
2010-03-19,12.8351469039917
2010-03-22,12.955272674560547
2010-03-23,13.14008617401123
2010-03-24,13.158567428588867
2010-03-25,13.214007377624512
2010-03-26,13.177050590515137
2010-03-29,13.177050590515137
2010-03-30,13.112363815307617
2010-03-31,13.343377113342285
2010-04-01,13.371098518371582
2010-04-05,13.315655708312988
2010-04-06,13.121604919433594
2010-04-07,13.001474380493164
2010-04-08,12.94603157043457
2010-04-09,13.056920051574707
2010-04-12,13.177050590515137
2010-04-13,13.121604919433594
2010-04-14,13.417304039001465
2010-04-15,13.500466346740723
2010-04-16,13.10312271118164
2010-04-19,13.029200553894043
2010-04-20,13.500466346740723
2010-04-21,13.481986045837402
2010-04-22,13.796167373657227
2010-04-23,13.58363151550293
2010-04-26,13.528189659118652
2010-04-27,14.710982322692871
2010-04-28,14.618574142456055
2010-04-29,15.015926361083984
2010-04-30,14.969718933105469
2010-05-03,15.78288745880127
2010-05-04,15.154531478881836
2010-05-05,14.960480690002441
2010-05-06,14.369080543518066
2010-05-07,13.86085033416748
