Date,WD
2010-12-15,8.196075439453125
2010-12-16,8.121565818786621
2010-12-17,8.187798500061035
2010-12-20,8.204355239868164
2010-12-21,8.196075439453125
2010-12-22,8.187798500061035
2010-12-23,8.187798500061035
2010-12-27,8.080171585083008
2010-12-28,8.237470626831055
2010-12-29,8.278861999511719
2010-12-30,8.361651420593262
2010-12-31,8.353373527526855
2011-01-03,8.278861999511719
2011-01-04,8.278861999511719
2011-01-05,8.560345649719238
2011-01-06,8.452720642089844
2011-01-07,8.378210067749023
2011-01-10,8.510672569274902
2011-01-11,8.527229309082031
2011-01-12,8.452720642089844
2011-01-13,8.759037971496582
2011-01-14,8.808713912963867
2011-01-18,8.808713912963867
2011-01-19,8.75075912475586
2011-01-20,8.775596618652344
2011-01-21,8.932893753051758
2011-01-24,9.272326469421387
2011-01-25,9.255768775939941
2011-01-26,9.330282211303711
2011-01-27,9.255768775939941
2011-01-28,9.23093318939209
2011-01-31,9.934638023376465
2011-02-01,9.942915916442871
2011-02-02,10.224397659301758
2011-02-03,10.307188034057617
2011-02-04,10.224397659301758
2011-02-07,10.07537841796875
2011-02-08,10.067099571228027
2011-02-09,9.934638023376465
2011-02-10,9.951194763183594
2011-02-11,10.298906326293945
2011-02-14,10.07537841796875
2011-02-15,10.19956111907959
2011-02-16,10.356858253479004
2011-02-17,10.348578453063965
2011-02-18,10.332019805908203
2011-02-22,10.257513046264648
2011-02-23,10.133328437805176
2011-02-24,10.265790939331055
2011-02-25,10.149888038635254
2011-02-28,10.108492851257324
2011-03-01,10.274070739746094
2011-03-02,10.42309284210205
2011-03-03,10.373416900634766
2011-03-04,10.348578453063965
2011-03-07,10.348578453063965
2011-03-08,10.348578453063965
2011-03-09,10.340302467346191
2011-03-10,10.265790939331055
2011-03-11,10.24923038482666
2011-03-14,10.017427444458008
2011-03-15,9.901521682739258
2011-03-16,9.818732261657715
2011-03-17,9.827011108398438
2011-03-18,10.191280364990234
2011-03-21,10.315464973449707
2011-03-22,10.42309284210205
2011-03-23,10.389974594116211
2011-03-24,10.365138053894043
2011-03-25,10.472763061523438
2011-03-28,10.4893217086792
2011-03-29,10.348578453063965
2011-03-30,9.976031303405762
2011-03-31,10.058820724487305
2011-04-01,9.884963989257812
2011-04-04,9.80217456817627
2011-04-05,9.644876480102539
2011-04-06,9.694546699523926
2011-04-07,9.6614351272583
2011-04-08,9.644876480102539
2011-04-11,9.603484153747559
2011-04-12,9.644876480102539
2011-04-13,9.611761093139648
2011-04-14,9.330282211303711
2011-04-15,9.446184158325195
2011-04-18,9.446184158325195
2011-04-19,9.222654342651367
