Date,APG
2020-04-29,6.933332920074463
2020-04-30,6.733333110809326
2020-05-01,6.599999904632568
2020-05-04,6.5
2020-05-05,6.599999904632568
2020-05-06,6.546667098999023
2020-05-07,6.559999942779541
2020-05-08,6.466667175292969
2020-05-11,6.433332920074463
2020-05-12,6.453332901000977
2020-05-13,6.059999942779541
2020-05-14,6.300000190734863
2020-05-15,6.233333110809326
2020-05-18,6.553332805633545
2020-05-19,6.6666669845581055
2020-05-20,6.800000190734863
2020-05-21,6.840000152587891
2020-05-22,7.099999904632568
2020-05-26,7.239999771118164
2020-05-27,7.340000152587891
2020-05-28,7.3333330154418945
2020-05-29,7.513332843780518
2020-06-01,7.433332920074463
2020-06-02,7.8933329582214355
2020-06-03,8.106666564941406
2020-06-04,8.006667137145996
2020-06-05,8.0
2020-06-08,8.426667213439941
2020-06-09,8.520000457763672
2020-06-10,8.293333053588867
2020-06-11,7.97333288192749
2020-06-12,8.199999809265137
2020-06-15,8.633333206176758
2020-06-16,9.073332786560059
2020-06-17,9.15999984741211
2020-06-18,9.213333129882812
2020-06-19,9.0600004196167
2020-06-22,8.800000190734863
2020-06-23,8.58666706085205
2020-06-24,8.773332595825195
2020-06-25,8.613332748413086
2020-06-26,8.146666526794434
2020-06-29,8.15999984741211
2020-06-30,8.100000381469727
2020-07-01,8.079999923706055
2020-07-02,7.960000038146973
2020-07-06,8.013333320617676
2020-07-07,7.693333148956299
2020-07-08,7.840000152587891
2020-07-09,7.559999942779541
2020-07-10,7.533332824707031
2020-07-13,7.3333330154418945
2020-07-14,7.866666793823242
2020-07-15,8.206666946411133
2020-07-16,8.653332710266113
2020-07-17,8.893333435058594
2020-07-20,8.886667251586914
2020-07-21,9.066666603088379
2020-07-22,9.0
2020-07-23,8.833333015441895
2020-07-24,8.566666603088379
2020-07-27,8.699999809265137
2020-07-28,8.84000015258789
2020-07-29,9.186667442321777
2020-07-30,9.313332557678223
2020-07-31,9.286666870117188
2020-08-03,9.58666706085205
2020-08-04,9.619999885559082
2020-08-05,9.633333206176758
2020-08-06,9.606666564941406
2020-08-07,9.786666870117188
2020-08-10,9.813332557678223
2020-08-11,9.800000190734863
2020-08-12,9.646666526794434
2020-08-13,9.633333206176758
2020-08-14,9.779999732971191
2020-08-17,10.126667022705078
2020-08-18,10.233332633972168
2020-08-19,10.30666732788086
2020-08-20,10.08666706085205
2020-08-21,9.979999542236328
2020-08-24,9.699999809265137
2020-08-25,9.800000190734863
2020-08-26,9.706666946411133
2020-08-27,9.566666603088379
2020-08-28,9.566666603088379
2020-08-31,9.426667213439941
2020-09-01,9.779999732971191
2020-09-02,9.653332710266113
2020-09-03,9.313332557678223
2020-09-04,9.286666870117188
2020-09-08,9.186667442321777
2020-09-09,9.493332862854004
2020-09-10,9.393333435058594
2020-09-11,9.433333396911621
2020-09-14,9.733332633972168
2020-09-15,9.393333435058594
2020-09-16,9.333333015441895
2020-09-17,9.326666831970215
2020-09-18,9.293333053588867
2020-09-21,9.206666946411133
2020-09-22,9.766667366027832
2020-09-23,9.566666603088379
2020-09-24,9.25333309173584
2020-09-25,9.646666526794434
2020-09-28,9.513333320617676
2020-09-29,9.460000038146973
2020-09-30,9.486666679382324
2020-10-01,9.706666946411133
2020-10-02,9.520000457763672
2020-10-05,9.899999618530273
2020-10-06,9.640000343322754
2020-10-07,9.74666690826416
2020-10-08,9.84000015258789
2020-10-09,9.933333396911621
2020-10-12,10.0600004196167
2020-10-13,10.006667137145996
2020-10-14,9.933333396911621
2020-10-15,10.153332710266113
2020-10-16,10.166666984558105
2020-10-19,10.140000343322754
2020-10-20,10.066666603088379
2020-10-21,10.020000457763672
2020-10-22,10.15999984741211
2020-10-23,10.213333129882812
2020-10-26,9.933333396911621
2020-10-27,9.739999771118164
