Date,GPK
2010-01-04,3.002145528793335
2010-01-05,2.9694249629974365
2010-01-06,2.863081693649292
2010-01-07,3.034867763519287
2010-01-08,2.9367034435272217
2010-01-11,2.9285240173339844
2010-01-12,2.887622356414795
2010-01-13,2.830361843109131
2010-01-14,2.863081693649292
2010-01-15,2.830361843109131
2010-01-19,2.9039828777313232
2010-01-20,2.9776055812835693
2010-01-21,2.863081693649292
2010-01-22,2.863081693649292
2010-01-25,2.8221805095672607
2010-01-26,2.7567381858825684
2010-01-27,2.8221805095672607
2010-01-28,2.7403783798217773
2010-01-29,2.7649190425872803
2010-02-01,2.8058202266693115
2010-02-02,2.8058202266693115
2010-02-03,2.7403783798217773
2010-02-04,2.6503961086273193
2010-02-05,2.658576250076294
2010-02-08,2.6176743507385254
2010-02-09,2.6994776725769043
2010-02-10,2.5685935020446777
2010-02-11,2.5113322734832764
2010-02-12,2.519512176513672
2010-02-16,2.6994776725769043
2010-02-17,2.797640085220337
2010-02-18,2.9448843002319336
2010-02-19,2.9367034435272217
2010-02-22,2.9285240173339844
2010-02-23,2.8221805095672607
2010-02-24,2.8058202266693115
2010-02-25,2.9203436374664307
2010-02-26,2.8467211723327637
2010-03-01,2.9448843002319336
2010-03-02,3.0839481353759766
2010-03-03,3.1003079414367676
2010-03-04,3.14939022064209
2010-03-05,3.1902916431427
2010-03-08,3.1902916431427
2010-03-09,3.255733013153076
2010-03-10,3.263913154602051
2010-03-11,3.2393720149993896
2010-03-12,3.1902916431427
2010-03-15,3.2148325443267822
2010-03-16,3.255733013153076
2010-03-17,3.263913154602051
2010-03-18,3.255733013153076
2010-03-19,3.1821110248565674
2010-03-22,3.2720932960510254
2010-03-23,3.2802741527557373
2010-03-24,3.2230112552642822
2010-03-25,3.14939022064209
2010-03-26,3.14939022064209
2010-03-29,3.092128276824951
2010-03-30,3.1330292224884033
2010-03-31,2.953063726425171
2010-04-01,2.961244583129883
2010-04-05,3.07576847076416
2010-04-06,3.026686668395996
2010-04-07,3.026686668395996
2010-04-08,2.993964910507202
2010-04-09,3.010326623916626
2010-04-12,3.002145528793335
2010-04-13,3.059408187866211
2010-04-14,3.2148325443267822
2010-04-15,3.17393159866333
2010-04-16,3.17393159866333
2010-04-19,3.116668701171875
2010-04-20,3.1821110248565674
2010-04-21,3.1575701236724854
2010-04-22,3.2066516876220703
2010-04-23,3.1902916431427
2010-04-26,3.1821110248565674
2010-04-27,3.0675888061523438
2010-04-28,3.07576847076416
2010-04-29,3.17393159866333
2010-04-30,3.0185065269470215
2010-05-03,3.1248486042022705
2010-05-04,2.9448843002319336
2010-05-05,2.912163496017456
2010-05-06,2.781280517578125
2010-05-07,2.658576250076294
2010-05-10,2.8385415077209473
2010-05-11,2.8221805095672607
2010-05-12,2.953063726425171
2010-05-13,2.895803213119507
2010-05-14,2.8467211723327637
2010-05-17,2.8549015522003174
2010-05-18,2.7485580444335938
2010-05-19,2.6994776725769043
2010-05-20,2.6013145446777344
2010-05-21,2.609494686126709
2010-05-24,2.527693033218384
2010-05-25,2.4786107540130615
2010-05-26,2.4786107540130615
2010-05-27,2.6912972927093506
2010-05-28,2.584953784942627
2010-06-01,2.560413360595703
2010-06-02,2.707657814025879
2010-06-03,2.7240183353424072
2010-06-04,2.5440523624420166
2010-06-07,2.4867916107177734
2010-06-08,2.380448579788208
2010-06-09,2.421349048614502
2010-06-10,2.535872220993042
2010-06-11,2.5767736434936523
2010-06-14,2.6503961086273193
2010-06-15,2.773099660873413
2010-06-16,2.7403783798217773
2010-06-17,2.707657814025879
2010-06-18,2.7240183353424072
2010-06-21,2.6994776725769043
2010-06-22,2.6994776725769043
2010-06-23,2.658576250076294
2010-06-24,2.560413360595703
2010-06-25,2.6994776725769043
2010-06-28,2.6831161975860596
2010-06-29,2.584953784942627
2010-06-30,2.5767736434936523
2010-07-01,2.5767736434936523
2010-07-02,2.584953784942627
2010-07-06,2.609494686126709
2010-07-07,2.7240183353424072
2010-07-08,2.887622356414795
2010-07-09,2.9448843002319336
2010-07-12,2.9039828777313232
2010-07-13,3.026686668395996
2010-07-14,3.05122709274292
2010-07-15,3.002145528793335
2010-07-16,2.781280517578125
2010-07-19,2.7485580444335938
2010-07-20,2.863081693649292
2010-07-21,2.7403783798217773
2010-07-22,2.9039828777313232
2010-07-23,3.026686668395996
2010-07-26,2.961244583129883
2010-07-27,3.026686668395996
2010-07-28,2.887622356414795
2010-07-29,2.895803213119507
2010-07-30,2.863081693649292
2010-08-02,2.9203436374664307
2010-08-03,2.863081693649292
2010-08-04,2.895803213119507
2010-08-05,2.961244583129883
2010-08-06,2.8794422149658203
2010-08-09,2.9857850074768066
2010-08-10,2.8385415077209473
2010-08-11,2.7485580444335938
2010-08-12,2.6912972927093506
2010-08-13,2.6912972927093506
2010-08-16,2.7321977615356445
2010-08-17,2.830361843109131
2010-08-18,2.912163496017456
2010-08-19,2.6912972927093506
2010-08-20,2.6912972927093506
2010-08-23,2.6013145446777344
2010-08-24,2.560413360595703
2010-08-25,2.6176743507385254
2010-08-26,2.6013145446777344
2010-08-27,2.634035110473633
2010-08-30,2.5031511783599854
2010-08-31,2.494971990585327
2010-09-01,2.6503961086273193
2010-09-02,2.666757106781006
2010-09-03,2.6422159671783447
2010-09-07,2.5440523624420166
2010-09-08,2.560413360595703
2010-09-09,2.6013145446777344
2010-09-10,2.707657814025879
2010-09-13,2.789459705352783
2010-09-14,2.7649190425872803
2010-09-15,2.7567381858825684
2010-09-16,2.609494686126709
2010-09-17,2.634035110473633
