Date,DCO
2010-01-04,18.654516220092773
2010-01-05,18.14423942565918
2010-01-06,18.154052734375
2010-01-07,18.536760330200195
2010-01-08,18.477880477905273
2010-01-11,18.212928771972656
2010-01-12,17.889101028442383
2010-01-13,18.026485443115234
2010-01-14,17.91853904724121
2010-01-15,17.761533737182617
2010-01-19,17.908727645874023
2010-01-20,17.987232208251953
2010-01-21,17.614337921142578
2010-01-22,17.663402557373047
2010-01-25,17.633962631225586
2010-01-26,17.58489990234375
2010-01-27,17.624147415161133
2010-01-28,17.60452651977539
2010-01-29,17.643775939941406
2010-02-01,17.44751739501953
2010-02-02,17.43770408630371
2010-02-03,17.182565689086914
2010-02-04,16.407339096069336
2010-02-05,16.672290802001953
2010-02-08,16.044260025024414
2010-02-09,16.505468368530273
2010-02-10,16.299394607543945
2010-02-11,16.682104110717773
2010-02-12,16.544719696044922
2010-02-16,16.73116683959961
2010-02-17,16.962791442871094
2010-02-18,17.03178596496582
2010-02-19,17.23876953125
2010-02-22,16.98250389099121
2010-02-23,16.499542236328125
2010-02-24,16.63753318786621
2010-02-25,17.307762145996094
2010-02-26,17.23876953125
2010-03-01,17.997709274291992
2010-03-02,18.677799224853516
2010-03-03,18.92420768737793
2010-03-04,18.973487854003906
2010-03-05,19.288888931274414
2010-03-08,19.091766357421875
2010-03-09,19.54515838623047
2010-03-10,19.633865356445312
2010-03-11,19.86056137084961
2010-03-12,19.86056137084961
2010-03-15,19.781709671020508
2010-03-16,20.008403778076172
2010-03-17,19.959125518798828
2010-03-18,19.98869514465332
2010-03-19,20.530792236328125
2010-03-22,20.649070739746094
2010-03-23,20.895479202270508
2010-03-24,20.747631072998047
2010-03-25,20.609643936157227
2010-03-26,20.9644718170166
2010-03-29,21.082748413085938
2010-03-30,21.092605590820312
2010-03-31,20.708208084106445
2010-04-01,21.16160011291504
2010-04-05,21.614994049072266
2010-04-06,21.585424423217773
2010-04-07,21.70370101928711
2010-04-08,21.595279693603516
2010-04-09,21.76283836364746
2010-04-12,22.324649810791016
2010-04-13,22.0782413482666
2010-04-14,22.492206573486328
2010-04-15,22.521778106689453
2010-04-16,22.679479598999023
2010-04-19,22.876605987548828
2010-04-20,23.408849716186523
2010-04-21,23.132871627807617
2010-04-22,23.822816848754883
2010-04-23,23.300430297851562
2010-04-26,23.329999923706055
2010-04-27,23.349712371826172
