Date,FORR
2010-01-04,21.46634292602539
2010-01-05,20.83854103088379
2010-01-06,20.00145149230957
2010-01-07,21.047809600830078
2010-01-08,20.8868350982666
2010-01-11,21.088054656982422
2010-01-12,21.329519271850586
2010-01-13,21.989526748657227
2010-01-14,22.609289169311523
2010-01-15,22.633432388305664
2010-01-19,23.11637306213379
2010-01-20,22.633432388305664
2010-01-21,22.198795318603516
2010-01-22,22.078062057495117
2010-01-25,22.255144119262695
2010-01-26,21.981483459472656
2010-01-27,22.013675689697266
2010-01-28,21.764163970947266
2010-01-29,21.80440330505371
2010-02-01,21.667572021484375
2010-02-02,21.51464080810547
2010-02-03,21.458301544189453
2010-02-04,21.65147590637207
2010-02-05,22.21489906311035
2010-02-08,22.754169464111328
2010-02-09,23.49466323852539
2010-02-10,23.381982803344727
2010-02-11,23.051977157592773
2010-02-12,22.94734764099121
2010-02-16,23.180757522583008
2010-02-17,23.31759262084961
2010-02-18,23.74418067932129
2010-02-19,24.07418441772461
2010-02-22,23.94540786743164
2010-02-23,23.73613166809082
2010-02-24,24.009796142578125
2010-02-25,24.283458709716797
2010-02-26,24.106380462646484
2010-03-01,24.291507720947266
2010-03-02,24.549068450927734
2010-03-03,24.444435119628906
2010-03-04,24.79053497314453
2010-03-05,25.023954391479492
2010-03-08,25.015905380249023
2010-03-09,25.635665893554688
2010-03-10,25.45859146118164
2010-03-11,25.651762008666992
2010-03-12,25.4263973236084
2010-03-15,25.611520767211914
2010-03-16,25.128585815429688
2010-03-17,25.635665893554688
2010-03-18,25.104440689086914
2010-03-19,24.64565658569336
2010-03-22,25.4344482421875
2010-03-23,25.772499084472656
2010-03-24,25.386152267456055
2010-03-25,25.313716888427734
2010-03-26,24.79053497314453
2010-03-29,24.734193801879883
2010-03-30,24.70199966430664
2010-03-31,24.24321174621582
2010-04-01,24.033945083618164
2010-04-05,24.315650939941406
2010-04-06,24.573213577270508
2010-04-07,24.363948822021484
2010-04-08,24.307601928710938
2010-04-09,24.33980369567871
2010-04-12,24.452482223510742
2010-04-13,24.87102508544922
2010-04-14,25.45859146118164
2010-04-15,25.659814834594727
2010-04-16,25.603469848632812
2010-04-19,25.611520767211914
2010-04-20,25.91737937927246
2010-04-21,26.231285095214844
2010-04-22,26.66592788696289
2010-04-23,26.223237991333008
2010-04-26,25.91737937927246
2010-04-27,25.828838348388672
2010-04-28,26.070301055908203
2010-04-29,26.255428314208984
2010-04-30,25.844942092895508
2010-05-03,26.12664794921875
2010-05-04,26.102500915527344
2010-05-05,25.764450073242188
2010-05-06,25.217126846313477
2010-05-07,24.508825302124023
2010-05-10,25.088340759277344
2010-05-11,25.72420883178711
2010-05-12,25.74835205078125
2010-05-13,25.716157913208008
2010-05-14,25.683963775634766
