Date,QCOM
2010-01-04,31.526535034179688
2010-01-05,32.28547668457031
2010-01-06,31.969812393188477
2010-01-07,32.89665985107422
2010-01-08,33.22578048706055
2010-01-11,33.10486602783203
2010-01-12,32.56756591796875
2010-01-13,32.708614349365234
2010-01-14,32.48698043823242
2010-01-15,32.594417572021484
2010-01-19,33.125030517578125
2010-01-20,32.47352981567383
2010-01-21,32.29891586303711
2010-01-22,31.419071197509766
2010-01-25,31.506383895874023
2010-01-26,31.49294662475586
2010-01-27,31.701152801513672
2010-01-28,27.187768936157227
2010-01-29,26.32136344909668
2010-02-01,26.710922241210938
2010-02-02,26.36838150024414
2010-02-03,26.61688995361328
2010-02-04,25.636289596557617
2010-02-05,25.54898452758789
2010-02-08,25.19301414489746
2010-02-09,25.461668014526367
2010-02-10,25.1392822265625
2010-02-11,25.528837203979492
2010-02-12,26.086286544799805
2010-02-16,26.207191467285156
2010-02-17,26.482545852661133
2010-02-18,26.737781524658203
2010-02-19,26.590017318725586
2010-02-22,26.20046615600586
2010-02-23,25.88481330871582
2010-02-24,25.547487258911133
2010-02-25,25.082015991210938
2010-02-26,24.74471092224121
2010-03-01,23.989145278930664
2010-03-02,25.587968826293945
2010-03-03,26.100658416748047
2010-03-04,26.478464126586914
2010-03-05,26.147897720336914
2010-03-08,26.16814613342285
2010-03-09,26.093921661376953
2010-03-10,26.228857040405273
2010-03-11,26.377262115478516
2010-03-12,26.276071548461914
2010-03-15,26.222108840942383
2010-03-16,26.31654930114746
2010-03-17,26.242341995239258
2010-03-18,27.274492263793945
2010-03-19,27.01814842224121
2010-03-22,27.173301696777344
2010-03-23,27.3352108001709
2010-03-24,27.112586975097656
2010-03-25,28.461816787719727
2010-03-26,28.218952178955078
2010-03-29,28.17171859741211
2010-03-30,28.421323776245117
2010-03-31,28.3066463470459
2010-04-01,28.51577377319336
2010-04-05,28.69117546081543
2010-04-06,28.62371826171875
2010-04-07,28.853084564208984
2010-04-08,28.603479385375977
2010-04-09,28.448307037353516
2010-04-12,28.488801956176758
2010-04-13,28.53601837158203
2010-04-14,28.738407135009766
2010-04-15,28.80586051940918
2010-04-16,28.832839965820312
2010-04-19,28.839588165283203
2010-04-20,29.203880310058594
2010-04-21,28.75864028930664
2010-04-22,26.53242301940918
2010-04-23,25.803850173950195
2010-04-26,25.70939826965332
2010-04-27,25.581222534179688
2010-04-28,26.188371658325195
2010-04-29,26.29630470275879
2010-04-30,26.093921661376953
2010-05-03,26.066946029663086
2010-05-04,25.36534309387207
2010-05-05,25.38559913635254
2010-05-06,24.73796272277832
2010-05-07,24.623279571533203
2010-05-10,25.210187911987305
