Date,DELL
2016-08-17,11.102108001708984
2016-08-18,11.037562370300293
2016-08-19,11.231202125549316
2016-08-22,11.269932746887207
2016-08-23,11.618488311767578
2016-08-24,11.773398399353027
2016-08-25,11.724344253540039
2016-08-26,11.812125205993652
2016-08-29,11.954131126403809
2016-08-30,11.657214164733887
2016-08-31,11.53586483001709
2016-09-01,11.231202125549316
2016-09-02,11.096946716308594
2016-09-06,11.734670639038086
2016-09-07,12.393052101135254
2016-09-08,12.98946762084961
2016-09-09,12.671896934509277
2016-09-12,12.754517555236816
2016-09-13,12.522146224975586
2016-09-14,12.483418464660645
2016-09-15,12.622838973999023
2016-09-16,12.514400482177734
2016-09-19,12.589276313781738
2016-09-20,12.581530570983887
2016-09-21,12.50149154663086
2016-09-22,12.400796890258789
2016-09-23,12.395633697509766
2016-09-26,12.364651679992676
2016-09-27,12.33882999420166
2016-09-28,12.356903076171875
2016-09-29,12.28203010559082
2016-09-30,12.341414451599121
2016-10-03,12.374979019165039
2016-10-04,12.356903076171875
2016-10-05,12.514400482177734
2016-10-06,12.493744850158691
2016-10-07,12.411125183105469
2016-10-10,12.269122123718262
2016-10-11,12.171009063720703
2016-10-12,12.163265228271484
2016-10-13,12.168427467346191
2016-10-14,12.196828842163086
2016-10-17,12.23555850982666
2016-10-18,12.310431480407715
2016-10-19,12.318177223205566
2016-10-20,12.315595626831055
2016-10-21,12.196828842163086
2016-10-24,12.377561569213867
2016-10-25,12.132280349731445
2016-10-26,12.062570571899414
2016-10-27,12.478253364562988
2016-10-28,12.617676734924316
2016-10-31,12.674477577209473
2016-11-01,12.514400482177734
2016-11-02,12.651241302490234
2016-11-03,12.591856956481934
2016-11-04,12.553129196166992
2016-11-07,12.78549861907959
2016-11-08,12.82680892944336
2016-11-09,12.746768951416016
2016-11-10,12.718368530273438
2016-11-11,12.689970016479492
2016-11-14,12.648659706115723
2016-11-15,12.930084228515625
2016-11-16,13.077251434326172
2016-11-17,13.374166488647461
2016-11-18,13.423224449157715
2016-11-21,13.539407730102539
2016-11-22,13.449043273925781
2016-11-23,13.30704116821289
2016-11-25,13.474860191345215
2016-11-28,13.461953163146973
2016-11-29,13.753706932067871
2016-11-30,13.82857894897461
2016-12-01,13.39482307434082
2016-12-02,13.619447708129883
2016-12-05,13.699485778808594
2016-12-06,13.779523849487305
2016-12-07,13.916363716125488
2016-12-08,13.921528816223145
2016-12-09,13.934436798095703
2016-12-12,13.916363716125488
2016-12-13,13.882800102233887
2016-12-14,13.996402740478516
2016-12-15,14.654784202575684
2016-12-16,14.572165489196777
2016-12-19,14.55925464630127
2016-12-20,14.729658126831055
2016-12-21,14.791625022888184
2016-12-22,14.417250633239746
2016-12-23,14.481797218322754
2016-12-27,14.47146987915039
2016-12-28,14.28815746307373
2016-12-29,14.267500877380371
2016-12-30,14.192625999450684
2017-01-03,14.089350700378418
2017-01-04,14.200370788574219
2017-01-05,14.270084381103516
2017-01-06,14.662528991699219
2017-01-09,14.585073471069336
