Date,AVT
2010-01-04,23.429473876953125
2010-01-05,23.235843658447266
2010-01-06,23.088680267333984
2010-01-07,22.61622428894043
2010-01-08,23.01123046875
2010-01-11,23.018966674804688
2010-01-12,21.988849639892578
2010-01-13,21.895902633666992
2010-01-14,22.337390899658203
2010-01-15,21.75649642944336
2010-01-19,22.136011123657227
2010-01-20,22.012086868286133
2010-01-21,21.94237518310547
2010-01-22,20.974225997924805
2010-01-25,21.423450469970703
2010-01-26,21.55512046813965
2010-01-27,21.578353881835938
2010-01-28,20.896764755249023
2010-01-29,20.478519439697266
2010-02-01,20.811573028564453
2010-02-02,21.19883918762207
2010-02-03,21.33049964904785
2010-02-04,20.408824920654297
2010-02-05,20.765098571777344
2010-02-08,20.749610900878906
2010-02-09,20.86578941345215
2010-02-10,20.664409637451172
2010-02-11,20.99745750427246
2010-02-12,21.24530601501465
2010-02-16,21.477663040161133
2010-02-17,21.539627075195312
2010-02-18,21.686786651611328
2010-02-19,21.833948135375977
2010-02-22,21.485410690307617
2010-02-23,21.12138557434082
2010-02-24,21.24530601501465
2010-02-25,21.477663040161133
2010-02-26,21.384727478027344
2010-03-01,21.88816261291504
2010-03-02,21.934635162353516
2010-03-03,22.1669979095459
2010-03-04,21.562868118286133
2010-03-05,21.725505828857422
2010-03-08,21.810714721679688
2010-03-09,21.88816261291504
2010-03-10,22.368370056152344
2010-03-11,22.407102584838867
2010-03-12,22.298664093017578
2010-03-15,21.864925384521484
2010-03-16,22.228952407836914
2010-03-17,22.856325149536133
2010-03-18,22.670434951782227
2010-03-19,22.515525817871094
2010-03-22,22.732397079467773
2010-03-23,23.057695388793945
2010-03-24,22.407102584838867
2010-03-25,22.04306983947754
2010-03-26,21.973360061645508
2010-03-29,23.04220962524414
2010-03-30,23.64634132385254
2010-03-31,23.235843658447266
2010-04-01,23.545658111572266
2010-04-05,24.746179580688477
2010-04-06,24.165279388427734
2010-04-07,24.06458282470703
2010-04-08,23.607614517211914
2010-04-09,24.06458282470703
2010-04-12,24.01811981201172
2010-04-13,24.142040252685547
2010-04-14,25.048240661621094
2010-04-15,24.994022369384766
2010-04-16,24.668724060058594
2010-04-19,24.40538787841797
2010-04-20,24.76167106628418
2010-04-21,24.955293655395508
2010-04-22,24.978534698486328
2010-04-23,25.41227149963379
2010-04-26,25.17215919494629
2010-04-27,24.808137893676758
2010-04-28,25.25735855102539
2010-04-29,25.938947677612305
2010-04-30,24.76167106628418
2010-05-03,25.110200881958008
2010-05-04,23.816736221313477
2010-05-05,23.31329345703125
2010-05-06,22.035327911376953
2010-05-07,21.291778564453125
2010-05-10,22.98025131225586
2010-05-11,22.86406707763672
2010-05-12,23.104175567626953
2010-05-13,23.328786849975586
2010-05-14,22.64720344543457
2010-05-17,22.70915985107422
2010-05-18,22.012086868286133
2010-05-19,21.973360061645508
2010-05-20,21.191085815429688
2010-05-21,21.841693878173828
2010-05-24,21.299516677856445
2010-05-25,21.206579208374023
2010-05-26,21.136873245239258
2010-05-27,22.53876304626465
2010-05-28,22.24444580078125
2010-06-01,21.152362823486328
2010-06-02,21.508647918701172
2010-06-03,21.601587295532227
2010-06-04,20.586956024169922
2010-06-07,19.7891902923584
2010-06-08,19.843406677246094
2010-06-09,19.990568161010742
2010-06-10,20.439790725708008
2010-06-11,20.90452003479004
2010-06-14,20.842552185058594
2010-06-15,21.601587295532227
2010-06-16,21.578353881835938
2010-06-17,21.679040908813477
2010-06-18,21.624828338623047
2010-06-21,21.617076873779297
2010-06-22,20.943241119384766
2010-06-23,20.81931495666504
2010-06-24,19.975074768066406
2010-06-25,19.95184898376465
2010-06-28,20.10675048828125
2010-06-29,19.068880081176758
2010-06-30,18.673871994018555
2010-07-01,18.534454345703125
2010-07-02,18.573183059692383
2010-07-06,18.40278434753418
2010-07-07,19.456144332885742
2010-07-08,19.48712921142578
2010-07-09,19.46389389038086
2010-07-12,19.57231903076172
2010-07-13,19.858898162841797
2010-07-14,19.975074768066406
2010-07-15,19.94410514831543
2010-07-16,19.169574737548828
2010-07-19,19.54908561706543
2010-07-20,19.48712921142578
2010-07-21,19.107608795166016
2010-07-22,19.858898162841797
2010-07-23,20.122238159179688
2010-07-26,20.974225997924805
2010-07-27,20.834808349609375
2010-07-28,20.230669021606445
2010-07-29,19.835668563842773
2010-07-30,19.47938346862793
2010-08-02,19.975074768066406
2010-08-03,20.037046432495117
2010-08-04,20.253908157348633
2010-08-05,20.230669021606445
2010-08-06,20.3236141204834
2010-08-09,20.401073455810547
2010-08-10,19.920860290527344
2010-08-11,19.48712921142578
2010-08-12,18.906227111816406
2010-08-13,18.43376922607422
2010-08-16,18.534454345703125
2010-08-17,18.743579864501953
2010-08-18,19.084373474121094
2010-08-19,18.944950103759766
2010-08-20,18.7203426361084
2010-08-23,18.410533905029297
2010-08-24,18.01552391052246
2010-08-25,17.721202850341797
2010-08-26,17.705713272094727
2010-08-27,18.40278434753418
2010-08-30,17.95355224609375
2010-08-31,17.736698150634766
2010-09-01,18.673871994018555
2010-09-02,19.17731285095215
2010-09-03,19.727230072021484
2010-09-07,18.81328582763672
2010-09-08,18.759065628051758
2010-09-09,19.254764556884766
2010-09-10,19.293487548828125
2010-09-13,19.8046817779541
2010-09-14,19.89763069152832
2010-09-15,20.114498138427734
2010-09-16,20.17645835876465
2010-09-17,20.006057739257812
2010-09-20,20.563718795776367
2010-09-21,20.362342834472656
2010-09-22,19.998313903808594
2010-09-23,20.215185165405273
2010-09-24,20.788333892822266
2010-09-27,20.49401092529297
2010-09-28,20.82705307006836
