Date,FIP
2022-07-20,2.7632505893707275
2022-07-21,3.4448516368865967
2022-07-22,3.2983999252319336
2022-07-25,3.2237915992736816
2022-07-26,3.5093276500701904
2022-07-27,3.402482032775879
2022-07-28,3.4264299869537354
2022-07-29,3.3987977504730225
2022-08-01,3.0395750999450684
2022-08-02,2.4869256019592285
2022-08-03,2.496135711669922
2022-08-04,2.4592931270599365
2022-08-05,2.385605812072754
2022-08-08,2.579033374786377
2022-08-09,2.6435089111328125
2022-08-10,2.744828224182129
2022-08-11,2.6895639896392822
2022-08-12,2.6573257446289062
2022-08-15,2.413238525390625
2022-08-16,2.4777145385742188
2022-08-17,2.440870761871338
2022-08-18,2.6435089111328125
2022-08-19,2.413238525390625
2022-08-22,2.2566542625427246
2022-08-23,2.348762273788452
2022-08-24,2.2934978008270264
2022-08-25,2.2934978008270264
2022-08-26,2.3211300373077393
2022-08-29,2.4777145385742188
2022-08-30,2.5329792499542236
2022-08-31,2.5329792499542236
2022-09-01,2.6158764362335205
2022-09-02,2.6527202129364014
2022-09-06,2.7356173992156982
2022-09-07,2.8369367122650146
2022-09-08,2.938255786895752
2022-09-09,2.809304714202881
2022-09-12,2.7079851627349854
2022-09-13,2.800093412399292
2022-09-14,2.7816715240478516
2022-09-15,2.5329792499542236
2022-09-16,2.3763949871063232
2022-09-19,2.5053467750549316
2022-09-20,2.4040277004241943
2022-09-21,2.5421903133392334
2022-09-22,2.3763949871063232
2022-09-23,2.2566542625427246
2022-09-26,2.164546012878418
2022-09-27,2.1829676628112793
2022-09-28,2.2658650875091553
2022-09-29,2.0632269382476807
2022-09-30,2.210599899291992
2022-10-03,2.348762273788452
2022-10-04,2.4869256019592285
2022-10-05,2.496135711669922
2022-10-06,2.4316601753234863
2022-10-07,2.3671841621398926
2022-10-10,2.4869256019592285
2022-10-11,2.3948166370391846
2022-10-12,2.219810962677002
2022-10-13,2.2290220260620117
2022-10-14,2.1829676628112793
2022-10-17,2.3211300373077393
2022-10-18,2.3395519256591797
2022-10-19,2.4040277004241943
2022-10-20,2.284287214279175
2022-10-21,2.2290220260620117
2022-10-24,2.2566542625427246
2022-10-25,2.2658650875091553
2022-10-26,2.2658650875091553
2022-10-27,2.302708148956299
2022-10-28,2.4224491119384766
2022-10-31,2.5329792499542236
2022-11-01,2.5882444381713867
2022-11-02,2.5329792499542236
2022-11-03,2.4224491119384766
2022-11-04,2.4500815868377686
2022-11-07,2.496135711669922
2022-11-08,2.4316601753234863
2022-11-09,2.3395519256591797
2022-11-10,2.3861563205718994
2022-11-11,2.460723876953125
2022-11-14,2.563253879547119
2022-11-15,2.69374680519104
2022-11-16,2.6005373001098633
2022-11-17,2.6191794872283936
2022-11-18,2.69374680519104
2022-11-21,2.721709966659546
2022-11-22,2.721709966659546
2022-11-23,2.7683141231536865
2022-11-25,2.8335607051849365
2022-11-28,2.6378211975097656
2022-11-29,2.647141933441162
2022-11-30,2.6564629077911377
2022-12-01,2.7496728897094727
2022-12-02,2.9547324180603027
2022-12-05,2.889486074447632
2022-12-06,2.7962772846221924
2022-12-07,2.805598020553589
2022-12-08,2.9547324180603027
2022-12-09,2.8801651000976562
2022-12-12,2.861523151397705
2022-12-13,2.8801651000976562
2022-12-14,2.926769971847534
2022-12-15,2.7962772846221924
2022-12-16,2.6564629077911377
2022-12-19,2.5539329051971436
2022-12-20,2.609858512878418
2022-12-21,2.721709966659546
2022-12-22,2.69374680519104
2022-12-23,2.69374680519104
2022-12-27,2.6378211975097656
2022-12-28,2.6005373001098633
2022-12-29,2.675104856491089
2022-12-30,2.7496728897094727
2023-01-03,2.758993148803711
2023-01-04,2.758993148803711
2023-01-05,2.7030680179595947
2023-01-06,2.740351438522339
2023-01-09,2.758993148803711
2023-01-10,2.8708443641662598
2023-01-11,2.9454116821289062
2023-01-12,2.973374366760254
2023-01-13,3.1970770359039307
2023-01-17,3.1504721641540527
2023-01-18,3.1131882667541504
2023-01-19,3.141151189804077
2023-01-20,3.4300997257232666
2023-01-23,3.2250397205352783
2023-01-24,3.1131882667541504
2023-01-25,3.0852251052856445
2023-01-26,3.019979238510132
2023-01-27,3.057262659072876
2023-01-30,2.9826958179473877
2023-01-31,3.0852251052856445
2023-02-01,3.0665838718414307
2023-02-02,3.169113874435425
2023-02-03,3.1504721641540527
2023-02-06,3.1318302154541016
2023-02-07,3.2250397205352783
2023-02-08,3.141151189804077
2023-02-09,3.057262659072876
2023-02-10,3.122509241104126
2023-02-13,3.057262659072876
2023-02-14,3.0106582641601562
2023-02-15,3.057262659072876
2023-02-16,2.973374366760254
2023-02-17,2.9547324180603027
2023-02-21,2.8801651000976562
2023-02-22,2.7962772846221924
2023-02-23,2.7962772846221924
2023-02-24,2.7962772846221924
2023-02-27,2.8335607051849365
2023-02-28,2.9174492359161377
