Date,KLG
2023-09-27,15.761178970336914
2023-09-28,14.834051132202148
2023-09-29,13.61023998260498
2023-10-02,12.37716007232666
2023-10-03,10.420919418334961
2023-10-04,10.012983322143555
2023-10-05,9.447434425354004
2023-10-06,9.63286018371582
2023-10-09,10.606344223022461
2023-10-10,9.994441032409668
2023-10-11,9.280552864074707
2023-10-12,9.642130851745605
2023-10-13,9.994441032409668
2023-10-16,9.178567886352539
2023-10-17,9.363994598388672
2023-10-18,9.13221263885498
2023-10-19,9.280552864074707
2023-10-20,9.401078224182129
2023-10-23,9.716301918029785
2023-10-24,9.271280288696289
2023-10-25,9.530878067016602
2023-10-26,9.660674095153809
2023-10-27,9.63286018371582
2023-10-30,9.614317893981934
2023-10-31,9.289823532104492
2023-11-01,9.308364868164062
2023-11-02,9.243467330932617
2023-11-03,9.707032203674316
2023-11-06,9.697759628295898
2023-11-07,9.697759628295898
2023-11-08,9.920269966125488
2023-11-09,9.605045318603516
2023-11-10,9.809014320373535
2023-11-13,9.873912811279297
2023-11-14,9.994441032409668
2023-11-15,9.975897789001465
2023-11-16,10.207681655883789
2023-11-17,10.383834838867188
2023-11-20,10.402377128601074
2023-11-21,10.986467361450195
2023-11-22,10.977197647094727
2023-11-24,11.264606475830078
2023-11-27,10.680516242980957
2023-11-28,10.782499313354492
2023-11-29,10.420919418334961
2023-11-30,10.533782005310059
2023-12-01,10.703075408935547
2023-12-04,10.853556632995605
2023-12-05,10.656049728393555
2023-12-06,10.8817720413208
2023-12-07,10.957013130187988
2023-12-08,11.135713577270508
2023-12-11,11.333220481872559
2023-12-12,11.756453514099121
2023-12-13,12.00098705291748
2023-12-14,11.982175827026367
2023-12-15,11.643589973449707
2023-12-18,11.399057388305664
2023-12-19,11.643589973449707
2023-12-20,11.652997016906738
2023-12-21,12.236115455627441
2023-12-22,12.424220085144043
2023-12-26,12.339571952819824
2023-12-27,12.499460220336914
2023-12-28,12.358384132385254
2023-12-29,12.358384132385254
2024-01-02,12.706374168395996
2024-01-03,12.74399471282959
2024-01-04,12.499460220336914
2024-01-05,12.593512535095215
2024-01-08,13.327116966247559
2024-01-09,12.866260528564453
2024-01-10,12.226712226867676
2024-01-11,12.301952362060547
2024-01-12,12.179686546325684
2024-01-16,12.320764541625977
2024-01-17,12.066823959350586
2024-01-18,12.207901000976562
2024-01-19,12.00098705291748
2024-01-22,12.414814949035645
2024-01-23,12.565298080444336
2024-01-24,12.480649948120117
2024-01-25,12.640538215637207
2024-01-26,12.875666618347168
2024-01-29,12.452434539794922
2024-01-30,12.555891990661621
2024-01-31,12.217306137084961
2024-02-01,12.443029403686523
2024-02-02,12.348978996276855
2024-02-05,12.217306137084961
2024-02-06,12.151470184326172
2024-02-07,11.681212425231934
2024-02-08,11.709425926208496
2024-02-09,11.690616607666016
2024-02-12,11.859910011291504
2024-02-13,12.819235801696777
2024-02-14,13.543434143066406
2024-02-15,14.135960578918457
2024-02-16,14.22060489654541
2024-02-20,14.004286766052246
2024-02-21,13.834993362426758
2024-02-22,13.731537818908691
2024-02-23,13.693915367126465
2024-02-26,13.722131729125977
2024-02-27,13.806779861450195
2024-02-28,13.844399452209473
2024-02-29,13.920467376708984
2024-03-01,13.996535301208496
2024-03-04,13.939483642578125
2024-03-05,14.101128578186035
2024-03-06,13.958500862121582
2024-03-07,13.815872192382812
2024-03-08,13.75882339477539
2024-03-11,13.815872192382812
2024-03-12,14.529011726379395
2024-03-13,15.023454666137695
2024-03-14,15.137557029724121
2024-03-15,15.869715690612793
2024-03-18,16.126441955566406
2024-03-19,16.71596908569336
2024-03-20,16.525798797607422
2024-03-21,17.172378540039062
2024-03-22,17.676332473754883
2024-03-25,17.952077865600586
2024-03-26,18.151758193969727
2024-03-27,17.942569732666016
2024-03-28,17.876007080078125
2024-04-01,18.817354202270508
2024-04-02,17.952077865600586
2024-04-03,17.9901123046875
2024-04-04,18.40848731994629
2024-04-05,19.140642166137695
2024-04-08,19.815744400024414
2024-04-09,19.787221908569336
2024-04-10,19.977392196655273
2024-04-11,20.519378662109375
2024-04-12,19.891815185546875
2024-04-15,19.93935775756836
2024-04-16,20.072477340698242
2024-04-17,20.41478157043457
2024-04-18,20.690528869628906
2024-04-19,20.17706871032715
2024-04-22,20.928241729736328
2024-04-23,22.630266189575195
2024-04-24,22.944047927856445
2024-04-25,23.143728256225586
2024-04-26,22.763389587402344
2024-04-29,22.42108154296875
2024-04-30,22.192874908447266
2024-05-01,22.630266189575195
2024-05-02,22.601741790771484
2024-05-03,22.05975914001465
2024-05-06,22.383045196533203
2024-05-07,23.077167510986328
2024-05-08,20.89020538330078
2024-05-09,21.108905792236328
2024-05-10,20.70003890991211
2024-05-13,20.785615921020508
2024-05-14,20.091493606567383
2024-05-15,19.872798919677734
2024-05-16,20.338716506958008
2024-05-17,19.920339584350586
2024-05-20,19.82525634765625
2024-05-21,19.463930130004883
2024-05-22,19.083587646484375
2024-05-23,19.02654266357422
2024-05-24,18.55111312866211
2024-05-28,18.332420349121094
2024-05-29,17.714365005493164
2024-05-30,18.066179275512695
2024-05-31,18.210020065307617
2024-06-03,17.759323120117188
2024-06-04,18.0470027923584
2024-06-05,17.586715698242188
2024-06-06,17.51000213623047
2024-06-07,17.52918243408203
2024-06-10,17.49082374572754
2024-06-11,17.462055206298828
2024-06-12,17.260683059692383
2024-06-13,17.14560890197754
2024-06-14,17.088075637817383
2024-06-17,17.203144073486328
2024-06-18,17.059307098388672
2024-06-20,17.11684226989746
2024-06-21,16.340110778808594
2024-06-24,16.531898498535156
