Date,TDUP
2021-03-26,20.0
2021-03-29,31.399999618530273
2021-03-30,22.049999237060547
2021-03-31,23.329999923706055
2021-04-01,23.969999313354492
2021-04-05,21.709999084472656
2021-04-06,19.989999771118164
2021-04-07,19.43000030517578
2021-04-08,18.389999389648438
2021-04-09,18.280000686645508
2021-04-12,17.610000610351562
2021-04-13,17.1299991607666
2021-04-14,15.729999542236328
2021-04-15,15.390000343322754
2021-04-16,14.979999542236328
2021-04-19,15.260000228881836
2021-04-20,16.649999618530273
2021-04-21,18.200000762939453
2021-04-22,18.920000076293945
2021-04-23,19.110000610351562
2021-04-26,17.969999313354492
2021-04-27,18.110000610351562
2021-04-28,18.049999237060547
2021-04-29,18.110000610351562
2021-04-30,17.170000076293945
2021-05-03,17.469999313354492
2021-05-04,16.25
2021-05-05,17.110000610351562
2021-05-06,16.43000030517578
2021-05-07,16.690000534057617
2021-05-10,18.219999313354492
2021-05-11,19.309999465942383
2021-05-12,20.040000915527344
2021-05-13,18.5
2021-05-14,18.170000076293945
2021-05-17,18.899999618530273
2021-05-18,19.530000686645508
2021-05-19,19.200000762939453
2021-05-20,19.149999618530273
2021-05-21,21.760000228881836
2021-05-24,24.15999984741211
2021-05-25,25.350000381469727
2021-05-26,24.65999984741211
2021-05-27,25.329999923706055
2021-05-28,23.59000015258789
2021-06-01,22.8700008392334
2021-06-02,24.59000015258789
2021-06-03,23.290000915527344
2021-06-04,23.15999984741211
2021-06-07,24.09000015258789
2021-06-08,26.530000686645508
2021-06-09,28.0
2021-06-10,27.549999237060547
2021-06-11,27.270000457763672
2021-06-14,28.239999771118164
2021-06-15,28.770000457763672
2021-06-16,26.649999618530273
2021-06-17,27.799999237060547
2021-06-18,25.579999923706055
2021-06-21,24.690000534057617
2021-06-22,25.8799991607666
2021-06-23,25.809999465942383
2021-06-24,25.760000228881836
2021-06-25,27.040000915527344
2021-06-28,27.139999389648438
2021-06-29,28.770000457763672
2021-06-30,29.079999923706055
2021-07-01,27.270000457763672
2021-07-02,26.84000015258789
2021-07-06,25.93000030517578
2021-07-07,24.6200008392334
2021-07-08,24.0
2021-07-09,24.719999313354492
2021-07-12,27.040000915527344
2021-07-13,29.520000457763672
2021-07-14,27.440000534057617
2021-07-15,25.200000762939453
2021-07-16,26.149999618530273
2021-07-19,26.110000610351562
2021-07-20,26.739999771118164
2021-07-21,26.729999542236328
2021-07-22,27.059999465942383
2021-07-23,27.540000915527344
2021-07-26,28.43000030517578
2021-07-27,25.8700008392334
2021-07-28,24.5049991607666
2021-07-29,26.0
2021-07-30,23.860000610351562
2021-08-02,23.950000762939453
2021-08-03,22.3700008392334
2021-08-04,22.270000457763672
2021-08-05,22.6200008392334
2021-08-06,23.399999618530273
2021-08-09,22.959999084472656
2021-08-10,21.43000030517578
2021-08-11,21.889999389648438
2021-08-12,22.959999084472656
2021-08-13,23.950000762939453
2021-08-16,22.780000686645508
2021-08-17,21.1299991607666
2021-08-18,22.18000030517578
2021-08-19,22.700000762939453
2021-08-20,22.479999542236328
2021-08-23,21.290000915527344
2021-08-24,20.020000457763672
2021-08-25,20.290000915527344
2021-08-26,18.690000534057617
2021-08-27,20.100000381469727
2021-08-30,19.399999618530273
2021-08-31,19.170000076293945
2021-09-01,19.760000228881836
2021-09-02,19.549999237060547
2021-09-03,19.049999237060547
2021-09-07,19.739999771118164
2021-09-08,19.229999542236328
2021-09-09,18.8700008392334
2021-09-10,18.360000610351562
2021-09-13,18.209999084472656
2021-09-14,17.799999237060547
2021-09-15,18.149999618530273
2021-09-16,19.93000030517578
2021-09-17,19.520000457763672
2021-09-20,18.5
2021-09-21,18.940000534057617
2021-09-22,19.950000762939453
2021-09-23,20.6299991607666
2021-09-24,20.8799991607666
2021-09-27,21.030000686645508
