Date,MCD
2010-01-04,40.801090240478516
2010-01-05,40.48911666870117
2010-01-06,39.936710357666016
2010-01-07,40.22917556762695
2010-01-08,40.190162658691406
2010-01-11,40.50212097167969
2010-01-12,40.72309875488281
2010-01-13,40.6776123046875
2010-01-14,40.71660614013672
2010-01-15,40.47612762451172
2010-01-19,41.25602722167969
2010-01-20,40.950565338134766
2010-01-21,41.07404708862305
2010-01-22,41.197540283203125
2010-01-25,41.00254821777344
2010-01-26,41.470489501953125
2010-01-27,41.41850280761719
2010-01-28,40.83357620239258
2010-01-29,40.57362747192383
2010-02-01,41.52247619628906
2010-02-02,41.613468170166016
2010-02-03,42.38035583496094
2010-02-04,41.632972717285156
2010-02-05,41.184539794921875
2010-02-08,40.89207458496094
2010-02-09,41.31452560424805
2010-02-10,41.10654830932617
2010-02-11,41.45749282836914
2010-02-12,41.327510833740234
2010-02-16,41.600467681884766
2010-02-17,41.76294708251953
2010-02-18,41.905921936035156
2010-02-19,42.074893951416016
2010-02-22,42.09439468383789
2010-02-23,42.159400939941406
2010-02-24,42.41284942626953
2010-02-25,42.19655227661133
2010-02-26,41.849178314208984
2010-03-01,41.934391021728516
2010-03-02,41.99338150024414
2010-03-03,41.70497512817383
2010-03-04,41.57389831542969
2010-03-05,41.731197357177734
2010-03-08,42.681575775146484
2010-03-09,42.66847229003906
2010-03-10,42.56360626220703
2010-03-11,42.740562438964844
2010-03-12,42.95029830932617
2010-03-15,43.21248245239258
2010-03-16,43.304237365722656
2010-03-17,43.507423400878906
2010-03-18,43.70404815673828
2010-03-19,43.60573196411133
2010-03-22,43.920326232910156
2010-03-23,44.1431770324707
2010-03-24,43.782711029052734
2010-03-25,43.84823226928711
2010-03-26,44.084205627441406
2010-03-29,43.95966339111328
2010-03-30,44.07109832763672
2010-03-31,43.730255126953125
2010-04-01,44.29393768310547
2010-04-05,44.58887481689453
2010-04-06,44.444679260253906
2010-04-07,44.37260437011719
2010-04-08,45.06734848022461
2010-04-09,45.014915466308594
2010-04-12,44.91659927368164
2010-04-13,45.17218780517578
2010-04-14,45.49991989135742
2010-04-15,45.32949447631836
2010-04-16,45.24431610107422
2010-04-19,45.827632904052734
2010-04-20,46.10291290283203
2010-04-21,46.11602783203125
2010-04-22,46.55516052246094
2010-04-23,46.63380432128906
2010-04-26,46.548606872558594
2010-04-27,46.22745895385742
2010-04-28,46.10291290283203
2010-04-29,46.876319885253906
2010-04-30,46.26676559448242
2010-05-03,46.8107795715332
2010-05-04,46.29955291748047
