Date,DBRG
2014-06-27,48.164710998535156
2014-06-30,45.3465690612793
2014-07-01,49.18950653076172
2014-07-02,47.165550231933594
2014-07-03,48.77958297729492
2014-07-07,48.42090606689453
2014-07-08,49.8556022644043
2014-07-09,50.726654052734375
2014-07-10,51.23904800415039
2014-07-11,51.11096954345703
2014-07-14,51.0853385925293
2014-07-15,49.317588806152344
2014-07-16,48.21595764160156
2014-07-17,48.4721565246582
2014-07-18,49.49692916870117
2014-07-21,48.574623107910156
2014-07-22,48.39528274536133
2014-07-23,48.4721565246582
2014-07-24,48.344058990478516
2014-07-25,48.369659423828125
2014-07-28,48.06224060058594
2014-07-29,48.03662109375
2014-07-30,47.242408752441406
2014-07-31,45.88457489013672
2014-08-01,45.5515251159668
2014-08-04,45.397804260253906
2014-08-05,46.26886749267578
2014-08-06,45.91019058227539
2014-08-07,46.62753677368164
2014-08-08,46.96059799194336
2014-08-11,48.19033432006836
2014-08-12,47.293636322021484
2014-08-13,47.06306457519531
2014-08-14,47.19118118286133
2014-08-15,47.26802444458008
2014-08-18,47.49861145019531
2014-08-19,47.03745651245117
2014-08-20,47.19118118286133
2014-08-21,47.93415069580078
2014-08-22,47.6523323059082
2014-08-25,47.90852737426758
2014-08-26,48.21595764160156
2014-08-27,47.95975875854492
2014-08-28,47.524227142333984
2014-08-29,47.370506286621094
2014-09-02,48.03662109375
2014-09-03,47.95975875854492
2014-09-04,48.907691955566406
2014-09-05,50.49609375
2014-09-08,49.75312042236328
2014-09-09,50.36799621582031
2014-09-10,49.727508544921875
2014-09-11,49.75312042236328
2014-09-12,49.0614013671875
2014-09-15,48.54900360107422
2014-09-16,48.369659423828125
2014-09-17,48.52338409423828
2014-09-18,48.42090606689453
2014-09-19,48.677101135253906
2014-09-22,47.80603790283203
2014-09-23,47.216793060302734
2014-09-24,47.13993453979492
2014-09-25,47.344886779785156
2014-09-26,47.80603790283203
2014-09-29,47.70356750488281
2014-09-30,47.19118118286133
2014-10-01,46.525062561035156
2014-10-02,46.67877960205078
2014-10-03,47.80603790283203
2014-10-06,48.49777603149414
2014-10-07,48.21595764160156
2014-10-08,48.4721565246582
2014-10-09,46.858123779296875
2014-10-10,44.52674102783203
2014-10-13,42.16972732543945
2014-10-14,42.784610748291016
2014-10-15,43.040809631347656
2014-10-16,42.98957824707031
2014-10-17,44.373023986816406
2014-10-20,45.090370178222656
2014-10-21,45.397804260253906
2014-10-22,44.73169708251953
2014-10-23,44.987892150878906
2014-10-24,45.500274658203125
2014-10-27,45.21846008300781
2014-10-28,46.03828048706055
2014-10-29,44.65483093261719
2014-10-30,44.83418273925781
2014-10-31,46.42259216308594
2014-11-03,45.602752685546875
2014-11-04,45.602752685546875
2014-11-05,46.11514663696289
2014-11-06,50.340232849121094
2014-11-07,51.885986328125
2014-11-10,52.22090530395508
2014-11-11,53.380218505859375
2014-11-12,53.663597106933594
2014-11-13,53.045318603515625
2014-11-14,54.050048828125
2014-11-17,54.07582092285156
2014-11-18,55.183597564697266
2014-11-19,54.07582092285156
2014-11-20,53.663597106933594
2014-11-21,53.71513366699219
2014-11-24,54.66835403442383
2014-11-25,54.5653076171875
2014-11-26,54.5653076171875
2014-11-28,53.9727783203125
2014-12-01,52.68461990356445
2014-12-02,53.79243087768555
2014-12-03,53.45751190185547
2014-12-04,55.08055114746094
2014-12-05,55.441219329833984
2014-12-08,54.61682891845703
2014-12-09,55.38969039916992
2014-12-10,54.20463180541992
2014-12-11,54.1015739440918
2014-12-12,53.483280181884766
2014-12-15,53.22563934326172
2014-12-16,52.349727630615234
2014-12-17,54.30766677856445
2014-12-18,56.65207290649414
2014-12-19,56.059539794921875
2014-12-22,56.29140853881836
2014-12-23,57.27037048339844
2014-12-24,57.656822204589844
2014-12-26,57.940208435058594
2014-12-29,58.37815475463867
2014-12-30,57.914459228515625
2014-12-31,58.14630126953125
2015-01-02,58.12054443359375
2015-01-05,56.29140853881836
2015-01-06,54.977508544921875
2015-01-07,55.029048919677734
2015-01-08,55.1578369140625
2015-01-09,55.69886779785156
2015-01-12,55.235130310058594
2015-01-13,54.84869384765625
2015-01-14,54.488006591796875
2015-01-15,52.968021392822266
2015-01-16,53.84394073486328
2015-01-20,54.84869384765625
2015-01-21,54.43648910522461
2015-01-22,55.26091003417969
2015-01-23,56.54902648925781
2015-01-26,56.49750518798828
2015-01-27,56.111061096191406
2015-01-28,54.874454498291016
2015-01-29,55.621578216552734
2015-01-30,54.5395393371582
2015-02-02,54.694122314453125
2015-02-03,55.46699523925781
2015-02-04,56.1883430480957
2015-02-05,56.67782974243164
2015-02-06,55.87919235229492
2015-02-09,55.95648956298828
2015-02-10,54.951751708984375
2015-02-11,55.1320915222168
2015-02-12,56.03377914428711
2015-02-13,56.7293701171875
2015-02-17,57.1931037902832
2015-02-18,57.9659538269043
2015-02-19,58.944950103759766
2015-02-20,58.944950103759766
2015-02-23,58.73885726928711
2015-02-24,60.23308181762695
2015-02-25,60.15581512451172
2015-02-26,62.21681594848633
2015-02-27,62.525962829589844
2015-03-02,60.82563018798828
2015-03-03,61.90765380859375
2015-03-04,62.55171585083008
2015-03-05,64.02627563476562
2015-03-06,63.32781219482422
2015-03-09,62.4999885559082
2015-03-10,61.853271484375
2015-03-11,62.4482421875
2015-03-12,63.379539489746094
2015-03-13,62.26716613769531
2015-03-16,62.784549713134766
2015-03-17,62.68104934692383
2015-03-18,62.1895751953125
2015-03-19,62.55172348022461
2015-03-20,62.474124908447266
2015-03-23,62.24129867553711
2015-03-24,61.82738494873047
