Date,WCC
2010-01-04,26.856639862060547
2010-01-05,27.051393508911133
2010-01-06,27.995952606201172
2010-01-07,28.404937744140625
2010-01-08,28.43415069580078
2010-01-11,28.901561737060547
2010-01-12,28.51205062866211
2010-01-13,29.06710433959961
2010-01-14,29.203432083129883
2010-01-15,29.26185417175293
2010-01-19,29.992185592651367
2010-01-20,30.313528060913086
2010-01-21,29.5247745513916
2010-01-22,28.891820907592773
2010-01-25,28.43415069580078
2010-01-26,27.75250816345215
2010-01-27,27.75250816345215
2010-01-28,28.093326568603516
2010-01-29,26.992963790893555
2010-02-01,26.944278717041016
2010-02-02,28.882083892822266
2010-02-03,28.307554244995117
2010-02-04,26.944278717041016
2010-02-05,27.304576873779297
2010-02-08,27.031919479370117
2010-02-09,27.23641014099121
2010-02-10,26.89558982849121
2010-02-11,26.827425003051758
2010-02-12,27.002702713012695
2010-02-16,27.586965560913086
2010-02-17,27.63565444946289
2010-02-18,28.31729507446289
2010-02-19,29.028146743774414
2010-02-22,28.599687576293945
2010-02-23,27.966739654541016
2010-02-24,28.11280632019043
2010-02-25,27.898576736450195
2010-02-26,28.132280349731445
2010-03-01,29.125526428222656
2010-03-02,29.661102294921875
2010-03-03,30.05061149597168
2010-03-04,30.03113555908203
2010-03-05,30.595924377441406
2010-03-08,31.443103790283203
2010-03-09,32.134483337402344
2010-03-10,31.78392791748047
2010-03-11,33.19589614868164
2010-03-12,33.23484420776367
2010-03-15,33.50750732421875
2010-03-16,33.78990173339844
2010-03-17,33.78990173339844
2010-03-18,34.237831115722656
2010-03-19,33.57566833496094
2010-03-22,33.53670883178711
2010-03-23,34.208621978759766
2010-03-24,33.614620208740234
2010-03-25,33.955440521240234
2010-03-26,34.26704406738281
2010-03-29,33.974910736083984
2010-03-30,33.741207122802734
2010-03-31,33.79962921142578
2010-04-01,34.442325592041016
2010-04-05,35.231082916259766
2010-04-06,35.36740493774414
2010-04-07,35.445308685302734
2010-04-08,35.05580139160156
2010-04-09,34.89999008178711
2010-04-12,35.688758850097656
2010-04-13,36.78911209106445
2010-04-14,36.99360656738281
2010-04-15,37.6947135925293
2010-04-16,37.4512825012207
2010-04-19,36.66252899169922
2010-04-20,36.91569900512695
2010-04-21,37.178627014160156
2010-04-22,40.16810607910156
2010-04-23,40.99580383300781
2010-04-26,40.67446517944336
2010-04-27,40.07072830200195
2010-04-28,40.57708740234375
2010-04-29,40.66471862792969
