Date,AOS
2010-01-04,5.849097728729248
2010-01-05,5.7743611335754395
2010-01-06,5.776982307434082
2010-01-07,5.794027328491211
2010-01-08,5.879253387451172
2010-01-11,5.851719379425049
2010-01-12,5.8110737800598145
2010-01-13,5.778295516967773
2010-01-14,5.80582857131958
2010-01-15,5.761247158050537
2010-01-19,5.862208843231201
2010-01-20,5.894987106323242
2010-01-21,5.6930694580078125
2010-01-22,5.630133152008057
2010-01-25,5.618333339691162
2010-01-26,5.558019638061523
2010-01-27,5.770749568939209
2010-01-28,5.6851301193237305
2010-01-29,5.608732223510742
2010-02-01,5.598194122314453
2010-02-02,5.606098175048828
2010-02-03,5.617950916290283
2010-02-04,5.461202621459961
2010-02-05,5.491497993469238
2010-02-08,5.5244293212890625
2010-02-09,5.6627373695373535
2010-02-10,5.6442975997924805
2010-02-11,5.74308967590332
2010-02-12,5.782603740692139
2010-02-16,5.791825771331787
2010-02-17,5.753626823425293
2010-02-18,5.860320091247559
2010-02-19,5.885349273681641
2010-02-22,5.918280601501465
2010-02-23,5.870860576629639
2010-02-24,5.957794666290283
2010-02-25,5.960431098937988
2010-02-26,5.967019081115723
2010-03-01,6.046051502227783
2010-03-02,6.209384918212891
2010-03-03,6.2449517250061035
2010-03-04,6.2449517250061035
2010-03-05,6.29368782043457
2010-03-08,6.2449517250061035
2010-03-09,6.26470947265625
2010-03-10,6.2778801918029785
2010-03-11,6.368768692016602
2010-03-12,6.396432399749756
2010-03-15,6.493906497955322
2010-03-16,6.5281524658203125
2010-03-17,6.55976676940918
2010-03-18,6.540006637573242
2010-03-19,6.472830295562744
2010-03-22,6.570301532745361
2010-03-23,6.9180521965026855
2010-03-24,6.8838019371032715
2010-03-25,6.773155689239502
2010-03-26,6.770521640777588
2010-03-29,6.849554061889648
2010-03-30,6.943078517913818
2010-03-31,6.924637317657471
2010-04-01,6.9180521965026855
2010-04-05,7.078752040863037
2010-04-06,7.1037774085998535
2010-04-07,7.055041790008545
2010-04-08,7.138025760650635
2010-04-09,7.2038893699646
2010-04-12,7.149883270263672
2010-04-13,7.343513011932373
2010-04-14,7.454161643981934
2010-04-15,7.383029460906982
2010-04-16,7.376445293426514
2010-04-19,7.35405158996582
2010-04-20,6.844285488128662
2010-04-21,6.857459545135498
2010-04-22,6.964154243469238
2010-04-23,7.007619380950928
2010-04-26,6.983912467956543
2010-04-27,6.920686721801758
2010-04-28,6.869782447814941
2010-04-29,7.069428443908691
2010-04-30,6.82615327835083
2010-05-03,6.964977264404297
2010-05-04,6.802353858947754
2010-05-05,6.594779014587402
2010-05-06,6.560406684875488
2010-05-07,6.311845779418945
2010-05-10,6.652956008911133
2010-05-11,6.600069999694824
2010-05-12,6.857886791229248
2010-05-13,6.812930107116699
2010-05-14,6.63312292098999
2010-05-17,6.506199359893799
2010-05-18,6.388528347015381
2010-05-19,6.338288307189941
2010-05-20,6.1148481369018555
2010-05-21,6.126746654510498
2010-05-24,5.98660135269165
2010-05-25,6.043452739715576
2010-05-26,6.09369421005249
2010-05-27,6.318456649780273
2010-05-28,6.1637654304504395
2010-06-01,5.983957290649414
2010-06-02,6.060641288757324
2010-06-03,6.254993438720703
2010-06-04,6.063284397125244
2010-06-07,5.966769218444824
2010-06-08,6.095015525817871
2010-06-09,6.110880374908447
2010-06-10,6.3792724609375
2010-06-11,6.508841037750244
2010-06-14,6.3515095710754395
2010-06-15,6.51413106918335
2010-06-16,6.556439399719238
2010-06-17,6.551149845123291
2010-06-18,6.510162830352783
2010-06-21,6.314489364624023
2010-06-22,6.243091583251953
2010-06-23,6.2787933349609375
2010-06-24,6.26953649520874
2010-06-25,6.421581745147705
2010-06-28,6.532639980316162
2010-06-29,6.449346542358398
