Date,WELL
2010-01-04,22.108600616455078
2010-01-05,22.41984748840332
2010-01-06,22.30940055847168
2010-01-07,22.354589462280273
2010-01-08,22.123655319213867
2010-01-11,22.17386245727539
2010-01-12,21.973054885864258
2010-01-13,22.444950103759766
2010-01-14,22.279277801513672
2010-01-15,22.23911476135254
2010-01-19,22.806396484375
2010-01-20,22.716039657592773
2010-01-21,22.17888069152832
2010-01-22,21.691938400268555
2010-01-25,21.74715805053711
2010-01-26,21.63168716430664
2010-01-27,21.797346115112305
2010-01-28,21.73209571838379
2010-01-29,21.58651351928711
2010-02-01,21.616628646850586
2010-02-02,21.76721954345703
2010-02-03,21.45598793029785
2010-02-04,20.619373321533203
2010-02-05,20.92544937133789
2010-02-08,20.537755966186523
2010-02-09,20.568359375
2010-02-10,20.64998435974121
2010-02-11,20.910144805908203
2010-02-12,20.79281234741211
2010-02-16,21.277446746826172
2010-02-17,21.435577392578125
2010-02-18,21.603923797607422
2010-02-19,21.353965759277344
2010-02-22,21.425382614135742
2010-02-23,21.190717697143555
2010-02-24,21.558006286621094
2010-02-25,21.74675750732422
2010-02-26,21.609025955200195
2010-03-01,21.7824649810791
2010-03-02,21.695749282836914
2010-03-03,21.59882164001465
2010-03-04,21.74675750732422
2010-03-05,22.017133712768555
2010-03-08,22.139556884765625
2010-03-09,22.256877899169922
2010-03-10,22.466039657592773
2010-03-11,22.690494537353516
2010-03-12,22.84353256225586
2010-03-15,22.93535614013672
2010-03-16,23.455686569213867
2010-03-17,23.573015213012695
2010-03-18,23.41997528076172
2010-03-19,23.338356018066406
2010-03-22,23.598522186279297
2010-03-23,23.593421936035156
2010-03-24,23.624027252197266
2010-03-25,23.603622436523438
2010-03-26,23.4046688079834
2010-03-29,23.379169464111328
2010-03-30,23.317951202392578
2010-03-31,23.073087692260742
2010-04-01,23.001678466796875
2010-04-05,23.154712677001953
2010-04-06,23.41997528076172
2010-04-07,23.022075653076172
2010-04-08,23.001678466796875
2010-04-09,23.27713966369629
2010-04-12,23.10879135131836
2010-04-13,23.542409896850586
2010-04-14,23.425077438354492
2010-04-15,22.57826805114746
2010-04-16,22.07834243774414
2010-04-19,22.063037872314453
2010-04-20,22.36911392211914
2010-04-21,22.649669647216797
2010-04-22,22.833330154418945
2010-04-23,23.073087692260742
2010-04-26,23.190412521362305
2010-04-27,22.67519187927246
2010-04-28,22.76192283630371
2010-04-29,23.353662490844727
2010-04-30,22.92005729675293
2010-05-03,23.435277938842773
2010-05-04,22.64458656311035
2010-05-05,22.205869674682617
2010-05-06,21.1124210357666
2010-05-07,21.013961791992188
2010-05-10,22.226604461669922
2010-05-11,22.236961364746094
2010-05-12,22.30432891845703
2010-05-13,22.086687088012695
2010-05-14,21.77056121826172
2010-05-17,21.806840896606445
2010-05-18,21.46480941772461
2010-05-19,21.288623809814453
