Date,EWBC
2010-01-04,11.763190269470215
2010-01-05,11.579849243164062
2010-01-06,11.77785587310791
2010-01-07,12.357216835021973
2010-01-08,12.012533187866211
2010-01-11,11.521178245544434
2010-01-12,11.35983943939209
2010-01-13,11.704519271850586
2010-01-14,12.159209251403809
2010-01-15,11.909863471984863
2010-01-19,12.32787799835205
2010-01-20,12.210539817810059
2010-01-21,12.650557518005371
2010-01-22,12.767897605895996
2010-01-25,12.78256893157959
2010-01-26,12.599225997924805
2010-01-27,13.200589179992676
2010-01-28,12.313213348388672
2010-01-29,12.049203872680664
2010-02-01,12.159209251403809
2010-02-02,12.093202590942383
2010-02-03,11.858524322509766
2010-02-04,11.139825820922852
2010-02-05,11.264500617980957
2010-02-08,11.15442180633545
2010-02-09,11.4039306640625
2010-02-10,11.389257431030273
2010-02-11,11.704804420471191
2010-02-12,11.330547332763672
2010-02-16,11.455299377441406
2010-02-17,11.52868366241455
2010-02-18,11.895606994628906
2010-02-19,12.137779235839844
2010-02-22,12.372604370117188
2010-02-23,11.976325035095215
2010-02-24,12.51937198638916
2010-02-25,12.746867179870605
2010-02-26,12.85694408416748
2010-03-01,12.688157081604004
2010-03-02,12.900973320007324
2010-03-03,12.83492660522461
2010-03-04,12.974352836608887
2010-03-05,13.700864791870117
2010-03-08,13.422002792358398
2010-03-09,13.451353073120117
2010-03-10,14.126485824584961
2010-03-11,13.231202125549316
2010-03-12,12.945000648498535
2010-03-15,12.783555030822754
2010-03-16,13.0110502243042
2010-03-17,13.06241512298584
2010-03-18,13.238540649414062
2010-03-19,13.282570838928223
2010-03-22,13.53941535949707
2010-03-23,13.495387077331543
2010-03-24,13.488046646118164
2010-03-25,13.253218650817871
2010-03-26,13.275230407714844
2010-03-29,13.201847076416016
2010-03-30,13.040407180786133
2010-03-31,12.783555030822754
2010-04-01,13.040407180786133
2010-04-05,13.113786697387695
2010-04-06,13.355953216552734
2010-04-07,13.282570838928223
2010-04-08,13.363292694091797
2010-04-09,13.532078742980957
2010-04-12,13.524738311767578
2010-04-13,13.53941535949707
2010-04-14,13.97238826751709
2010-04-15,13.928353309631348
2010-04-16,13.422002792358398
2010-04-19,13.1651611328125
2010-04-20,13.392641067504883
2010-04-21,13.862310409545898
2010-04-22,14.764931678771973
2010-04-23,14.786943435668945
2010-04-26,14.515432357788086
2010-04-27,14.221882820129395
2010-04-28,14.610824584960938
2010-04-29,14.574139595031738
2010-04-30,14.39067268371582
