Date,MAS
2010-01-04,9.641549110412598
2010-01-05,9.729263305664062
2010-01-06,9.881867408752441
2010-01-07,10.499058723449707
2010-01-08,10.566884994506836
2010-01-11,10.539750099182129
2010-01-12,10.37697696685791
2010-01-13,10.241326332092285
2010-01-14,10.193853378295898
2010-01-15,10.173506736755371
2010-01-19,10.458364486694336
2010-01-20,10.139595985412598
2010-01-21,9.827608108520508
2010-01-22,9.434234619140625
2010-01-25,9.34605884552002
2010-01-26,9.34605884552002
2010-01-27,9.21041202545166
2010-01-28,9.223978042602539
2010-01-29,9.19684886932373
2010-02-01,9.488492965698242
2010-02-02,10.024292945861816
2010-02-03,10.071769714355469
2010-02-04,9.834388732910156
2010-02-05,9.59022331237793
2010-02-08,9.529186248779297
2010-02-09,9.80047607421875
2010-02-10,9.834388732910156
2010-02-11,9.33928108215332
2010-02-12,9.366410255432129
2010-02-16,9.495269775390625
2010-02-17,9.461356163024902
2010-02-18,9.379974365234375
2010-02-19,9.223978042602539
2010-02-22,9.237543106079102
2010-02-23,8.986598014831543
2010-02-24,9.027291297912598
2010-02-25,8.925557136535645
2010-02-26,9.067988395690918
2010-03-01,9.474924087524414
2010-03-02,9.508838653564453
2010-03-03,9.61057186126709
2010-03-04,9.59022331237793
2010-03-05,9.759782791137695
2010-03-08,9.94290542602539
2010-03-09,9.956472396850586
2010-03-10,10.07855224609375
2010-03-11,10.254892349243164
2010-03-12,10.28880500793457
2010-03-15,10.275245666503906
2010-03-16,10.383759498596191
2010-03-17,10.532971382141113
2010-03-18,10.519407272338867
2010-03-19,10.173506736755371
2010-03-22,10.329500198364258
2010-03-23,10.499058723449707
2010-03-24,10.28880500793457
2010-03-25,10.261674880981445
2010-03-26,10.302371978759766
2010-03-29,10.390538215637207
2010-03-30,10.444799423217773
2010-03-31,10.5261869430542
2010-04-01,10.722874641418457
2010-04-05,10.953475952148438
2010-04-06,11.041648864746094
2010-04-07,10.79975700378418
2010-04-08,10.827010154724121
2010-04-09,10.970100402832031
2010-04-12,10.976914405822754
2010-04-13,10.997353553771973
2010-04-14,11.501570701599121
2010-04-15,11.583333015441895
2010-04-16,11.556079864501953
2010-04-19,11.746868133544922
2010-04-20,11.917207717895508
2010-04-21,11.978534698486328
2010-04-22,12.332841873168945
2010-04-23,12.503186225891113
2010-04-26,12.264708518981934
2010-04-27,10.643040657043457
2010-04-28,11.20858097076416
2010-04-29,11.474316596984863
2010-04-30,11.058680534362793
2010-05-03,11.331226348876953
2010-05-04,10.731620788574219
2010-05-05,10.54083251953125
2010-05-06,9.975295066833496
2010-05-07,9.307555198669434
2010-05-10,10.309167861938477
2010-05-11,10.302356719970703
2010-05-12,10.629412651062012
2010-05-13,10.343235969543457
2010-05-14,10.04343318939209
2010-05-17,10.057061195373535
2010-05-18,9.818580627441406
2010-05-19,9.5869140625
2010-05-20,9.082698822021484
2010-05-21,9.36205768585205
2010-05-24,9.307555198669434
2010-05-25,9.218971252441406
2010-05-26,8.919168472290039
2010-05-27,9.259857177734375
2010-05-28,9.096325874328613
2010-06-01,8.523969650268555
2010-06-02,8.789708137512207
2010-06-03,8.816961288452148
2010-06-04,8.449019432067871
2010-06-07,8.087891578674316
2010-06-08,7.972060680389404
2010-06-09,7.8971076011657715
2010-06-10,8.428580284118652
2010-06-11,8.421767234802246
2010-06-14,8.60573673248291
2010-06-15,8.994118690490723
2010-06-16,8.667060852050781
2010-06-17,8.326374053955078
2010-06-18,8.394511222839355
2010-06-21,8.401327133178711
2010-06-22,8.149218559265137
2010-06-23,8.244609832763672
2010-06-24,7.965248107910156
2010-06-25,8.047012329101562
2010-06-28,8.053827285766602
2010-06-29,7.672256946563721
2010-06-30,7.331568241119385
2010-07-01,7.379266738891602
2010-07-02,7.290687561035156
2010-07-06,7.2975006103515625
2010-07-07,7.7126359939575195
2010-07-08,7.698915004730225
2010-07-09,7.897904872894287
2010-07-12,7.63029670715332
2010-07-13,7.843014717102051
2010-07-14,7.664606094360352
2010-07-15,7.705775737762451
2010-07-16,7.184282302856445
2010-07-19,7.08135461807251
2010-07-20,7.287207126617432
2010-07-21,7.005875587463379
2010-07-22,7.410719871520996
2010-07-23,7.836151123046875
2010-07-26,8.186101913452148
2010-07-27,7.2254533767700195
2010-07-28,6.937257766723633
2010-07-29,6.896083831787109
2010-07-30,7.0539045333862305
2010-08-02,7.30779504776001
2010-08-03,7.348964691162109
2010-08-04,7.396998882293701
2010-08-05,7.3558268547058105
2010-08-06,7.5067877769470215
2010-08-09,7.781260967254639
2010-08-10,7.561678409576416
2010-08-11,7.287207126617432
2010-08-12,7.2323150634765625
2010-08-13,7.191145420074463
2010-08-16,7.067634105682373
2010-08-17,7.30779504776001
2010-08-18,7.4656171798706055
2010-08-19,7.314658164978027
2010-08-20,7.246038436889648
2010-08-23,7.1225266456604
2010-08-24,7.198006629943848
2010-08-25,7.328380107879639
2010-08-26,7.040185451507568
2010-08-27,7.328380107879639
2010-08-30,7.143110752105713
2010-08-31,7.198006629943848
2010-09-01,7.554815769195557
2010-09-02,7.7606730461120605
2010-09-03,7.843014717102051
2010-09-07,7.4656171798706055
2010-09-08,7.458755970001221
2010-09-09,7.5067877769470215
2010-09-10,7.499924182891846
2010-09-13,7.73322057723999
2010-09-14,7.623434066772461
2010-09-15,7.547956466674805
2010-09-16,7.51364803314209
2010-09-17,7.5067877769470215
2010-09-20,7.650882244110107
2010-09-21,7.671466827392578
2010-09-22,7.51364803314209
2010-09-23,7.280348300933838
2010-09-24,7.547956466674805
2010-09-27,7.499924182891846
