Date,AAP
2010-01-04,35.12300491333008
2010-01-05,34.91425323486328
2010-01-06,35.218666076660156
2010-01-07,35.20998001098633
2010-01-08,35.34915542602539
2010-01-11,35.00123596191406
2010-01-12,34.39236068725586
2010-01-13,34.87076950073242
2010-01-14,34.40976333618164
2010-01-15,34.192298889160156
2010-01-19,34.35759353637695
2010-01-20,34.06183624267578
2010-01-21,34.12271499633789
2010-01-22,34.56632995605469
2010-01-25,35.227378845214844
2010-01-26,35.27085494995117
2010-01-27,35.30565643310547
2010-01-28,34.592403411865234
2010-01-29,34.31406784057617
2010-02-01,35.218666076660156
2010-02-02,35.82754135131836
2010-02-03,35.82754135131836
2010-02-04,35.601402282714844
2010-02-05,35.41872787475586
2010-02-08,35.49703598022461
2010-02-09,36.15806579589844
2010-02-10,36.81914520263672
2010-02-11,37.0105094909668
2010-02-12,37.236629486083984
2010-02-16,37.0800895690918
2010-02-17,37.29753112792969
2010-02-18,34.92295455932617
2010-02-19,34.79247283935547
2010-02-22,35.00123596191406
2010-02-23,34.98385238647461
2010-02-24,35.19257736206055
2010-02-25,35.42742919921875
2010-02-26,35.48833084106445
2010-03-01,35.92323303222656
2010-03-02,35.95803451538086
2010-03-03,36.0884895324707
2010-03-04,36.340736389160156
2010-03-05,36.784339904785156
2010-03-08,36.61907958984375
2010-03-09,36.47990798950195
2010-03-10,36.64516830444336
2010-03-11,36.862632751464844
2010-03-12,36.68867492675781
2010-03-15,36.6016960144043
2010-03-16,36.793052673339844
2010-03-17,36.8365478515625
2010-03-18,36.96699142456055
2010-03-19,37.6280517578125
2010-03-22,37.9586067199707
2010-03-23,38.2369270324707
2010-03-24,37.79271697998047
2010-03-25,37.470458984375
2010-03-26,37.00011444091797
2010-03-29,36.74752426147461
2010-03-30,36.782371520996094
2010-03-31,36.51235580444336
2010-04-01,36.89560317993164
2010-04-05,37.16560745239258
2010-04-06,37.06978988647461
2010-04-07,36.66912841796875
2010-04-08,36.79978561401367
2010-04-09,36.69527053833008
2010-04-12,36.939144134521484
2010-04-13,36.808494567871094
2010-04-14,39.43890380859375
2010-04-15,39.526004791259766
2010-04-16,39.22987747192383
2010-04-19,38.71597671508789
2010-04-20,38.72470474243164
2010-04-21,39.168907165527344
2010-04-22,39.62181854248047
2010-04-23,40.161861419677734
2010-04-26,40.34476089477539
2010-04-27,39.40407180786133
2010-04-28,39.65665817260742
