Date,SNX
2010-01-04,14.131624221801758
2010-01-05,14.256017684936523
2010-01-06,13.380840301513672
2010-01-07,13.505228042602539
2010-01-08,13.523001670837402
2010-01-11,13.380840301513672
2010-01-12,13.118734359741211
2010-01-13,13.127613067626953
2010-01-14,13.194257736206055
2010-01-15,12.932147979736328
2010-01-19,13.065422058105469
2010-01-20,12.812198638916016
2010-01-21,12.425702095031738
2010-01-22,12.332408905029297
2010-01-25,12.394600868225098
2010-01-26,12.10583782196045
2010-01-27,12.190247535705566
2010-01-28,11.839285850524902
2010-01-29,11.75932502746582
2010-02-01,12.012548446655273
2010-02-02,12.079187393188477
2010-02-03,11.897040367126465
2010-02-04,11.50165843963623
2010-02-05,11.56385326385498
2010-02-08,11.985893249511719
2010-02-09,12.252445220947266
2010-02-10,12.088071823120117
2010-02-11,12.283541679382324
2010-02-12,12.367944717407227
2010-02-16,12.554533004760742
2010-02-17,12.67892074584961
2010-02-18,12.989899635314941
2010-02-19,12.985457420349121
2010-02-22,12.936590194702148
2010-02-23,12.62116813659668
2010-02-24,12.878835678100586
2010-02-25,12.829968452453613
2010-02-26,12.723346710205078
2010-03-01,13.025440216064453
2010-03-02,13.260895729064941
2010-03-03,13.172042846679688
2010-03-04,13.252009391784668
2010-03-05,13.327531814575195
2010-03-08,13.340856552124023
2010-03-09,13.562986373901367
2010-03-10,13.549656867980957
2010-03-11,13.540772438049316
2010-03-12,13.549656867980957
2010-03-15,13.638504028320312
2010-03-16,13.771782875061035
2010-03-17,14.1627197265625
2010-03-18,13.940593719482422
2010-03-19,14.007234573364258
2010-03-22,14.104970932006836
2010-03-23,13.962810516357422
2010-03-24,13.79399299621582
2010-03-25,14.104970932006836
2010-03-26,13.003228187561035
2010-03-29,13.367512702941895
2010-03-30,13.447477340698242
2010-03-31,13.132061958312988
2010-04-01,12.972129821777344
2010-04-05,13.212026596069336
2010-04-06,13.060980796813965
2010-04-07,12.967684745788574
2010-04-08,12.883277893066406
2010-04-09,13.083195686340332
2010-04-12,13.03876781463623
2010-04-13,12.972129821777344
2010-04-14,13.09207820892334
2010-04-15,13.03876781463623
2010-04-16,12.963244438171387
2010-04-19,12.963244438171387
2010-04-20,13.012114524841309
2010-04-21,13.043211936950684
2010-04-22,13.318642616271973
2010-04-23,13.34529972076416
2010-04-26,13.194257736206055
2010-04-27,12.838854789733887
2010-04-28,12.567863464355469
2010-04-29,12.758889198303223
2010-04-30,12.181364059448242
2010-05-03,12.394600868225098
2010-05-04,12.065855979919434
2010-05-05,12.07474422454834
2010-05-06,11.679357528686523
2010-05-07,11.612720489501953
2010-05-10,12.345736503601074
2010-05-11,12.283541679382324
2010-05-12,12.661153793334961
2010-05-13,12.723346710205078
2010-05-14,12.359066009521484
2010-05-17,12.44791030883789
2010-05-18,12.1280517578125
2010-05-19,12.065855979919434
2010-05-20,11.674915313720703
2010-05-21,11.78598403930664
2010-05-24,11.56385326385498
2010-05-25,11.479447364807129
2010-05-26,11.737112998962402
2010-05-27,12.096954345703125
2010-05-28,11.874832153320312
2010-06-01,11.448349952697754
2010-06-02,11.590509414672852
2010-06-03,11.910365104675293
2010-06-04,11.466116905212402
2010-06-07,11.283973693847656
2010-06-08,11.017424583435059
2010-06-09,11.159586906433105
2010-06-10,11.337285041809082
2010-06-11,11.519429206848145
2010-06-14,11.572737693786621
2010-06-15,11.990335464477539
2010-06-16,11.93702220916748
2010-06-17,11.90148639678955
2010-06-18,11.843732833862305
2010-06-21,11.737112998962402
2010-06-22,11.53719711303711
2010-06-23,11.617164611816406
2010-06-24,11.279533386230469
2010-06-25,11.808197021484375
2010-06-28,11.968122482299805
2010-06-29,11.626049041748047
2010-06-30,11.3817138671875
2010-07-01,11.470561981201172
2010-07-02,11.212889671325684
2010-07-06,11.12848949432373
2010-07-07,11.212889671325684
2010-07-08,11.39059829711914
2010-07-09,11.368383407592773
2010-07-12,11.204007148742676
2010-07-13,11.572737693786621
2010-07-14,11.626049041748047
2010-07-15,11.523872375488281
2010-07-16,11.239548683166504
2010-07-19,11.399478912353516
2010-07-20,11.577180862426758
2010-07-21,11.270649909973145
2010-07-22,11.572737693786621
2010-07-23,11.910365104675293
2010-07-26,11.843732833862305
2010-07-27,11.737112998962402
2010-07-28,11.599394798278809
2010-07-29,11.6304931640625
2010-07-30,11.723785400390625
2010-08-02,11.81707763671875
2010-08-03,11.586065292358398
2010-08-04,11.430578231811523
2010-08-05,11.457234382629395
2010-08-06,11.350613594055176
2010-08-09,11.306193351745605
2010-08-10,10.990768432617188
2010-08-11,10.542076110839844
2010-08-12,10.488767623901367
2010-08-13,10.337719917297363
2010-08-16,10.337719917297363
2010-08-17,10.515420913696289
2010-08-18,10.662022590637207
2010-08-19,10.555403709411621
2010-08-20,10.59982681274414
2010-08-23,10.502092361450195
2010-08-24,10.319951057434082
2010-08-25,10.324393272399902
2010-08-26,10.28441047668457
2010-08-27,10.639810562133789
2010-08-30,10.279970169067383
2010-08-31,10.244429588317871
2010-09-01,10.719775199890137
2010-09-02,10.719775199890137
2010-09-03,10.93301773071289
2010-09-07,10.67979621887207
2010-09-08,10.528749465942383
2010-09-09,10.750875473022461
2010-09-10,10.728662490844727
2010-09-13,11.070733070373535
2010-09-14,11.146259307861328
2010-09-15,11.190683364868164
2010-09-16,11.00854206085205
2010-09-17,11.132929801940918
2010-09-20,11.368383407592773
2010-09-21,11.292858123779297
2010-09-22,11.23066520690918
2010-09-23,11.021866798400879
2010-09-24,11.275090217590332
2010-09-27,11.372824668884277
2010-09-28,11.514983177185059
