Date,BOOM
2010-01-04,18.886564254760742
2010-01-05,19.400991439819336
2010-01-06,19.869474411010742
2010-01-07,19.887849807739258
2010-01-08,20.25529670715332
2010-01-11,19.90622329711914
2010-01-12,19.373432159423828
2010-01-13,19.281572341918945
2010-01-14,18.996797561645508
2010-01-15,18.298662185668945
2010-01-19,18.969242095947266
2010-01-20,18.537492752075195
2010-01-21,17.54540252685547
2010-01-22,16.847257614135742
2010-01-25,16.737030029296875
2010-01-26,15.983769416809082
2010-01-27,16.06644630432129
2010-01-28,15.671438217163086
2010-01-29,15.074345588684082
2010-02-01,15.157021522521973
2010-02-02,15.221322059631348
2010-02-03,15.588768005371094
2010-02-04,15.019232749938965
2010-02-05,15.20295238494873
2010-02-08,15.01004409790039
2010-02-09,15.212138175964355
2010-02-10,15.32237434387207
2010-02-11,16.14911460876465
2010-02-12,16.323654174804688
2010-02-16,16.6727237701416
2010-02-17,16.727846145629883
2010-02-18,16.939123153686523
2010-02-19,17.269817352294922
2010-02-22,17.0034236907959
2010-02-23,16.737030029296875
2010-02-24,16.74620819091797
2010-02-25,16.654346466064453
2010-02-26,16.645170211791992
2010-03-01,17.104473114013672
2010-03-02,17.361679077148438
2010-03-03,17.297374725341797
2010-03-04,17.508651733398438
2010-03-05,15.01004409790039
2010-03-08,14.651785850524902
2010-03-09,14.541555404663086
2010-03-10,14.458878517150879
2010-03-11,14.706902503967285
2010-03-12,14.605853080749512
2010-03-15,14.50480842590332
2010-03-16,14.477252006530762
2010-03-17,14.523180961608887
2010-03-18,14.385390281677246
2010-03-19,14.155741691589355
2010-03-22,13.94446086883545
2010-03-23,14.321087837219238
2010-03-24,14.440507888793945
2010-03-25,14.422133445739746
2010-03-26,14.523180961608887
2010-03-29,14.698163986206055
2010-03-30,14.532391548156738
2010-03-31,14.385043144226074
2010-04-01,14.560018539428711
2010-04-05,14.919187545776367
2010-04-06,14.863930702209473
2010-04-07,14.661321640014648
2010-04-08,14.863930702209473
2010-04-09,14.790254592895508
2010-04-12,14.909977912902832
2010-04-13,14.863930702209473
2010-04-14,15.637520790100098
2010-04-15,15.766441345214844
2010-04-16,16.171659469604492
2010-04-19,15.978263854980469
2010-04-20,16.236122131347656
2010-04-21,16.383480072021484
2010-04-22,16.908411026000977
2010-04-23,16.945241928100586
2010-04-26,17.17548370361328
2010-04-27,16.65054702758789
