Date,CIEN
2010-01-04,11.020000457763672
2010-01-05,11.859999656677246
2010-01-06,11.90999984741211
2010-01-07,12.210000038146973
2010-01-08,11.930000305175781
2010-01-11,11.760000228881836
2010-01-12,11.720000267028809
2010-01-13,12.0600004196167
2010-01-14,11.979999542236328
2010-01-15,11.630000114440918
2010-01-19,12.90999984741211
2010-01-20,13.039999961853027
2010-01-21,12.710000038146973
2010-01-22,12.239999771118164
2010-01-25,13.0600004196167
2010-01-26,12.770000457763672
2010-01-27,13.229999542236328
2010-01-28,13.140000343322754
2010-01-29,12.75
2010-02-01,13.100000381469727
2010-02-02,13.430000305175781
2010-02-03,13.390000343322754
2010-02-04,12.869999885559082
2010-02-05,12.800000190734863
2010-02-08,12.760000228881836
2010-02-09,13.09000015258789
2010-02-10,13.670000076293945
2010-02-11,13.9399995803833
2010-02-12,14.380000114440918
2010-02-16,14.380000114440918
2010-02-17,14.149999618530273
2010-02-18,14.399999618530273
2010-02-19,14.479999542236328
2010-02-22,14.729999542236328
2010-02-23,14.140000343322754
2010-02-24,14.420000076293945
2010-02-25,14.8100004196167
2010-02-26,14.34000015258789
2010-03-01,14.710000038146973
2010-03-02,14.760000228881836
2010-03-03,14.550000190734863
2010-03-04,13.970000267028809
2010-03-05,16.010000228881836
2010-03-08,15.100000381469727
2010-03-09,15.420000076293945
2010-03-10,15.489999771118164
2010-03-11,15.930000305175781
2010-03-12,15.800000190734863
2010-03-15,15.75
2010-03-16,15.960000038146973
2010-03-17,15.789999961853027
2010-03-18,15.170000076293945
2010-03-19,14.930000305175781
2010-03-22,15.380000114440918
2010-03-23,15.479999542236328
2010-03-24,15.460000038146973
2010-03-25,15.149999618530273
2010-03-26,15.4399995803833
2010-03-29,15.260000228881836
2010-03-30,15.260000228881836
2010-03-31,15.260000228881836
2010-04-01,15.079999923706055
2010-04-05,15.430000305175781
2010-04-06,16.1299991607666
2010-04-07,16.290000915527344
2010-04-08,15.989999771118164
2010-04-09,16.260000228881836
2010-04-12,17.489999771118164
2010-04-13,18.059999465942383
2010-04-14,18.59000015258789
2010-04-15,18.06999969482422
2010-04-16,17.639999389648438
2010-04-19,17.34000015258789
2010-04-20,18.229999542236328
2010-04-21,17.75
2010-04-22,17.479999542236328
2010-04-23,18.139999389648438
2010-04-26,18.020000457763672
2010-04-27,17.56999969482422
2010-04-28,18.139999389648438
2010-04-29,18.299999237060547
2010-04-30,18.530000686645508
2010-05-03,19.239999771118164
2010-05-04,18.350000381469727
2010-05-05,17.920000076293945
2010-05-06,16.959999084472656
2010-05-07,16.100000381469727
2010-05-10,16.610000610351562
2010-05-11,16.850000381469727
2010-05-12,17.299999237060547
2010-05-13,17.010000228881836
2010-05-14,16.43000030517578
2010-05-17,16.700000762939453
2010-05-18,16.200000762939453
2010-05-19,15.65999984741211
2010-05-20,15.010000228881836
2010-05-21,15.619999885559082
2010-05-24,15.460000038146973
2010-05-25,15.609999656677246
2010-05-26,15.430000305175781
2010-05-27,16.09000015258789
2010-05-28,15.569999694824219
2010-06-01,14.869999885559082
2010-06-02,15.289999961853027
2010-06-03,15.369999885559082
2010-06-04,14.529999732971191
2010-06-07,13.949999809265137
2010-06-08,13.84000015258789
2010-06-09,13.949999809265137
2010-06-10,14.15999984741211
2010-06-11,14.380000114440918
2010-06-14,14.260000228881836
2010-06-15,14.619999885559082
2010-06-16,14.779999732971191
2010-06-17,14.600000381469727
2010-06-18,14.569999694824219
2010-06-21,14.5600004196167
2010-06-22,14.1899995803833
2010-06-23,14.210000038146973
2010-06-24,13.890000343322754
2010-06-25,13.699999809265137
2010-06-28,13.470000267028809
2010-06-29,13.020000457763672
2010-06-30,12.680000305175781
2010-07-01,12.739999771118164
2010-07-02,12.489999771118164
2010-07-06,12.40999984741211
2010-07-07,13.050000190734863
2010-07-08,12.850000381469727
2010-07-09,12.720000267028809
2010-07-12,12.770000457763672
2010-07-13,13.319999694824219
2010-07-14,13.779999732971191
2010-07-15,13.430000305175781
2010-07-16,12.800000190734863
2010-07-19,12.529999732971191
2010-07-20,12.609999656677246
2010-07-21,12.289999961853027
2010-07-22,12.949999809265137
2010-07-23,13.460000038146973
2010-07-26,13.899999618530273
2010-07-27,13.470000267028809
2010-07-28,13.1899995803833
2010-07-29,13.100000381469727
2010-07-30,13.09000015258789
2010-08-02,13.300000190734863
2010-08-03,13.170000076293945
2010-08-04,13.520000457763672
2010-08-05,13.25
2010-08-06,13.430000305175781
2010-08-09,13.720000267028809
2010-08-10,13.460000038146973
2010-08-11,12.960000038146973
2010-08-12,12.390000343322754
2010-08-13,12.1899995803833
2010-08-16,12.020000457763672
2010-08-17,12.619999885559082
2010-08-18,12.550000190734863
2010-08-19,12.359999656677246
2010-08-20,12.579999923706055
2010-08-23,12.279999732971191
2010-08-24,12.220000267028809
2010-08-25,12.520000457763672
2010-08-26,12.739999771118164
2010-08-27,13.029999732971191
2010-08-30,12.789999961853027
2010-08-31,12.489999771118164
2010-09-01,12.8100004196167
2010-09-02,12.800000190734863
2010-09-03,13.289999961853027
2010-09-07,13.430000305175781
2010-09-08,14.119999885559082
2010-09-09,13.920000076293945
2010-09-10,14.180000305175781
2010-09-13,14.739999771118164
2010-09-14,14.930000305175781
2010-09-15,14.880000114440918
2010-09-16,15.050000190734863
2010-09-17,15.140000343322754
2010-09-20,15.369999885559082
2010-09-21,15.229999542236328
2010-09-22,15.050000190734863
2010-09-23,15.220000267028809
2010-09-24,15.600000381469727
2010-09-27,15.65999984741211
2010-09-28,15.649999618530273
2010-09-29,15.6899995803833
