Date,UFPI
2010-01-04,10.488009452819824
2010-01-05,10.29466724395752
2010-01-06,10.168577194213867
2010-01-07,10.75420093536377
2010-01-08,10.7485990524292
2010-01-11,10.580476760864258
2010-01-12,10.451581954956055
2010-01-13,10.488009452819824
2010-01-14,10.378728866577148
2010-01-15,10.025673866271973
2010-01-19,10.303074836730957
2010-01-20,9.69503402709961
2010-01-21,9.510096549987793
2010-01-22,9.448451042175293
2010-01-25,9.79310417175293
2010-01-26,9.448451042175293
2010-01-27,9.588556289672852
2010-01-28,9.479273796081543
2010-01-29,9.510096549987793
2010-02-01,9.52410888671875
2010-02-02,9.86035442352295
2010-02-03,9.745467185974121
2010-02-04,9.252309799194336
2010-02-05,9.358789443969727
2010-02-08,9.252309799194336
2010-02-09,9.563337326049805
2010-02-10,9.73986530303955
2010-02-11,10.151762962341309
2010-02-12,10.252634048461914
2010-02-16,10.336701393127441
2010-02-17,9.944415092468262
2010-02-18,9.891178131103516
2010-02-19,10.011661529541016
2010-02-22,10.062098503112793
2010-02-23,9.742666244506836
2010-02-24,9.762275695800781
2010-02-25,9.781895637512207
2010-02-26,9.87436294555664
2010-03-01,10.350706100463867
2010-03-02,10.129345893859863
2010-03-03,10.216209411621094
2010-03-04,10.261045455932617
2010-03-05,10.445978164672852
2010-03-08,10.96155071258545
2010-03-09,10.785022735595703
2010-03-10,11.009183883666992
2010-03-11,10.916718482971191
2010-03-12,10.70096206665039
2010-03-15,11.000779151916504
2010-03-16,10.9923734664917
2010-03-17,11.045613288879395
2010-03-18,10.737387657165527
2010-03-19,10.342299461364746
2010-03-22,10.75980281829834
2010-03-23,10.801836013793945
2010-03-24,10.773813247680664
2010-03-25,10.47960090637207
2010-03-26,10.49921703338623
2010-03-29,10.516027450561523
2010-03-30,10.790624618530273
2010-03-31,10.793429374694824
2010-04-01,11.087644577026367
2010-04-05,11.252964973449707
2010-04-06,10.911114692687988
2010-04-07,10.675745010375977
2010-04-08,11.115663528442383
2010-04-09,11.443499565124512
2010-04-12,11.827377319335938
2010-04-13,11.872211456298828
2010-04-14,12.29811954498291
2010-04-15,11.124070167541504
2010-04-16,11.157693862915039
2010-04-19,11.216535568237305
2010-04-20,11.628434181213379
2010-04-21,11.844193458557129
2010-04-22,12.4634428024292
2010-04-23,12.631564140319824
2010-04-26,12.129999160766602
2010-04-27,11.3594388961792
2010-04-28,11.743314743041992
2010-04-29,12.351357460021973
2010-04-30,11.782546997070312
2010-05-03,12.03472900390625
2010-05-04,11.617226600646973
2010-05-05,11.132474899291992
2010-05-06,10.916718482971191
2010-05-07,10.658931732177734
2010-05-10,11.280981063842773
2010-05-11,11.000779151916504
2010-05-12,11.804965019226074
2010-05-13,11.493937492370605
2010-05-14,11.294995307922363
2010-05-17,11.269774436950684
2010-05-18,11.02599811553955
2010-05-19,10.796234130859375
2010-05-20,10.053693771362305
2010-05-21,10.090119361877441
2010-05-24,9.840737342834473
2010-05-25,9.829532623291016
2010-05-26,10.530035018920898
2010-05-27,10.899070739746094
2010-05-28,10.4370756149292
2010-06-01,10.130023002624512
2010-06-02,10.268054008483887
2010-06-03,10.375102043151855
2010-06-04,9.791975975036621
2010-06-07,9.17504596710205
2010-06-08,9.115891456604004
2010-06-09,9.248290061950684
2010-06-10,9.473651885986328
2010-06-11,9.566617012023926
2010-06-14,9.479290962219238
2010-06-15,9.746906280517578
2010-06-16,9.321534156799316
2010-06-17,8.806017875671387
2010-06-18,8.828557014465332
2010-06-21,9.011661529541016
2010-06-22,8.825736999511719
2010-06-23,8.884893417358398
2010-06-24,8.763764381408691
2010-06-25,8.986307144165039
2010-06-28,8.966590881347656
2010-06-29,8.642633438110352
2010-06-30,8.53840160369873
2010-07-01,8.53840160369873
2010-07-02,8.558123588562012
2010-07-06,8.327125549316406
2010-07-07,8.70742130279541
2010-07-08,8.834188461303711
2010-07-09,9.025750160217285
2010-07-12,8.724323272705078
2010-07-13,9.282094955444336
2010-07-14,9.189131736755371
2010-07-15,8.831368446350098
2010-07-16,8.617280006408691
2010-07-19,8.372198104858398
2010-07-20,8.411636352539062
2010-07-21,8.349660873413086
2010-07-22,8.772212028503418
2010-07-23,8.935602188110352
2010-07-26,9.101806640625
2010-07-27,9.206040382385254
2010-07-28,8.831368446350098
