Date,IPI
2010-01-04,294.3993835449219
2010-01-05,305.2278747558594
2010-01-06,317.1198425292969
2010-01-07,322.2440490722656
2010-01-08,322.0506896972656
2010-01-11,319.92364501953125
2010-01-12,308.2250061035156
2010-01-13,312.09234619140625
2010-01-14,302.907470703125
2010-01-15,290.04864501953125
2010-01-19,295.7529296875
2010-01-20,291.2088623046875
2010-01-21,277.3831787109375
2010-01-22,270.3253479003906
2010-01-25,269.8419189453125
2010-01-26,269.3585205078125
2010-01-27,260.46368408203125
2010-01-28,245.8645782470703
2010-01-29,236.7763671875
2010-02-01,252.7290496826172
2010-02-02,255.0494384765625
2010-02-03,262.2039794921875
2010-02-04,246.2512969970703
2010-02-05,247.5081787109375
2010-02-08,243.25413513183594
2010-02-09,247.21812438964844
2010-02-10,246.63804626464844
2010-02-11,261.6238708496094
2010-02-12,262.2039794921875
2010-02-16,274.5793762207031
2010-02-17,272.06561279296875
2010-02-18,271.0021057128906
2010-02-19,275.83624267578125
2010-02-22,274.3860168457031
2010-02-23,266.8447570800781
2010-02-24,265.2978210449219
2010-02-25,265.974609375
2010-02-26,266.0712890625
2010-03-01,275.6429138183594
2010-03-02,281.6372375488281
2010-03-03,277.8666076660156
2010-03-04,274.1926574707031
2010-03-05,274.4826965332031
2010-03-08,271.77557373046875
2010-03-09,273.7092590332031
2010-03-10,276.8997802734375
2010-03-11,274.77276611328125
2010-03-12,304.93780517578125
2010-03-15,304.0676574707031
2010-03-16,312.4790954589844
2010-03-17,304.74444580078125
2010-03-18,297.00982666015625
2010-03-19,290.43536376953125
2010-03-22,296.8164367675781
2010-03-23,296.7197570800781
2010-03-24,289.95196533203125
2010-03-25,277.9632873535156
2010-03-26,281.3471984863281
2010-03-29,279.8969421386719
2010-03-30,292.2723388671875
2010-03-31,293.2391662597656
2010-04-01,289.0818176269531
2010-04-05,281.3471984863281
2010-04-06,277.9632873535156
2010-04-07,274.5793762207031
2010-04-08,276.4163513183594
2010-04-09,274.8694152832031
2010-04-12,273.612548828125
2010-04-13,271.19549560546875
2010-04-14,262.3973388671875
2010-04-15,259.1101379394531
2010-04-16,253.1157684326172
2010-04-19,248.47500610351562
2010-04-20,261.2371520996094
2010-04-21,257.7565612792969
2010-04-22,257.7565612792969
2010-04-23,257.9499206542969
2010-04-26,258.8200988769531
2010-04-27,250.31198120117188
2010-04-28,252.24563598632812
2010-04-29,253.3091583251953
2010-04-30,253.88925170898438
2010-05-03,254.4693603515625
2010-05-04,246.63804626464844
2010-05-05,255.72622680664062
2010-05-06,247.60487365722656
2010-05-07,243.44749450683594
2010-05-10,256.69305419921875
2010-05-11,251.18211364746094
2010-05-12,258.916748046875
2010-05-13,263.65423583984375
2010-05-14,253.59918212890625
2010-05-17,249.05511474609375
2010-05-18,246.54135131835938
2010-05-19,244.41432189941406
2010-05-20,233.58584594726562
2010-05-21,238.0332489013672
2010-05-24,232.42564392089844
2010-05-25,233.00575256347656
2010-05-26,229.81520080566406
2010-05-27,241.5138397216797
2010-05-28,238.4199981689453
2010-06-01,230.78204345703125
2010-06-02,236.87306213378906
2010-06-03,234.45599365234375
2010-06-04,222.37063598632812
2010-06-07,218.69667053222656
2010-06-08,209.70516967773438
2010-06-09,203.71083068847656
2010-06-10,217.43978881835938
2010-06-11,216.9563751220703
2010-06-14,213.0890655517578
2010-06-15,218.60000610351562
2010-06-16,216.1829376220703
2010-06-17,217.53648376464844
2010-06-18,216.7630157470703
2010-06-21,207.28810119628906
2010-06-22,205.54782104492188
2010-06-23,204.5809783935547
2010-06-24,198.78001403808594
2010-06-25,203.1307373046875
2010-06-28,199.553466796875
2010-06-29,192.88235473632812
2010-06-30,189.20840454101562
2010-07-01,192.88235473632812
2010-07-02,193.1724090576172
2010-07-06,193.1724090576172
2010-07-07,200.61697387695312
2010-07-08,206.61131286621094
2010-07-09,213.66917419433594
2010-07-12,208.44830322265625
2010-07-13,212.31561279296875
2010-07-14,215.02272033691406
2010-07-15,224.49765014648438
2010-07-16,217.34312438964844
2010-07-19,214.345947265625
2010-07-20,223.0474090576172
2010-07-21,217.34312438964844
2010-07-22,221.40379333496094
2010-07-23,228.84837341308594
2010-07-26,230.68536376953125
2010-07-27,227.8815460205078
2010-07-28,227.4948272705078
2010-07-29,231.5554962158203
2010-07-30,233.9725799560547
2010-08-02,238.6133575439453
2010-08-03,233.68252563476562
2010-08-04,239.8702392578125
2010-08-05,245.8645782470703
2010-08-06,240.83706665039062
2010-08-09,239.38682556152344
2010-08-10,231.84555053710938
2010-08-11,222.9507293701172
2010-08-12,232.7156982421875
2010-08-13,227.6881866455078
2010-08-16,231.65219116210938
2010-08-17,244.60769653320312
2010-08-18,242.4806671142578
2010-08-19,232.5223388671875
2010-08-20,229.331787109375
2010-08-23,228.65501403808594
2010-08-24,219.0834197998047
2010-08-25,214.44264221191406
2010-08-26,214.249267578125
2010-08-27,222.8540496826172
2010-08-30,218.30995178222656
2010-08-31,217.05307006835938
2010-09-01,222.56399536132812
2010-09-02,230.78204345703125
2010-09-03,236.1962890625
2010-09-07,232.13560485839844
2010-09-08,244.80105590820312
2010-09-09,237.6465301513672
2010-09-10,236.1962890625
2010-09-13,237.8398895263672
2010-09-14,241.99725341796875
2010-09-15,246.4446563720703
2010-09-16,249.73187255859375
2010-09-17,255.9196014404297
