Date,FTRE
2023-06-16,30.100000381469727
2023-06-20,32.0
2023-06-21,32.52000045776367
2023-06-22,33.25
2023-06-23,33.75
2023-06-26,33.75
2023-06-27,34.27000045776367
2023-06-28,34.2599983215332
2023-06-29,35.41999816894531
2023-06-30,34.0099983215332
2023-07-03,36.84000015258789
2023-07-05,37.0
2023-07-06,33.9900016784668
2023-07-07,32.220001220703125
2023-07-10,30.649999618530273
2023-07-11,30.850000381469727
2023-07-12,31.149999618530273
2023-07-13,32.209999084472656
2023-07-14,32.52000045776367
2023-07-17,33.11000061035156
2023-07-18,33.45000076293945
2023-07-19,33.36000061035156
2023-07-20,32.9900016784668
2023-07-21,32.900001525878906
2023-07-24,33.790000915527344
2023-07-25,33.75
2023-07-26,33.099998474121094
2023-07-27,33.0099983215332
2023-07-28,31.729999542236328
2023-07-31,31.959999084472656
2023-08-01,30.809999465942383
2023-08-02,30.0
2023-08-03,30.290000915527344
2023-08-04,29.770000457763672
2023-08-07,30.209999084472656
2023-08-08,30.6299991607666
2023-08-09,30.059999465942383
2023-08-10,30.40999984741211
2023-08-11,30.639999389648438
2023-08-14,26.899999618530273
2023-08-15,27.18000030517578
2023-08-16,27.100000381469727
2023-08-17,26.520000457763672
2023-08-18,26.079999923706055
2023-08-21,25.110000610351562
2023-08-22,25.139999389648438
2023-08-23,25.360000610351562
2023-08-24,26.479999542236328
2023-08-25,27.469999313354492
2023-08-28,26.81999969482422
2023-08-29,27.049999237060547
2023-08-30,27.239999771118164
2023-08-31,27.549999237060547
2023-09-01,27.170000076293945
2023-09-05,26.31999969482422
2023-09-06,25.989999771118164
2023-09-07,27.0
2023-09-08,26.1200008392334
2023-09-11,26.5
2023-09-12,27.610000610351562
2023-09-13,28.81999969482422
2023-09-14,29.0
2023-09-15,29.219999313354492
2023-09-18,28.719999313354492
2023-09-19,28.299999237060547
2023-09-20,28.850000381469727
2023-09-21,27.93000030517578
2023-09-22,27.780000686645508
2023-09-25,28.559999465942383
2023-09-26,28.350000381469727
2023-09-27,29.290000915527344
2023-09-28,28.65999984741211
2023-09-29,28.59000015258789
2023-10-02,27.729999542236328
2023-10-03,27.170000076293945
2023-10-04,27.219999313354492
2023-10-05,27.489999771118164
2023-10-06,27.1299991607666
2023-10-09,28.0
2023-10-10,28.600000381469727
2023-10-11,29.25
2023-10-12,28.75
2023-10-13,29.459999084472656
2023-10-16,30.110000610351562
2023-10-17,30.959999084472656
2023-10-18,29.549999237060547
2023-10-19,29.139999389648438
2023-10-20,28.459999084472656
2023-10-23,27.75
2023-10-24,28.350000381469727
2023-10-25,27.1200008392334
2023-10-26,27.899999618530273
2023-10-27,27.530000686645508
2023-10-30,27.290000915527344
2023-10-31,28.399999618530273
2023-11-01,28.260000228881836
2023-11-02,29.440000534057617
2023-11-03,29.850000381469727
2023-11-06,29.709999084472656
2023-11-07,29.170000076293945
2023-11-08,28.479999542236328
2023-11-09,28.450000762939453
2023-11-10,28.209999084472656
2023-11-13,30.920000076293945
2023-11-14,32.47999954223633
2023-11-15,32.68000030517578
2023-11-16,32.439998626708984
2023-11-17,31.889999389648438
2023-11-20,32.31999969482422
2023-11-21,32.63999938964844
2023-11-22,32.849998474121094
2023-11-24,33.45000076293945
2023-11-27,33.54999923706055
2023-11-28,31.0
2023-11-29,29.530000686645508
2023-11-30,29.440000534057617
2023-12-01,31.1299991607666
2023-12-04,31.639999389648438
2023-12-05,30.940000534057617
2023-12-06,30.90999984741211
2023-12-07,31.06999969482422
2023-12-08,30.65999984741211
2023-12-11,31.270000457763672
2023-12-12,31.809999465942383
2023-12-13,32.18000030517578
2023-12-14,32.720001220703125
2023-12-15,32.439998626708984
2023-12-18,32.810001373291016
2023-12-19,33.63999938964844
2023-12-20,32.63999938964844
2023-12-21,34.70000076293945
2023-12-22,34.849998474121094
2023-12-26,35.16999816894531
2023-12-27,35.25
2023-12-28,35.22999954223633
2023-12-29,34.900001525878906
2024-01-02,34.459999084472656
2024-01-03,33.29999923706055
