Date,HLMN
2020-12-03,9.8100004196167
2020-12-04,9.949999809265137
2020-12-07,9.925000190734863
2020-12-08,9.90999984741211
2020-12-09,9.949999809265137
2020-12-10,9.949999809265137
2020-12-11,10.020000457763672
2020-12-14,10.100000381469727
2020-12-15,10.0600004196167
2020-12-16,10.0600004196167
2020-12-17,10.09000015258789
2020-12-18,10.09000015258789
2020-12-21,10.119999885559082
2020-12-22,10.180000305175781
2020-12-23,10.260000228881836
2020-12-24,10.239999771118164
2020-12-28,10.289999961853027
2020-12-29,10.550000190734863
2020-12-30,10.4399995803833
2020-12-31,10.479999542236328
2021-01-04,10.369999885559082
2021-01-05,10.380000114440918
2021-01-06,10.380000114440918
2021-01-07,10.399999618530273
2021-01-08,10.380000114440918
2021-01-11,10.449999809265137
2021-01-12,10.489999771118164
2021-01-13,10.579999923706055
2021-01-14,10.699999809265137
2021-01-15,10.6899995803833
2021-01-19,10.630000114440918
2021-01-20,10.449999809265137
2021-01-21,10.479999542236328
2021-01-22,10.520000457763672
2021-01-25,10.479999542236328
2021-01-26,10.420000076293945
2021-01-27,10.3100004196167
2021-01-28,10.5
2021-01-29,10.5
2021-02-01,10.449999809265137
2021-02-02,10.670000076293945
2021-02-03,10.850000381469727
2021-02-04,10.970000267028809
2021-02-05,10.979999542236328
2021-02-08,10.949999809265137
2021-02-09,10.960000038146973
2021-02-10,11.0
2021-02-11,10.949999809265137
2021-02-12,11.0
2021-02-16,10.800000190734863
2021-02-17,10.890000343322754
2021-02-18,10.710000038146973
2021-02-19,10.770000457763672
2021-02-22,10.699999809265137
2021-02-23,10.520000457763672
2021-02-24,10.510000228881836
2021-02-25,10.380000114440918
2021-02-26,10.420000076293945
2021-03-01,10.229999542236328
2021-03-02,10.229999542236328
2021-03-03,10.0
2021-03-04,10.039999961853027
2021-03-05,10.140000343322754
2021-03-08,10.369999885559082
2021-03-09,10.399999618530273
2021-03-10,10.420000076293945
2021-03-11,10.4399995803833
2021-03-12,10.3100004196167
2021-03-15,10.149999618530273
2021-03-16,10.270000457763672
2021-03-17,10.550000190734863
2021-03-18,10.350000381469727
2021-03-19,10.619999885559082
2021-03-22,10.380000114440918
2021-03-23,10.039999961853027
2021-03-24,10.010000228881836
2021-03-25,10.0
2021-03-26,10.039999961853027
2021-03-29,9.890000343322754
2021-03-30,9.9399995803833
2021-03-31,10.010000228881836
2021-04-01,10.350000381469727
2021-04-05,10.399999618530273
2021-04-06,10.350000381469727
2021-04-07,10.539999961853027
2021-04-08,10.5
2021-04-09,10.40999984741211
2021-04-12,10.40999984741211
2021-04-13,10.399999618530273
2021-04-14,10.420000076293945
2021-04-15,10.510000228881836
2021-04-16,10.5
2021-04-19,10.510000228881836
2021-04-20,10.449999809265137
2021-04-21,10.510000228881836
2021-04-22,10.720000267028809
2021-04-23,10.90999984741211
2021-04-26,11.119999885559082
2021-04-27,11.09000015258789
2021-04-28,11.149999618530273
2021-04-29,11.319999694824219
2021-04-30,11.470000267028809
2021-05-03,11.289999961853027
2021-05-04,11.279999732971191
2021-05-05,11.34000015258789
2021-05-06,11.319999694824219
2021-05-07,11.319999694824219
2021-05-10,11.470000267028809
2021-05-11,11.170000076293945
2021-05-12,10.550000190734863
2021-05-13,10.430000305175781
2021-05-14,10.789999961853027
2021-05-17,10.920000076293945
2021-05-18,11.020000457763672
2021-05-19,10.59000015258789
2021-05-20,10.5
2021-05-21,10.600000381469727
2021-05-24,10.670000076293945
2021-05-25,10.75
2021-05-26,10.75
2021-05-27,10.75
2021-05-28,10.550000190734863
2021-06-01,10.899999618530273
2021-06-02,10.9399995803833
2021-06-03,10.859999656677246
2021-06-04,10.850000381469727
2021-06-07,10.920000076293945
2021-06-08,11.6899995803833
2021-06-09,11.65999984741211
2021-06-10,11.6899995803833
2021-06-11,11.649999618530273
2021-06-14,11.670000076293945
2021-06-15,11.960000038146973
2021-06-16,12.100000381469727
2021-06-17,12.260000228881836
2021-06-18,12.239999771118164
2021-06-21,12.119999885559082
2021-06-22,12.3100004196167
2021-06-23,12.25
2021-06-24,12.25
2021-06-25,12.4399995803833
2021-06-28,12.390000343322754
2021-06-29,12.470000267028809
2021-06-30,12.399999618530273
2021-07-01,12.449999809265137
2021-07-02,12.390000343322754
2021-07-06,12.130000114440918
2021-07-07,12.010000228881836
2021-07-08,11.699999809265137
2021-07-09,11.859999656677246
2021-07-12,11.920000076293945
2021-07-13,11.930000305175781
2021-07-14,12.170000076293945
2021-07-15,12.050000190734863
2021-07-16,12.170000076293945
2021-07-19,12.210000038146973
2021-07-20,12.149999618530273
2021-07-21,12.149999618530273
2021-07-22,12.130000114440918
2021-07-23,12.390000343322754
2021-07-26,12.0600004196167
2021-07-27,12.050000190734863
2021-07-28,11.899999618530273
2021-07-29,12.010000228881836
2021-07-30,12.289999961853027
2021-08-02,12.4399995803833
2021-08-03,12.399999618530273
2021-08-04,12.460000038146973
2021-08-05,12.710000038146973
2021-08-06,12.989999771118164
2021-08-09,13.15999984741211
2021-08-10,13.319999694824219
2021-08-11,13.239999771118164
2021-08-12,13.3100004196167
2021-08-13,13.34000015258789
2021-08-16,12.9399995803833
2021-08-17,12.529999732971191
2021-08-18,11.989999771118164
2021-08-19,11.699999809265137
2021-08-20,12.0
2021-08-23,11.829999923706055
2021-08-24,11.729999542236328
2021-08-25,11.789999961853027
2021-08-26,11.869999885559082
2021-08-27,11.850000381469727
2021-08-30,11.779999732971191
2021-08-31,12.279999732971191
2021-09-01,12.449999809265137
2021-09-02,12.430000305175781
2021-09-03,12.739999771118164
