Date,FBP
2010-01-04,28.14521598815918
2010-01-05,25.942546844482422
2010-01-06,26.18729019165039
2010-01-07,27.533367156982422
2010-01-08,27.655733108520508
2010-01-11,27.655733108520508
2010-01-12,26.309659957885742
2010-01-13,28.879444122314453
2010-01-14,30.34787940979004
2010-01-15,28.75707244873047
2010-01-19,28.75707244873047
2010-01-20,28.51233673095703
2010-01-21,34.75321960449219
2010-01-22,29.73602867126465
2010-01-25,29.491296768188477
2010-01-26,28.267593383789062
2010-01-27,28.634695053100586
2010-01-28,31.082117080688477
2010-01-29,27.900468826293945
2010-02-01,29.00181007385254
2010-02-02,25.085952758789062
2010-02-03,25.085952758789062
2010-02-04,23.128032684326172
2010-02-05,24.22936248779297
2010-02-08,23.49513816833496
2010-02-09,24.963581085205078
2010-02-10,25.453062057495117
2010-02-11,27.77809715270996
2010-02-12,28.634695053100586
2010-02-16,27.043882369995117
2010-02-17,25.820173263549805
2010-02-18,24.596473693847656
2010-02-19,25.942546844482422
2010-02-22,26.676773071289062
2010-02-23,26.921510696411133
2010-02-24,26.064918518066406
2010-02-25,26.432031631469727
2010-02-26,25.942546844482422
2010-03-01,26.309659957885742
2010-03-02,24.963581085205078
2010-03-03,25.942546844482422
2010-03-04,25.942546844482422
2010-03-05,25.453062057495117
2010-03-08,25.5754337310791
2010-03-09,25.5754337310791
2010-03-10,26.921510696411133
2010-03-11,26.676773071289062
2010-03-12,26.799142837524414
2010-03-15,27.288625717163086
2010-03-16,28.022838592529297
2010-03-17,26.554399490356445
2010-03-18,25.942546844482422
2010-03-19,27.1662540435791
2010-03-22,27.77809715270996
2010-03-23,27.77809715270996
2010-03-24,27.288625717163086
2010-03-25,26.554399490356445
2010-03-26,26.064918518066406
2010-03-29,26.554399490356445
2010-03-30,27.288625717163086
2010-03-31,29.491296768188477
2010-04-01,29.00181007385254
2010-04-05,33.162410736083984
2010-04-06,36.71116256713867
2010-04-07,45.15471267700195
2010-04-08,38.424339294433594
2010-04-09,32.91766357421875
2010-04-12,31.81633949279785
2010-04-13,36.34404754638672
2010-04-14,36.221675872802734
2010-04-15,34.630855560302734
2010-04-16,33.77426528930664
2010-04-19,33.28478240966797
2010-04-20,34.26374053955078
2010-04-21,37.93485641479492
2010-04-22,39.4033088684082
2010-04-23,39.52568054199219
2010-04-26,35.487449645996094
2010-04-27,30.470252990722656
2010-04-28,27.655733108520508
2010-04-29,26.676773071289062
2010-04-30,25.942546844482422
2010-05-03,25.208324432373047
2010-05-04,23.739879608154297
2010-05-05,23.128032684326172
2010-05-06,21.659582138061523
2010-05-07,20.06876564025879
2010-05-10,20.802988052368164
2010-05-11,21.0477294921875
2010-05-12,21.414840698242188
2010-05-13,21.414840698242188
2010-05-14,21.659582138061523
2010-05-17,21.414840698242188
2010-05-18,20.313505172729492
2010-05-19,19.089807510375977
2010-05-20,17.254243850708008
2010-05-21,17.254243850708008
2010-05-24,16.642391204833984
2010-05-25,16.39764976501465
2010-05-26,16.88713264465332
2010-05-27,17.621353149414062
2010-05-28,16.275279998779297
2010-06-01,16.520017623901367
2010-06-02,16.642391204833984
2010-06-03,17.254243850708008
2010-06-04,15.418684005737305
2010-06-07,14.684454917907715
2010-06-08,13.950234413146973
2010-06-09,12.359423637390137
2010-06-10,12.971273422241211
2010-06-11,12.726531028747559
2010-06-14,12.971273422241211
2010-06-15,12.971273422241211
2010-06-16,12.604162216186523
2010-06-17,12.237051010131836
2010-06-18,13.338386535644531
2010-06-21,12.237051010131836
2010-06-22,11.625198364257812
2010-06-23,10.890974044799805
2010-06-24,9.544903755187988
2010-06-25,8.688304901123047
2010-06-28,7.58696985244751
2010-06-29,7.219861030578613
2010-06-30,6.4856367111206055
2010-07-01,6.4856367111206055
2010-07-02,5.7514142990112305
2010-07-06,4.8948211669921875
2010-07-07,5.139560699462891
2010-07-08,7.954084873199463
2010-07-09,6.852747917175293
2010-07-12,6.4856367111206055
2010-07-13,6.852747917175293
2010-07-14,6.975117206573486
2010-07-15,6.363265514373779
2010-07-16,5.87378454208374
2010-07-19,6.363265514373779
2010-07-20,6.4856367111206055
2010-07-21,6.2408952713012695
2010-07-22,6.118525505065918
2010-07-23,6.363265514373779
2010-07-26,7.0974907875061035
2010-07-27,7.464599132537842
2010-07-28,6.975117206573486
2010-07-29,7.219861030578613
2010-07-30,6.975117206573486
2010-08-02,7.0974907875061035
2010-08-03,6.975117206573486
2010-08-04,6.4856367111206055
2010-08-05,6.852747917175293
2010-08-06,6.608007907867432
2010-08-09,6.608007907867432
2010-08-10,6.608007907867432
2010-08-11,6.118525505065918
2010-08-12,6.4856367111206055
2010-08-13,6.363265514373779
2010-08-16,6.363265514373779
2010-08-17,6.363265514373779
2010-08-18,6.2408952713012695
2010-08-19,6.363265514373779
2010-08-20,6.2408952713012695
2010-08-23,5.506673336029053
2010-08-24,4.650080680847168
2010-08-25,4.8948211669921875
2010-08-26,5.506673336029053
2010-08-27,5.261932373046875
2010-08-30,5.017191410064697
2010-08-31,4.405338287353516
2010-09-01,5.87378454208374
2010-09-02,5.261932373046875
2010-09-03,5.017191410064697
2010-09-07,4.650080680847168
2010-09-08,4.650080680847168
2010-09-09,4.772451877593994
2010-09-10,4.650080680847168
2010-09-13,4.772451877593994
2010-09-14,4.527709484100342
2010-09-15,4.160597801208496
2010-09-16,3.793484926223755
2010-09-17,3.6711137294769287
2010-09-20,3.5487453937530518
2010-09-21,3.793484926223755
2010-09-22,3.5487453937530518
2010-09-23,3.6711137294769287
2010-09-24,3.793484926223755
