Date,CASH
2010-01-04,5.8282365798950195
2010-01-05,5.928625583648682
2010-01-06,5.939781188964844
2010-01-07,6.134983062744141
2010-01-08,6.165659427642822
2010-01-11,6.20469856262207
2010-01-12,6.274415969848633
2010-01-13,6.10709810256958
2010-01-14,5.9955525398254395
2010-01-15,5.9955525398254395
2010-01-19,6.065269947052002
2010-01-20,6.065269947052002
2010-01-21,6.065269947052002
2010-01-22,6.065269947052002
2010-01-25,5.989975452423096
2010-01-26,5.800346851348877
2010-01-27,5.5242743492126465
2010-01-28,5.245410919189453
2010-01-29,4.9637603759765625
2010-02-01,4.902408123016357
2010-02-02,5.036264896392822
2010-02-03,5.075305461883545
2010-02-04,4.8522162437438965
2010-02-05,5.013956546783447
2010-02-08,5.158965110778809
2010-02-09,5.072518348693848
2010-02-10,5.85612154006958
2010-02-11,5.833813667297363
2010-02-12,5.744576930999756
2010-02-16,5.727846622467041
2010-02-17,5.719478607177734
2010-02-18,5.786406517028809
2010-02-19,5.85612154006958
2010-02-22,5.906316757202148
2010-02-23,5.85612154006958
2010-02-24,5.805927276611328
2010-02-25,5.7306318283081055
2010-02-26,5.85612154006958
2010-03-01,5.925836563110352
2010-03-02,5.85891056060791
2010-03-03,5.85612154006958
2010-03-04,6.037380695343018
2010-03-05,6.037380695343018
2010-03-08,5.992763996124268
2010-03-09,6.034593105316162
2010-03-10,6.037380695343018
2010-03-11,6.101906776428223
2010-03-12,6.312318801879883
2010-03-15,6.43295431137085
2010-03-16,6.3712358474731445
2010-03-17,6.410510063171387
2010-03-18,6.564811706542969
2010-03-19,6.4525957107543945
2010-03-22,6.564811706542969
2010-03-23,6.43295431137085
2010-03-24,6.508699893951416
2010-03-25,6.564811706542969
2010-03-26,6.8032755851745605
2010-03-29,7.016493320465088
2010-03-30,7.005269527435303
2010-03-31,7.0838236808776855
2010-04-01,7.005269527435303
2010-04-05,7.1539626121521
2010-04-06,7.507453918457031
2010-04-07,7.773972511291504
2010-04-08,7.838496685028076
2010-04-09,8.175151824951172
2010-04-12,8.234068870544434
2010-04-13,8.262123107910156
2010-04-14,7.787997245788574
2010-04-15,7.515865802764893
2010-04-16,7.54672908782959
2010-04-19,7.602840423583984
2010-04-20,7.639308929443359
2010-04-21,7.757138252258301
2010-04-22,7.757138252258301
2010-04-23,7.701029300689697
2010-04-26,7.664556980133057
2010-04-27,7.6870012283325195
2010-04-28,7.715056896209717
2010-04-29,7.726278305053711
2010-04-30,7.802022933959961
2010-05-03,8.009635925292969
2010-05-04,8.032074928283691
2010-05-05,7.8076372146606445
2010-05-06,7.827276706695557
2010-05-07,7.667365074157715
2010-05-10,8.051712989807129
2010-05-11,9.165483474731445
2010-05-12,9.061685562133789
2010-05-13,9.117793083190918
2010-05-14,8.69697380065918
2010-05-17,8.69697380065918
2010-05-18,8.834441184997559
2010-05-19,8.699776649475098
2010-05-20,8.27614974975586
2010-05-21,8.444477081298828
2010-05-24,8.27614974975586
2010-05-25,8.248098373413086
2010-05-26,8.180766105651855
2010-05-27,8.444477081298828
2010-05-28,8.74466323852539
2010-06-01,8.186373710632324
2010-06-02,8.186373710632324
2010-06-03,8.186373710632324
2010-06-04,8.69697380065918
2010-06-07,8.40800952911377
2010-06-08,8.194793701171875
2010-06-09,8.065738677978516
2010-06-10,8.595565795898438
2010-06-11,8.595565795898438
2010-06-14,8.736475944519043
2010-06-15,8.663201332092285
2010-06-16,8.663201332092285
2010-06-17,8.618110656738281
2010-06-18,8.53074836730957
2010-06-21,8.53074836730957
2010-06-22,8.719564437866211
2010-06-23,8.513835906982422
2010-06-24,8.719564437866211
2010-06-25,8.806931495666504
2010-06-28,8.697022438049316
2010-06-29,8.356012344360352
2010-06-30,8.45465087890625
2010-07-01,8.45465087890625
2010-07-02,9.286032676696777
2010-07-06,8.271469116210938
2010-07-07,8.426473617553711
2010-07-08,8.570199012756348
2010-07-09,8.916844367980957
2010-07-12,8.742112159729004
2010-07-13,8.325016975402832
2010-07-14,8.325016975402832
2010-07-15,8.587112426757812
2010-07-16,8.55329418182373
2010-07-19,8.52511215209961
2010-07-20,8.41519832611084
2010-07-21,8.251742362976074
2010-07-22,8.45465087890625
2010-07-23,8.45465087890625
2010-07-26,8.623746871948242
2010-07-27,8.736475944519043
2010-07-28,8.728021621704102
2010-07-29,9.088752746582031
2010-07-30,9.16202449798584
2010-08-02,9.429758071899414
2010-08-03,9.627035140991211
2010-08-04,9.500216484069824
2010-08-05,9.53403091430664
2010-08-06,9.72284984588623
2010-08-09,9.751032829284668
2010-08-10,10.063857078552246
2010-08-11,9.72284984588623
2010-08-12,9.835583686828613
2010-08-13,9.72284984588623
2010-08-16,9.863763809204102
2010-08-17,9.863763809204102
2010-08-18,9.95958423614502
2010-08-19,9.863763809204102
2010-08-20,9.863763809204102
2010-08-23,10.348498344421387
2010-08-24,10.145586013793945
2010-08-25,10.00467300415039
2010-08-26,9.835583686828613
2010-08-27,9.426937103271484
2010-08-30,9.34239387512207
2010-08-31,9.204299926757812
2010-09-01,9.384666442871094
2010-09-02,9.500216484069824
2010-09-03,9.44102954864502
2010-09-07,9.655216217041016
2010-09-08,9.581942558288574
2010-09-09,9.265090942382812
2010-09-10,9.265090942382812
2010-09-13,9.052912712097168
2010-09-14,9.052912712097168
2010-09-15,9.067057609558105
2010-09-16,8.798299789428711
2010-09-17,8.710597038269043
2010-09-20,8.716253280639648
2010-09-21,9.007644653320312
2010-09-22,8.84073257446289
2010-09-23,8.84073257446289
2010-09-24,9.007644653320312
2010-09-27,8.908631324768066
