Date,HG
2023-11-10,15.0
2023-11-13,15.0
2023-11-14,15.25
2023-11-15,15.149999618530273
2023-11-16,15.140000343322754
2023-11-17,15.1899995803833
2023-11-20,15.039999961853027
2023-11-21,15.600000381469727
2023-11-22,15.6899995803833
2023-11-24,15.699999809265137
2023-11-27,15.479999542236328
2023-11-28,15.460000038146973
2023-11-29,15.350000381469727
2023-11-30,15.5
2023-12-01,15.289999961853027
2023-12-04,15.300000190734863
2023-12-05,15.760000228881836
2023-12-06,15.130000114440918
2023-12-07,14.9399995803833
2023-12-08,15.289999961853027
2023-12-11,15.119999885559082
2023-12-12,15.289999961853027
2023-12-13,15.390000343322754
2023-12-14,14.920000076293945
2023-12-15,14.449999809265137
2023-12-18,14.390000343322754
2023-12-19,14.289999961853027
2023-12-20,14.520000457763672
2023-12-21,14.850000381469727
2023-12-22,14.579999923706055
2023-12-26,14.5
2023-12-27,14.90999984741211
2023-12-28,14.90999984741211
2023-12-29,14.949999809265137
2024-01-02,15.029999732971191
2024-01-03,15.069999694824219
2024-01-04,15.420000076293945
2024-01-05,15.449999809265137
2024-01-08,15.5
2024-01-09,15.3100004196167
2024-01-10,15.40999984741211
2024-01-11,15.239999771118164
2024-01-12,15.170000076293945
2024-01-16,15.4399995803833
2024-01-17,15.350000381469727
2024-01-18,15.279999732971191
2024-01-19,15.430000305175781
2024-01-22,15.550000190734863
2024-01-23,15.279999732971191
2024-01-24,15.149999618530273
2024-01-25,14.949999809265137
2024-01-26,14.989999771118164
2024-01-29,14.869999885559082
2024-01-30,14.710000038146973
2024-01-31,15.09000015258789
2024-02-01,14.930000305175781
2024-02-02,14.75
2024-02-05,14.520000457763672
2024-02-06,14.449999809265137
2024-02-07,14.59000015258789
2024-02-08,14.920000076293945
2024-02-09,14.920000076293945
2024-02-12,14.979999542236328
2024-02-13,14.739999771118164
2024-02-14,14.579999923706055
2024-02-15,14.8100004196167
2024-02-16,14.3100004196167
2024-02-20,14.5600004196167
2024-02-21,14.239999771118164
2024-02-22,14.3100004196167
2024-02-23,14.3100004196167
2024-02-26,14.479999542236328
2024-02-27,14.359999656677246
2024-02-28,14.029999732971191
2024-02-29,13.510000228881836
2024-03-01,14.109999656677246
2024-03-04,14.489999771118164
2024-03-05,14.5
2024-03-06,14.460000038146973
2024-03-07,14.390000343322754
2024-03-08,14.1899995803833
2024-03-11,14.119999885559082
2024-03-12,14.199999809265137
2024-03-13,14.050000190734863
2024-03-14,13.5
2024-03-15,13.079999923706055
2024-03-18,12.699999809265137
2024-03-19,12.989999771118164
2024-03-20,13.5600004196167
2024-03-21,13.210000038146973
2024-03-22,13.010000228881836
2024-03-25,13.149999618530273
2024-03-26,13.449999809265137
2024-03-27,13.720000267028809
2024-03-28,13.930000305175781
2024-04-01,13.470000267028809
2024-04-02,13.25
2024-04-03,13.300000190734863
2024-04-04,13.3100004196167
2024-04-05,13.170000076293945
2024-04-08,13.050000190734863
2024-04-09,12.970000267028809
2024-04-10,12.4399995803833
2024-04-11,12.84000015258789
2024-04-12,12.979999542236328
2024-04-15,13.199999809265137
2024-04-16,13.75
2024-04-17,13.359999656677246
2024-04-18,13.920000076293945
2024-04-19,14.300000190734863
2024-04-22,14.239999771118164
2024-04-23,14.079999923706055
2024-04-24,14.199999809265137
2024-04-25,14.050000190734863
2024-04-26,13.710000038146973
2024-04-29,13.510000228881836
2024-04-30,13.579999923706055
2024-05-01,13.680000305175781
2024-05-02,14.260000228881836
2024-05-03,14.09000015258789
2024-05-06,14.289999961853027
2024-05-07,14.649999618530273
2024-05-08,15.140000343322754
2024-05-09,16.1200008392334
2024-05-10,16.020000457763672
2024-05-13,16.110000610351562
2024-05-14,16.049999237060547
2024-05-15,16.219999313354492
2024-05-16,16.639999389648438
2024-05-17,16.81999969482422
2024-05-20,16.459999084472656
2024-05-21,16.639999389648438
2024-05-22,16.84000015258789
2024-05-23,16.649999618530273
2024-05-24,16.700000762939453
2024-05-28,17.010000228881836
2024-05-29,16.860000610351562
2024-05-30,17.3799991607666
2024-05-31,17.25
2024-06-03,17.18000030517578
2024-06-04,17.299999237060547
2024-06-05,17.65999984741211
2024-06-06,17.360000610351562
2024-06-07,17.450000762939453
2024-06-10,17.15999984741211
2024-06-11,16.719999313354492
2024-06-12,16.75
2024-06-13,16.549999237060547
2024-06-14,16.420000076293945
2024-06-17,16.5
2024-06-18,15.989999771118164
2024-06-20,16.040000915527344
2024-06-21,15.899999618530273
2024-06-24,15.829999923706055
2024-06-25,15.869999885559082
2024-06-26,15.329999923706055
2024-06-27,15.579999923706055
2024-06-28,16.649999618530273
2024-07-01,16.329999923706055
2024-07-02,15.890000343322754
2024-07-03,15.75
2024-07-05,15.479999542236328
2024-07-08,15.680000305175781
2024-07-09,15.630000114440918
2024-07-10,15.899999618530273
2024-07-11,16.3799991607666
2024-07-12,16.639999389648438
2024-07-15,16.979999542236328
2024-07-16,17.510000228881836
2024-07-17,17.530000686645508
2024-07-18,16.8799991607666
2024-07-19,16.75
2024-07-22,16.799999237060547
2024-07-23,16.780000686645508
2024-07-24,16.979999542236328
2024-07-25,16.639999389648438
2024-07-26,17.1299991607666
2024-07-29,16.889999389648438
2024-07-30,17.239999771118164
2024-07-31,17.43000030517578
2024-08-01,16.860000610351562
2024-08-02,16.639999389648438
2024-08-05,15.609999656677246
2024-08-06,15.470000267028809
2024-08-07,15.470000267028809
2024-08-08,16.65999984741211
2024-08-09,17.18000030517578
2024-08-12,17.100000381469727
2024-08-13,18.170000076293945
2024-08-14,18.90999984741211
