Date,UTHR
2010-01-04,53.439998626708984
2010-01-05,53.27000045776367
2010-01-06,54.099998474121094
2010-01-07,55.470001220703125
2010-01-08,54.81999969482422
2010-01-11,54.77000045776367
2010-01-12,55.72999954223633
2010-01-13,56.630001068115234
2010-01-14,59.72999954223633
2010-01-15,58.15999984741211
2010-01-19,58.290000915527344
2010-01-20,57.939998626708984
2010-01-21,57.7400016784668
2010-01-22,58.45000076293945
2010-01-25,58.20000076293945
2010-01-26,57.650001525878906
2010-01-27,57.560001373291016
2010-01-28,59.06999969482422
2010-01-29,59.56999969482422
2010-02-01,59.59000015258789
2010-02-02,61.459999084472656
2010-02-03,59.38999938964844
2010-02-04,56.45000076293945
2010-02-05,56.93000030517578
2010-02-08,57.290000915527344
2010-02-09,58.630001068115234
2010-02-10,59.34000015258789
2010-02-11,60.34000015258789
2010-02-12,59.970001220703125
2010-02-16,57.189998626708984
2010-02-17,57.849998474121094
2010-02-18,56.0099983215332
2010-02-19,54.849998474121094
2010-02-22,55.060001373291016
2010-02-23,54.93000030517578
2010-02-24,55.68000030517578
2010-02-25,56.599998474121094
2010-02-26,57.40999984741211
2010-03-01,58.47999954223633
2010-03-02,58.58000183105469
2010-03-03,58.59000015258789
2010-03-04,57.56999969482422
2010-03-05,58.459999084472656
2010-03-08,59.29999923706055
2010-03-09,59.099998474121094
2010-03-10,59.66999816894531
2010-03-11,59.43000030517578
2010-03-12,58.7599983215332
2010-03-15,57.150001525878906
2010-03-16,56.97999954223633
2010-03-17,56.790000915527344
2010-03-18,57.11000061035156
2010-03-19,56.97999954223633
2010-03-22,56.68000030517578
2010-03-23,56.90999984741211
2010-03-24,56.310001373291016
2010-03-25,55.9900016784668
2010-03-26,55.77000045776367
2010-03-29,56.40999984741211
2010-03-30,55.93000030517578
2010-03-31,55.33000183105469
2010-04-01,55.15999984741211
2010-04-05,56.310001373291016
2010-04-06,58.15999984741211
2010-04-07,57.619998931884766
2010-04-08,58.4900016784668
2010-04-09,57.75
2010-04-12,57.06999969482422
2010-04-13,58.0
2010-04-14,58.52000045776367
2010-04-15,58.45000076293945
2010-04-16,58.04999923706055
2010-04-19,58.380001068115234
2010-04-20,58.310001373291016
2010-04-21,55.880001068115234
2010-04-22,56.16999816894531
2010-04-23,55.91999816894531
2010-04-26,54.7599983215332
2010-04-27,54.68000030517578
2010-04-28,54.66999816894531
