Date,MITK
2010-01-04,0.8100000023841858
2010-01-05,0.8199999928474426
2010-01-06,0.8199999928474426
2010-01-07,0.8199999928474426
2010-01-08,0.8199999928474426
2010-01-11,0.800000011920929
2010-01-12,0.800000011920929
2010-01-13,0.800000011920929
2010-01-14,0.8500000238418579
2010-01-15,0.8100000023841858
2010-01-19,0.8100000023841858
2010-01-20,0.8100000023841858
2010-01-21,0.8100000023841858
2010-01-22,0.800000011920929
2010-01-25,0.7099999785423279
2010-01-26,0.7099999785423279
2010-01-27,0.7099999785423279
2010-01-28,0.7799999713897705
2010-01-29,0.7099999785423279
2010-02-01,0.699999988079071
2010-02-02,0.699999988079071
2010-02-03,0.699999988079071
2010-02-04,0.699999988079071
2010-02-05,0.800000011920929
2010-02-08,0.6000000238418579
2010-02-09,0.699999988079071
2010-02-10,0.699999988079071
2010-02-11,0.699999988079071
2010-02-12,0.699999988079071
2010-02-16,0.6200000047683716
2010-02-17,0.6000000238418579
2010-02-18,0.6200000047683716
2010-02-19,0.6499999761581421
2010-02-22,0.7900000214576721
2010-02-23,0.6499999761581421
2010-02-24,0.7900000214576721
2010-02-25,0.800000011920929
2010-02-26,0.800000011920929
2010-03-01,0.699999988079071
2010-03-02,0.800000011920929
2010-03-03,0.800000011920929
2010-03-04,0.699999988079071
2010-03-05,0.6499999761581421
2010-03-08,0.699999988079071
2010-03-09,0.75
2010-03-10,0.75
2010-03-11,0.699999988079071
2010-03-12,0.699999988079071
2010-03-15,0.699999988079071
2010-03-16,0.6600000262260437
2010-03-17,0.6600000262260437
2010-03-18,0.6499999761581421
2010-03-19,0.6000000238418579
2010-03-22,0.6000000238418579
2010-03-23,0.6000000238418579
2010-03-24,0.6000000238418579
2010-03-25,0.6100000143051147
2010-03-26,0.6100000143051147
2010-03-29,0.6100000143051147
2010-03-30,0.6000000238418579
2010-03-31,0.6000000238418579
2010-04-01,0.6000000238418579
2010-04-05,0.5600000023841858
2010-04-06,0.6000000238418579
2010-04-07,0.6000000238418579
2010-04-08,0.6000000238418579
2010-04-09,0.6499999761581421
2010-04-12,0.6499999761581421
2010-04-13,0.6499999761581421
2010-04-14,0.7400000095367432
2010-04-15,0.699999988079071
2010-04-16,0.7400000095367432
2010-04-19,0.7400000095367432
2010-04-20,0.699999988079071
2010-04-21,0.75
2010-04-22,0.7900000214576721
2010-04-23,0.7799999713897705
2010-04-26,0.800000011920929
2010-04-27,0.800000011920929
2010-04-28,0.800000011920929
2010-04-29,0.7599999904632568
2010-04-30,0.7900000214576721
2010-05-03,0.7900000214576721
2010-05-04,0.7900000214576721
2010-05-05,0.7900000214576721
2010-05-06,0.699999988079071
2010-05-07,0.7699999809265137
2010-05-10,0.7699999809265137
2010-05-11,0.800000011920929
2010-05-12,0.7900000214576721
2010-05-13,0.75
2010-05-14,0.75
2010-05-17,0.75
2010-05-18,0.7599999904632568
2010-05-19,0.800000011920929
2010-05-20,0.7599999904632568
2010-05-21,0.800000011920929
2010-05-24,0.8700000047683716
2010-05-25,0.8100000023841858
2010-05-26,0.8600000143051147
2010-05-27,0.800000011920929
2010-05-28,0.800000011920929
2010-06-01,0.75
2010-06-02,0.75
2010-06-03,0.949999988079071
2010-06-04,0.75
2010-06-07,0.75
2010-06-08,0.75
2010-06-09,0.75
2010-06-10,0.75
2010-06-11,0.75
2010-06-14,0.75
2010-06-15,0.800000011920929
2010-06-16,0.800000011920929
2010-06-17,0.8500000238418579
2010-06-18,0.8500000238418579
2010-06-21,0.8500000238418579
2010-06-22,0.8500000238418579
2010-06-23,0.8500000238418579
2010-06-24,0.8500000238418579
2010-06-25,0.8199999928474426
2010-06-28,0.8199999928474426
2010-06-29,0.8500000238418579
2010-06-30,0.8500000238418579
2010-07-01,0.8500000238418579
2010-07-02,0.8500000238418579
2010-07-06,0.8500000238418579
2010-07-07,0.800000011920929
2010-07-08,0.800000011920929
2010-07-09,0.8600000143051147
2010-07-12,0.800000011920929
2010-07-13,0.9399999976158142
2010-07-14,1.1299999952316284
2010-07-15,1.25
2010-07-16,1.149999976158142
2010-07-19,1.1399999856948853
2010-07-20,1.2000000476837158
2010-07-21,1.25
2010-07-22,1.25
2010-07-23,1.2000000476837158
2010-07-26,1.2000000476837158
2010-07-27,1.2999999523162842
2010-07-28,1.2999999523162842
2010-07-29,1.25
2010-07-30,1.25
2010-08-02,1.25
2010-08-03,1.2799999713897705
2010-08-04,1.309999942779541
2010-08-05,1.399999976158142
2010-08-06,1.399999976158142
2010-08-09,1.3899999856948853
2010-08-10,1.5
2010-08-11,1.5
2010-08-12,1.4199999570846558
2010-08-13,1.399999976158142
2010-08-16,1.3799999952316284
2010-08-17,1.25
2010-08-18,1.25
2010-08-19,1.3300000429153442
2010-08-20,1.3300000429153442
2010-08-23,1.340000033378601
2010-08-24,1.2999999523162842
2010-08-25,1.3300000429153442
2010-08-26,1.4500000476837158
2010-08-27,1.4500000476837158
2010-08-30,1.399999976158142
2010-08-31,1.399999976158142
2010-09-01,1.409999966621399
2010-09-02,1.4800000190734863
2010-09-03,1.4500000476837158
2010-09-07,1.440000057220459
2010-09-08,1.440000057220459
2010-09-09,1.440000057220459
2010-09-10,1.5299999713897705
2010-09-13,1.600000023841858
2010-09-14,1.75
2010-09-15,1.7000000476837158
2010-09-16,1.600000023841858
2010-09-17,1.5499999523162842
2010-09-20,1.5299999713897705
2010-09-21,1.5399999618530273
2010-09-22,1.690000057220459
2010-09-23,1.690000057220459
2010-09-24,1.649999976158142
2010-09-27,1.600000023841858
2010-09-28,1.600000023841858
