Date,TTEC
2010-01-04,17.124784469604492
2010-01-05,16.917566299438477
2010-01-06,16.834674835205078
2010-01-07,16.760074615478516
2010-01-08,17.00874137878418
2010-01-11,16.867834091186523
2010-01-12,16.35392189025879
2010-01-13,16.619165420532227
2010-01-14,16.693761825561523
2010-01-15,16.18814468383789
2010-01-19,16.2958984375
2010-01-20,15.86487865447998
2010-01-21,15.54161262512207
2010-01-22,15.20177173614502
2010-01-25,15.57476806640625
2010-01-26,15.458724021911621
2010-01-27,15.790278434753418
2010-01-28,15.856589317321777
2010-01-29,15.781990051269531
2010-02-01,15.815150260925293
2010-02-02,15.840014457702637
2010-02-03,15.997499465942383
2010-02-04,15.375837326049805
2010-02-05,14.895079612731934
2010-02-08,14.91994571685791
2010-02-09,14.870220184326172
2010-02-10,14.629836082458496
2010-02-11,15.226635932922363
2010-02-12,15.367549896240234
2010-02-16,15.591348648071289
2010-02-17,15.798564910888672
2010-02-18,16.179855346679688
2010-02-19,16.204721450805664
2010-02-22,16.030656814575195
2010-02-23,15.268082618713379
2010-02-24,14.50550651550293
2010-02-25,14.50550651550293
2010-02-26,14.497218132019043
2010-03-01,14.969681739807129
2010-03-02,15.18519401550293
2010-03-03,15.035991668701172
2010-03-04,15.077439308166504
2010-03-05,15.30952262878418
2010-03-08,14.878510475158691
2010-03-09,14.812195777893066
2010-03-10,14.687859535217285
2010-03-11,14.762463569641113
2010-03-12,14.73759651184082
2010-03-15,14.430907249450684
2010-03-16,14.323153495788574
2010-03-17,14.323153495788574
2010-03-18,14.50550651550293
2010-03-19,14.546950340270996
2010-03-22,14.414331436157227
2010-03-23,14.240263938903809
2010-03-24,13.941864013671875
2010-03-25,13.925283432006836
2010-03-26,14.091063499450684
2010-03-29,14.099352836608887
2010-03-30,14.381176948547363
2010-03-31,14.157373428344727
2010-04-01,14.016462326049805
2010-04-05,14.439194679260254
2010-04-06,14.298284530639648
2010-04-07,14.348016738891602
2010-04-08,13.966732025146484
2010-04-09,14.06619644165039
2010-04-12,14.099352836608887
2010-04-13,14.298284530639648
2010-04-14,14.73759651184082
2010-04-15,14.820484161376953
2010-04-16,14.7293062210083
2010-04-19,14.861928939819336
2010-04-20,15.02769660949707
2010-04-21,14.94481372833252
