Date,PRM
2021-11-09,12.0
2021-11-10,12.329999923706055
2021-11-11,13.170000076293945
2021-11-12,14.055000305175781
2021-11-15,13.050000190734863
2021-11-16,13.390000343322754
2021-11-17,13.140000343322754
2021-11-18,12.9399995803833
2021-11-19,12.890000343322754
2021-11-22,12.930000305175781
2021-11-23,12.829999923706055
2021-11-24,12.619999885559082
2021-11-26,12.25
2021-11-29,11.949999809265137
2021-11-30,11.75
2021-12-01,11.5
2021-12-02,11.5
2021-12-03,11.449999809265137
2021-12-06,11.720000267028809
2021-12-07,11.800000190734863
2021-12-08,11.75
2021-12-09,11.75
2021-12-10,11.770000457763672
2021-12-13,11.550000190734863
2021-12-14,12.180000305175781
2021-12-15,12.300000190734863
2021-12-16,12.5
2021-12-17,12.699999809265137
2021-12-20,12.600000381469727
2021-12-21,12.84000015258789
2021-12-22,12.850000381469727
2021-12-23,14.0
2021-12-27,14.0
2021-12-28,14.0
2021-12-29,14.050000190734863
2021-12-30,13.789999961853027
2021-12-31,13.890000343322754
2022-01-03,14.0
2022-01-04,14.25
2022-01-05,14.149999618530273
2022-01-06,13.970000267028809
2022-01-07,13.789999961853027
2022-01-10,13.800000190734863
2022-01-11,13.670000076293945
2022-01-12,13.510000228881836
2022-01-13,13.40999984741211
2022-01-14,13.350000381469727
2022-01-18,13.039999961853027
2022-01-19,12.899999618530273
2022-01-20,12.800000190734863
2022-01-21,12.869999885559082
2022-01-24,12.550000190734863
2022-01-25,12.539999961853027
2022-01-26,12.359999656677246
2022-01-27,12.1899995803833
2022-01-28,12.09000015258789
2022-01-31,13.079999923706055
2022-02-01,13.029999732971191
2022-02-02,13.140000343322754
2022-02-03,13.0
2022-02-04,13.1899995803833
2022-02-07,13.199999809265137
2022-02-08,12.779999732971191
2022-02-09,12.979999542236328
2022-02-10,12.989999771118164
2022-02-11,12.989999771118164
2022-02-14,12.90999984741211
2022-02-15,12.989999771118164
2022-02-16,13.0
2022-02-17,13.100000381469727
2022-02-18,12.930000305175781
2022-02-22,12.5600004196167
2022-02-23,12.479999542236328
2022-02-24,12.40999984741211
2022-02-25,12.40999984741211
2022-02-28,12.470000267028809
2022-03-01,12.520000457763672
2022-03-02,12.380000114440918
2022-03-03,12.239999771118164
2022-03-04,11.869999885559082
2022-03-07,11.279999732971191
2022-03-08,10.960000038146973
2022-03-09,11.460000038146973
2022-03-10,11.5
2022-03-11,11.420000076293945
2022-03-14,11.359999656677246
2022-03-15,11.5
2022-03-16,11.479999542236328
2022-03-17,11.5
2022-03-18,11.600000381469727
2022-03-21,11.850000381469727
2022-03-22,11.989999771118164
2022-03-23,11.800000190734863
2022-03-24,11.75
2022-03-25,11.84000015258789
2022-03-28,11.970000267028809
2022-03-29,12.010000228881836
2022-03-30,11.949999809265137
2022-03-31,12.109999656677246
2022-04-01,12.0
2022-04-04,11.670000076293945
2022-04-05,11.630000114440918
2022-04-06,11.050000190734863
2022-04-07,10.630000114440918
2022-04-08,11.100000381469727
2022-04-11,11.0
2022-04-12,11.09000015258789
2022-04-13,11.079999923706055
2022-04-14,11.050000190734863
2022-04-18,11.100000381469727
2022-04-19,11.079999923706055
2022-04-20,11.100000381469727
2022-04-21,11.09000015258789
2022-04-22,10.9399995803833
2022-04-25,10.739999771118164
2022-04-26,10.5
2022-04-27,10.180000305175781
2022-04-28,10.399999618530273
2022-04-29,10.15999984741211
2022-05-02,10.130000114440918
2022-05-03,10.130000114440918
2022-05-04,9.8100004196167
2022-05-05,9.010000228881836
2022-05-06,8.359999656677246
2022-05-09,8.550000190734863
2022-05-10,7.929999828338623
2022-05-11,8.449999809265137
2022-05-12,8.479999542236328
2022-05-13,9.800000190734863
2022-05-16,9.670000076293945
2022-05-17,10.229999542236328
2022-05-18,10.100000381469727
2022-05-19,9.850000381469727
2022-05-20,9.75
2022-05-23,9.930000305175781
2022-05-24,10.0
2022-05-25,10.40999984741211
2022-05-26,10.850000381469727
2022-05-27,11.050000190734863
2022-05-31,10.949999809265137
2022-06-01,11.420000076293945
2022-06-02,12.010000228881836
2022-06-03,11.739999771118164
2022-06-06,11.479999542236328
2022-06-07,11.270000457763672
2022-06-08,11.770000457763672
2022-06-09,11.510000228881836
2022-06-10,11.239999771118164
2022-06-13,10.760000228881836
2022-06-14,10.800000190734863
2022-06-15,11.489999771118164
2022-06-16,11.0
2022-06-17,11.75
2022-06-21,11.949999809265137
2022-06-22,11.5
2022-06-23,11.1899995803833
2022-06-24,11.210000038146973
2022-06-27,11.170000076293945
2022-06-28,10.779999732971191
2022-06-29,10.850000381469727
2022-06-30,10.84000015258789
2022-07-01,10.609999656677246
2022-07-05,10.09000015258789
2022-07-06,10.100000381469727
2022-07-07,10.739999771118164
2022-07-08,10.850000381469727
2022-07-11,10.399999618530273
2022-07-12,10.210000038146973
2022-07-13,10.100000381469727
2022-07-14,9.90999984741211
2022-07-15,10.010000228881836
2022-07-18,10.119999885559082
2022-07-19,10.630000114440918
2022-07-20,10.819999694824219
2022-07-21,10.739999771118164
2022-07-22,10.550000190734863
2022-07-25,10.899999618530273
2022-07-26,11.050000190734863
2022-07-27,11.479999542236328
2022-07-28,11.600000381469727
2022-07-29,11.550000190734863
2022-08-01,11.289999961853027
2022-08-02,11.289999961853027
2022-08-03,11.109999656677246
2022-08-04,10.90999984741211
2022-08-05,9.979999542236328
2022-08-08,10.350000381469727
2022-08-09,10.75
2022-08-10,10.739999771118164
2022-08-11,10.930000305175781
2022-08-12,11.40999984741211
2022-08-15,11.770000457763672
2022-08-16,12.09000015258789
