Date,KRG
2010-01-04,7.358821392059326
2010-01-05,7.180209159851074
2010-01-06,7.358821392059326
2010-01-07,7.698184967041016
2010-01-08,7.7160444259643555
2010-01-11,7.680322170257568
2010-01-12,7.591015815734863
2010-01-13,7.465991497039795
2010-01-14,7.4124016761779785
2010-01-15,7.501708030700684
2010-01-19,7.787490367889404
2010-01-20,7.501708030700684
2010-01-21,7.3231000900268555
2010-01-22,6.912292957305908
2010-01-25,7.001594543457031
2010-01-26,6.840846538543701
2010-01-27,6.87656831741333
2010-01-28,7.144484996795654
2010-01-29,6.769402027130127
2010-02-01,6.769402027130127
2010-02-02,6.680093765258789
2010-02-03,6.447898864746094
2010-02-04,6.2514238357543945
2010-02-05,6.322871208190918
2010-02-08,6.21570348739624
2010-02-09,6.1621222496032715
2010-02-10,5.876339435577393
2010-02-11,6.1621222496032715
2010-02-12,6.340732097625732
2010-02-16,6.948012828826904
2010-02-17,6.948012828826904
2010-02-18,6.93015193939209
2010-02-19,7.4124016761779785
2010-02-22,7.180209159851074
2010-02-23,7.608880519866943
2010-02-24,7.501708030700684
2010-02-25,7.573155403137207
2010-02-26,7.340963363647461
2010-03-01,7.55529260635376
2010-03-02,7.6624603271484375
2010-03-03,7.948239326477051
2010-03-04,8.126850128173828
2010-03-05,8.787715911865234
2010-03-08,8.716275215148926
2010-03-09,8.66268539428711
2010-03-10,8.62696647644043
2010-03-11,8.537662506103516
2010-03-12,8.591246604919434
2010-03-15,8.877023696899414
2010-03-16,8.930607795715332
2010-03-17,8.591246604919434
2010-03-18,8.66268539428711
2010-03-19,8.394770622253418
2010-03-22,8.573381423950195
2010-03-23,8.62696647644043
2010-03-24,8.98419189453125
2010-03-25,8.823441505432129
2010-03-26,8.85916519165039
2010-03-29,8.73413372039795
2010-03-30,8.787715911865234
2010-03-31,8.448355674743652
2010-04-01,8.609108924865723
2010-04-05,9.205958366394043
2010-04-06,9.368731498718262
2010-04-07,9.350647926330566
2010-04-08,9.205958366394043
2010-04-09,9.296385765075684
2010-04-12,9.151697158813477
2010-04-13,9.332558631896973
2010-04-14,9.676199913024902
2010-04-15,9.640027046203613
2010-04-16,9.314473152160645
2010-04-19,9.314473152160645
2010-04-20,9.314473152160645
2010-04-21,9.567682266235352
2010-04-22,9.621940612792969
2010-04-23,10.056015014648438
2010-04-26,10.164531707763672
