Date,METC
2017-02-03,11.759481430053711
2017-02-06,11.282157897949219
2017-02-07,11.108587265014648
2017-02-08,10.544480323791504
2017-02-09,10.31883716583252
2017-02-10,10.31883716583252
2017-02-13,10.544480323791504
2017-02-14,9.676620483398438
2017-02-15,9.806800842285156
2017-02-16,9.63322639465332
2017-02-17,9.494372367858887
2017-02-21,9.720013618469238
2017-02-22,9.537765502929688
2017-02-23,9.563798904418945
2017-02-24,9.47701358795166
2017-02-27,9.45097827911377
2017-02-28,9.459656715393066
2017-03-01,10.33619213104248
2017-03-02,10.839550971984863
2017-03-03,11.282157897949219
2017-03-06,11.143301010131836
2017-03-07,10.700695991516113
2017-03-08,9.216654777526855
2017-03-09,9.286084175109863
2017-03-10,9.103833198547363
2017-03-13,9.199299812316895
2017-03-14,9.181941032409668
2017-03-15,9.190622329711914
2017-03-16,8.895547866821289
2017-03-17,8.487654685974121
2017-03-20,7.836759567260742
2017-03-21,8.036368370056152
2017-03-22,7.645832061767578
2017-03-23,7.689225196838379
2017-03-24,7.593761444091797
2017-03-27,7.671868324279785
2017-03-28,8.678584098815918
2017-03-29,8.912906646728516
2017-03-30,9.103833198547363
2017-03-31,8.392189979553223
2017-04-03,8.26201343536377
2017-04-04,8.019012451171875
2017-04-05,8.140510559082031
2017-04-06,8.175226211547852
2017-04-07,8.192583084106445
2017-04-10,7.7326178550720215
2017-04-11,7.810726165771484
2017-04-12,7.472261428833008
2017-04-13,7.246616363525391
2017-04-17,6.708545207977295
2017-04-18,6.526295185089111
2017-04-19,6.205187797546387
2017-04-20,6.283295154571533
2017-04-21,6.274616241455078
2017-04-24,6.587044715881348
2017-04-25,6.665152549743652
2017-04-26,6.777974605560303
2017-04-27,6.812688827514648
2017-04-28,6.734580993652344
2017-05-01,6.422152042388916
2017-05-02,6.448187351226807
2017-05-03,6.205187797546387
2017-05-04,5.597686290740967
2017-05-05,5.311294078826904
2017-05-08,5.276578903198242
2017-05-09,5.155078411102295
2017-05-10,5.094328880310059
2017-05-11,5.302614212036133
2017-05-12,5.484864711761475
2017-05-15,5.571650505065918
2017-05-16,5.129043102264404
2017-05-17,5.51090145111084
2017-05-18,5.476186275482178
2017-05-19,5.658435821533203
2017-05-22,6.144436836242676
2017-05-23,6.430830955505371
2017-05-24,5.970865726470947
2017-05-25,5.779936790466309
2017-05-26,5.701830863952637
2017-05-30,5.597686290740967
2017-05-31,5.450150966644287
2017-06-01,5.328650951385498
2017-06-02,5.111685752868652
2017-06-05,4.842650413513184
2017-06-06,5.076972007751465
2017-06-07,4.998864650726318
2017-06-08,4.755863666534424
2017-06-09,4.686435222625732
