Date,ATO
2010-01-04,18.75715446472168
2010-01-05,18.560178756713867
2010-01-06,18.5665340423584
2010-01-07,18.38861656188965
2010-01-08,18.08362579345703
2010-01-11,18.191640853881836
2010-01-12,18.185285568237305
2010-01-13,18.344135284423828
2010-01-14,18.356849670410156
2010-01-15,18.210704803466797
2010-01-19,18.490283966064453
2010-01-20,18.3314266204834
2010-01-21,18.14080810546875
2010-01-22,17.87394142150879
2010-01-25,18.064563751220703
2010-01-26,17.9628963470459
2010-01-27,17.816755294799805
2010-01-28,17.80405044555664
2010-01-29,17.54987907409668
2010-02-01,17.53717041015625
2010-02-02,17.58165168762207
2010-02-03,17.54353141784668
2010-02-04,17.384679794311523
2010-02-05,17.321138381958008
2010-02-08,16.965309143066406
2010-02-09,17.003429412841797
2010-02-10,16.850933074951172
2010-02-11,17.12415313720703
2010-02-12,17.14957618713379
2010-02-16,17.295717239379883
2010-02-17,17.410097122192383
2010-02-18,17.397390365600586
2010-02-19,17.651552200317383
2010-02-22,17.791330337524414
2010-02-23,17.67236328125
2010-02-24,17.633773803710938
2010-02-25,17.575897216796875
2010-02-26,17.659502029418945
2010-03-01,17.961761474609375
2010-03-02,18.03892707824707
2010-03-03,18.199703216552734
2010-03-04,18.16754913330078
2010-03-05,18.392635345458984
2010-03-08,18.399066925048828
2010-03-09,18.29616928100586
2010-03-10,18.418357849121094
2010-03-11,18.46980094909668
2010-03-12,18.52125358581543
2010-03-15,18.52125358581543
2010-03-16,18.591997146606445
2010-03-17,18.694887161254883
2010-03-18,18.66273307800293
2010-03-19,18.61772346496582
2010-03-22,18.61772346496582
2010-03-23,18.643447875976562
2010-03-24,18.540536880493164
2010-03-25,18.25115203857422
2010-03-26,18.206132888793945
2010-03-29,18.405494689941406
2010-03-30,18.566268920898438
2010-03-31,18.37334442138672
2010-04-01,18.61772346496582
2010-04-05,18.900678634643555
2010-04-06,19.061460494995117
2010-04-07,18.997150421142578
2010-04-08,18.733476638793945
2010-04-09,18.862098693847656
2010-04-12,18.791353225708008
2010-04-13,18.675596237182617
2010-04-14,18.65630340576172
2010-04-15,18.759206771850586
2010-04-16,18.791353225708008
2010-04-19,18.765623092651367
2010-04-20,18.900678634643555
2010-04-21,18.90711784362793
2010-04-22,18.99071502685547
2010-04-23,19.280107498168945
2010-04-26,19.235092163085938
2010-04-27,18.945695877075195
2010-04-28,19.138629913330078
