Date,GD
2010-01-04,47.90077590942383
2010-01-05,47.976924896240234
2010-01-06,47.93538284301758
2010-01-07,48.073848724365234
2010-01-08,48.073848724365234
2010-01-11,48.966941833496094
2010-01-12,48.66923522949219
2010-01-13,49.46971893310547
2010-01-14,49.490596771240234
2010-01-15,49.149505615234375
2010-01-19,49.205196380615234
2010-01-20,48.27942657470703
2010-01-21,47.43023681640625
2010-01-22,46.65062713623047
2010-01-25,47.23532485961914
2010-01-26,47.833953857421875
2010-01-27,46.79680252075195
2010-01-28,47.054351806640625
2010-01-29,46.53228759765625
2010-02-01,48.32815933227539
2010-02-02,48.745784759521484
2010-02-03,48.80844497680664
2010-02-04,47.444149017333984
2010-02-05,46.4000358581543
2010-02-08,46.18426513671875
2010-02-09,47.36063766479492
2010-02-10,47.082191467285156
2010-02-11,47.19355392456055
2010-02-12,47.29794692993164
2010-02-16,48.620506286621094
2010-02-17,48.794517517089844
2010-02-18,49.96391677856445
2010-02-19,50.54166793823242
2010-02-22,50.51382064819336
2010-02-23,49.98479461669922
2010-02-24,50.53469467163086
2010-02-25,50.25627517700195
2010-02-26,50.49989700317383
2010-03-01,51.44654846191406
2010-03-02,51.495277404785156
2010-03-03,50.694793701171875
2010-03-04,50.7713508605957
2010-03-05,51.321250915527344
2010-03-08,51.265567779541016
2010-03-09,51.286468505859375
2010-03-10,51.46744918823242
2010-03-11,51.613616943359375
2010-03-12,51.34212875366211
2010-03-15,51.27254104614258
2010-03-16,51.307334899902344
2010-03-17,52.191349029541016
2010-03-18,52.372337341308594
2010-03-19,52.546348571777344
2010-03-22,52.66469192504883
2010-03-23,53.555625915527344
2010-03-24,52.72035217285156
2010-03-25,53.05447006225586
2010-03-26,53.541717529296875
2010-03-29,54.627586364746094
2010-03-30,53.9384765625
2010-03-31,53.73661804199219
2010-04-01,54.2308349609375
2010-04-05,54.45357131958008
2010-04-06,53.88280487060547
2010-04-07,53.518882751464844
2010-04-08,53.756813049316406
2010-04-09,54.26771545410156
2010-04-12,54.09975814819336
2010-04-13,53.78481674194336
2010-04-14,53.68681335449219
2010-04-15,53.51186752319336
2010-04-16,53.21793746948242
2010-04-19,53.287906646728516
2010-04-20,53.84778594970703
2010-04-21,54.62467575073242
2010-04-22,54.73664855957031
2010-04-23,55.00959396362305
2010-04-26,55.05855178833008
2010-04-27,53.58185577392578
2010-04-28,53.875789642333984
2010-04-29,54.5616569519043
2010-04-30,53.44186782836914
2010-05-03,54.27473068237305
2010-05-04,52.6860237121582
2010-05-05,52.46206283569336
2010-05-06,50.43244552612305
2010-05-07,49.340641021728516
2010-05-10,51.16731262207031
2010-05-11,50.845367431640625
2010-05-12,51.85319900512695
2010-05-13,51.06232452392578
2010-05-14,50.18748474121094
2010-05-17,50.2294807434082
2010-05-18,49.37563705444336
2010-05-19,48.76675796508789
2010-05-20,46.40121078491211
2010-05-21,47.20606231689453
2010-05-24,46.163265228271484
2010-05-25,46.2192497253418
2010-05-26,46.457191467285156
2010-05-27,47.92692565917969
2010-05-28,47.5210075378418
2010-06-01,46.70915222167969
2010-06-02,47.534996032714844
2010-06-03,47.63998031616211
2010-06-04,45.61735153198242
2010-06-07,43.447776794433594
2010-06-08,43.846683502197266
2010-06-09,43.77671432495117
2010-06-10,44.840511322021484
2010-06-11,45.19743728637695
2010-06-14,45.00847244262695
2010-06-15,46.62519073486328
2010-06-16,46.39421463012695
2010-06-17,46.4082145690918
2010-06-18,46.821136474609375
2010-06-21,46.73714828491211
2010-06-22,45.80632400512695
2010-06-23,45.414398193359375
2010-06-24,44.266605377197266
2010-06-25,44.245628356933594
2010-06-28,43.573753356933594
2010-06-29,41.59312438964844
2010-06-30,41.27593994140625
2010-07-01,41.23365783691406
2010-07-02,41.37461471557617
2010-07-06,41.33232116699219
2010-07-07,42.44599533081055
2010-07-08,42.9746208190918
2010-07-09,42.88298797607422
2010-07-12,42.19928741455078
2010-07-13,42.68564224243164
2010-07-14,43.42572784423828
2010-07-15,43.32704162597656
2010-07-16,41.51560592651367
2010-07-19,41.30414962768555
2010-07-20,41.734100341796875
2010-07-21,41.78343200683594
2010-07-22,43.01691818237305
2010-07-23,43.200172424316406
2010-07-26,44.04599380493164
2010-07-27,43.53850173950195
2010-07-28,43.55965805053711
2010-07-29,43.51030731201172
