Date,IBTA
2024-04-19,98.0
2024-04-22,101.4000015258789
2024-04-23,109.9000015258789
2024-04-24,105.13999938964844
2024-04-25,104.68000030517578
2024-04-26,108.16999816894531
2024-04-29,106.94000244140625
2024-04-30,102.2699966430664
2024-05-01,99.5
2024-05-02,103.98999786376953
2024-05-03,101.01000213623047
2024-05-06,103.9000015258789
2024-05-07,102.37999725341797
2024-05-08,96.73999786376953
2024-05-09,98.41000366210938
2024-05-10,102.20999908447266
2024-05-13,104.95999908447266
2024-05-14,105.37999725341797
2024-05-15,106.05999755859375
2024-05-16,105.47000122070312
2024-05-17,106.19000244140625
2024-05-20,106.4000015258789
2024-05-21,105.7300033569336
2024-05-22,104.0
2024-05-23,103.58999633789062
2024-05-24,105.55999755859375
2024-05-28,105.83999633789062
2024-05-29,106.58999633789062
2024-05-30,104.80000305175781
2024-05-31,97.12999725341797
2024-06-03,85.7300033569336
2024-06-04,85.0199966430664
2024-06-05,81.38999938964844
2024-06-06,77.7699966430664
2024-06-07,76.19000244140625
2024-06-10,82.69999694824219
2024-06-11,78.9800033569336
2024-06-12,77.20999908447266
2024-06-13,78.19000244140625
2024-06-14,77.76000213623047
2024-06-17,72.75
2024-06-18,72.41999816894531
2024-06-20,70.61000061035156
2024-06-21,70.22000122070312
2024-06-24,70.08000183105469
2024-06-25,66.56999969482422
2024-06-26,69.69999694824219
2024-06-27,75.05999755859375
2024-06-28,75.16000366210938
2024-07-01,71.69000244140625
2024-07-02,70.37999725341797
2024-07-03,74.73999786376953
2024-07-05,72.58000183105469
2024-07-08,71.08999633789062
2024-07-09,69.33999633789062
2024-07-10,67.5
2024-07-11,69.5
2024-07-12,70.5
2024-07-15,69.19000244140625
2024-07-16,68.77999877929688
2024-07-17,67.5
2024-07-18,66.69000244140625
2024-07-19,64.63999938964844
2024-07-22,65.88999938964844
2024-07-23,65.91999816894531
2024-07-24,68.19999694824219
2024-07-25,67.63999938964844
2024-07-26,69.2300033569336
2024-07-29,66.0999984741211
2024-07-30,66.13999938964844
2024-07-31,67.23999786376953
2024-08-01,65.54000091552734
2024-08-02,61.84000015258789
2024-08-05,59.13999938964844
2024-08-06,59.029998779296875
2024-08-07,55.7599983215332
2024-08-08,55.720001220703125
2024-08-09,52.59000015258789
2024-08-12,56.810001373291016
2024-08-13,58.189998626708984
2024-08-14,42.65999984741211
2024-08-15,45.08000183105469
2024-08-16,46.470001220703125
2024-08-19,47.36000061035156
2024-08-20,50.869998931884766
2024-08-21,50.68000030517578
2024-08-22,49.939998626708984
2024-08-23,57.779998779296875
2024-08-26,57.279998779296875
