Date,ED
2010-01-04,24.515819549560547
2010-01-05,24.197093963623047
2010-01-06,24.456403732299805
2010-01-07,24.369964599609375
2010-01-08,24.445589065551758
2010-01-11,24.75352668762207
2010-01-12,24.704912185668945
2010-01-13,24.893999099731445
2010-01-14,24.97502326965332
2010-01-15,24.69950294494629
2010-01-19,25.072261810302734
2010-01-20,24.96422004699707
2010-01-21,24.64007568359375
2010-01-22,23.50559425354004
2010-01-25,23.565027236938477
2010-01-26,23.813522338867188
2010-01-27,23.79731559753418
2010-01-28,23.61903953552246
2010-01-29,23.629840850830078
2010-02-01,23.732484817504883
2010-02-02,23.84593963623047
2010-02-03,23.640644073486328
2010-02-04,23.240877151489258
2010-02-05,23.327308654785156
2010-02-08,23.127426147460938
2010-02-09,23.467771530151367
2010-02-10,23.219261169433594
2010-02-11,23.32190704345703
2010-02-12,23.12744903564453
2010-02-16,23.52732276916504
2010-02-17,23.478031158447266
2010-02-18,23.395862579345703
2010-02-19,23.625919342041016
2010-02-22,23.510894775390625
2010-02-23,23.417774200439453
2010-02-24,23.488983154296875
2010-02-25,23.4835147857666
2010-02-26,23.417774200439453
2010-03-01,23.658790588378906
2010-03-02,23.987462997436523
2010-03-03,23.927207946777344
2010-03-04,23.850513458251953
2010-03-05,23.894344329833984
2010-03-08,23.987462997436523
2010-03-09,23.916248321533203
2010-03-10,23.9600887298584
2010-03-11,24.042251586914062
2010-03-12,23.938159942626953
2010-03-15,24.18467140197754
2010-03-16,24.365434646606445
2010-03-17,24.381868362426758
2010-03-18,24.283267974853516
2010-03-19,24.266836166381836
2010-03-22,24.244924545288086
2010-03-23,24.195621490478516
2010-03-24,24.014863967895508
2010-03-25,24.014863967895508
2010-03-26,24.201108932495117
2010-03-29,24.420209884643555
2010-03-30,24.475000381469727
2010-03-31,24.398305892944336
2010-04-01,24.595504760742188
2010-04-05,24.672195434570312
2010-04-06,24.847492218017578
2010-04-07,24.60098648071289
2010-04-08,24.381868362426758
2010-04-09,24.568111419677734
2010-04-12,24.666728973388672
2010-04-13,24.518829345703125
2010-04-14,24.551687240600586
2010-04-15,24.53525733947754
2010-04-16,24.398305892944336
2010-04-19,24.447607040405273
2010-04-20,24.60098648071289
2010-04-21,24.73792839050293
2010-04-22,24.759849548339844
2010-04-23,24.874874114990234
2010-04-26,24.809146881103516
2010-04-27,24.431167602539062
2010-04-28,24.743412017822266
2010-04-29,24.76532745361328
2010-04-30,24.759849548339844
2010-05-03,25.050174713134766
2010-05-04,24.672195434570312
2010-05-05,24.677675247192383
2010-05-06,24.217540740966797
2010-05-07,24.288753509521484
2010-05-10,24.874523162841797
2010-05-11,24.90227508544922
2010-05-12,24.90227508544922
2010-05-13,24.730159759521484
2010-05-14,24.674633026123047
2010-05-17,24.719057083129883
2010-05-18,24.624666213989258
2010-05-19,24.330392837524414
2010-05-20,23.852882385253906
2010-05-21,24.036113739013672
2010-05-24,23.758499145507812
2010-05-25,23.608591079711914
2010-05-26,23.46978187561035
2010-05-27,23.730735778808594
2010-05-28,23.647457122802734
2010-06-01,23.181058883666992
2010-06-02,23.625244140625
2010-06-03,23.7751522064209
2010-06-04,23.131092071533203
2010-06-07,23.247678756713867
2010-06-08,23.575271606445312
2010-06-09,23.40314483642578
2010-06-10,23.925065994262695
2010-06-11,23.947269439697266
2010-06-14,24.06942367553711
2010-06-15,24.480295181274414
2010-06-16,24.663536071777344
2010-06-17,24.857860565185547
2010-06-18,24.924501419067383
2010-06-21,24.813447952270508
2010-06-22,24.32484245300293
2010-06-23,24.235992431640625
2010-06-24,24.297067642211914
2010-06-25,24.341503143310547
2010-06-28,24.508060455322266
2010-06-29,24.141613006591797
2010-06-30,23.930627822875977
2010-07-01,23.819580078125
2010-07-02,23.980587005615234
2010-07-06,24.219345092773438
2010-07-07,24.846759796142578
2010-07-08,25.16323471069336
2010-07-09,25.135482788085938
2010-07-12,25.20766258239746
2010-07-13,25.2742919921875
2010-07-14,25.30205535888672
2010-07-15,25.39644432067871
2010-07-16,25.01888656616211
2010-07-19,25.35756492614746
2010-07-20,25.4464168548584
2010-07-21,25.135482788085938
2010-07-22,25.551908493041992
2010-07-23,25.707368850708008
2010-07-26,25.91836166381836
2010-07-27,26.184873580932617
2010-07-28,26.112688064575195
2010-07-29,25.857284545898438
2010-07-30,25.6074275970459
2010-08-02,26.173765182495117
2010-08-03,26.05716323852539
2010-08-04,26.06273078918457
2010-08-05,26.212636947631836
2010-08-06,26.41252326965332
2010-08-09,26.634618759155273
2010-08-10,26.85115623474121
2010-08-11,26.45138168334961
2010-08-12,26.62350845336914
2010-08-13,26.40142059326172
2010-08-16,26.34238052368164
2010-08-17,26.640378952026367
2010-08-18,26.404224395751953
2010-08-19,26.14558982849121
2010-08-20,26.25803565979004
2010-08-23,26.415475845336914
2010-08-24,26.601022720336914
2010-08-25,26.674114227294922
2010-08-26,26.511058807373047
2010-08-27,26.921518325805664
2010-08-30,26.567293167114258
2010-08-31,26.724721908569336
2010-09-01,27.12394142150879
2010-09-02,27.12955093383789
2010-09-03,27.23638343811035
2010-09-07,27.19140625
2010-09-08,26.865283966064453
2010-09-09,26.960865020751953
2010-09-10,26.814687728881836
2010-09-13,26.859663009643555
2010-09-14,27.045211791992188
2010-09-15,26.904653549194336
2010-09-16,26.758459091186523
2010-09-17,26.944013595581055
2010-09-20,27.376956939697266
2010-09-21,27.24201202392578
2010-09-22,27.281370162963867
2010-09-23,27.03959083557129
2010-09-24,27.433181762695312
2010-09-27,27.410701751708984
2010-09-28,27.270132064819336
