Date,PHR
2019-07-18,25.079999923706055
2019-07-19,24.0
2019-07-22,23.979999542236328
2019-07-23,24.84000015258789
2019-07-24,25.0
2019-07-25,24.799999237060547
2019-07-26,26.709999084472656
2019-07-29,26.270000457763672
2019-07-30,27.270000457763672
2019-07-31,27.329999923706055
2019-08-01,27.420000076293945
2019-08-02,26.860000610351562
2019-08-05,26.440000534057617
2019-08-06,27.209999084472656
2019-08-07,26.850000381469727
2019-08-08,27.3700008392334
2019-08-09,28.209999084472656
2019-08-12,28.875
2019-08-13,28.65999984741211
2019-08-14,26.34000015258789
2019-08-15,25.25
2019-08-16,26.670000076293945
2019-08-19,26.860000610351562
2019-08-20,26.549999237060547
2019-08-21,26.969999313354492
2019-08-22,27.09000015258789
2019-08-23,26.309999465942383
2019-08-26,25.43000030517578
2019-08-27,25.719999313354492
2019-08-28,25.010000228881836
2019-08-29,26.959999084472656
2019-08-30,26.770000457763672
2019-09-03,27.010000228881836
2019-09-04,27.93000030517578
2019-09-05,26.8799991607666
2019-09-06,25.260000228881836
2019-09-09,22.510000228881836
2019-09-10,25.31999969482422
2019-09-11,25.610000610351562
2019-09-12,26.190000534057617
2019-09-13,27.110000610351562
2019-09-16,27.25
2019-09-17,27.149999618530273
2019-09-18,27.3799991607666
2019-09-19,27.010000228881836
2019-09-20,27.280000686645508
2019-09-23,28.209999084472656
2019-09-24,26.360000610351562
2019-09-25,27.0
2019-09-26,25.40999984741211
2019-09-27,24.989999771118164
2019-09-30,24.239999771118164
2019-10-01,24.31999969482422
2019-10-02,23.049999237060547
2019-10-03,23.600000381469727
2019-10-04,24.719999313354492
2019-10-07,26.139999389648438
2019-10-08,25.3799991607666
2019-10-09,25.559999465942383
2019-10-10,26.239999771118164
2019-10-11,27.65999984741211
2019-10-14,26.93000030517578
2019-10-15,27.059999465942383
2019-10-16,27.899999618530273
2019-10-17,28.600000381469727
2019-10-18,28.030000686645508
2019-10-21,27.549999237060547
2019-10-22,27.1200008392334
2019-10-23,26.40999984741211
2019-10-24,26.93000030517578
2019-10-25,26.84000015258789
2019-10-28,26.760000228881836
