Date,HIG
2010-01-04,17.487974166870117
2010-01-05,18.82925796508789
2010-01-06,19.144420623779297
2010-01-07,19.437602996826172
2010-01-08,19.21771812438965
2010-01-11,19.181072235107422
2010-01-12,19.87735939025879
2010-01-13,20.40508270263672
2010-01-14,19.979976654052734
2010-01-15,19.628164291381836
2010-01-19,20.141218185424805
2010-01-20,19.767419815063477
2010-01-21,18.733978271484375
2010-01-22,18.037687301635742
2010-01-25,18.07432746887207
2010-01-26,17.891088485717773
2010-01-27,18.29421043395996
2010-01-28,17.751827239990234
2010-01-29,17.583253860473633
2010-02-01,17.876436233520508
2010-02-02,18.609384536743164
2010-02-03,18.015684127807617
2010-02-04,16.996904373168945
2010-02-05,17.24610710144043
2010-02-08,17.194791793823242
2010-02-09,16.373903274536133
2010-02-10,16.908952713012695
2010-02-11,16.886960983276367
2010-02-12,17.18746566772461
2010-02-16,17.553943634033203
2010-02-17,17.64921760559082
2010-02-18,17.693199157714844
2010-02-19,17.83978271484375
2010-02-22,18.18426513671875
2010-02-23,17.480640411376953
2010-02-24,17.832454681396484
2010-02-25,17.87652015686035
2010-02-26,17.898561477661133
2010-03-01,18.221712112426758
2010-03-02,18.890058517456055
2010-03-03,18.62566375732422
2010-03-04,19.352766036987305
2010-03-05,19.727336883544922
2010-03-08,19.778749465942383
2010-03-09,19.521692276000977
2010-03-10,20.021121978759766
2010-03-11,20.043149948120117
2010-03-12,19.64654541015625
2010-03-15,19.69796371459961
2010-03-16,20.021121978759766
2010-03-17,20.99059295654297
2010-03-18,20.447099685668945
2010-03-19,20.021121978759766
2010-03-22,20.292856216430664
2010-03-23,20.461793899536133
2010-03-24,20.66743278503418
2010-03-25,20.454448699951172
2010-03-26,20.54258155822754
2010-03-29,20.696815490722656
2010-03-30,20.593990325927734
2010-03-31,20.87308120727539
2010-04-01,21.21092414855957
2010-04-05,21.54877471923828
2010-04-06,21.32109832763672
2010-04-07,20.931838989257812
2010-04-08,20.96856117248535
2010-04-09,20.564611434936523
2010-04-12,20.483821868896484
2010-04-13,20.53523063659668
2010-04-14,20.67478370666504
2010-04-15,20.395692825317383
2010-04-16,19.844850540161133
2010-04-19,20.270830154418945
2010-04-20,21.13013458251953
2010-04-21,21.115453720092773
2010-04-22,21.19624137878418
2010-04-23,21.710351943969727
2010-04-26,21.754419326782227
2010-04-27,20.895124435424805
2010-04-28,21.240306854248047
2010-04-29,21.769107818603516
2010-04-30,20.983247756958008
2010-05-03,21.291719436645508
2010-05-04,20.314899444580078
2010-05-05,20.035808563232422
2010-05-06,19.13978385925293
2010-05-07,18.581594467163086
2010-05-10,19.844850540161133
2010-05-11,19.639205932617188
2010-05-12,20.072532653808594
2010-05-13,19.675922393798828
2010-05-14,19.249948501586914
2010-05-17,19.066333770751953
2010-05-18,18.537521362304688
2010-05-19,18.669727325439453
2010-05-20,17.36240577697754
2010-05-21,17.8544921875
2010-05-24,17.575397491455078
2010-05-25,17.766357421875
2010-05-26,17.50929069519043
2010-05-27,18.782567977905273
2010-05-28,18.45136833190918
2010-06-01,17.98033332824707
2010-06-02,18.76048469543457
2010-06-03,18.502887725830078
2010-06-04,17.347381591796875
2010-06-07,16.40531349182129
2010-06-08,16.743864059448242
2010-06-09,16.73650550842285
2010-06-10,17.590255737304688
2010-06-11,17.671213150024414
2010-06-14,18.3115291595459
2010-06-15,18.782567977905273
2010-06-16,18.407215118408203
2010-06-17,18.35568618774414
2010-06-18,18.48817253112793
2010-06-21,18.237930297851562
2010-06-22,18.0318546295166
2010-06-23,18.127531051635742
2010-06-24,17.450416564941406
2010-06-25,17.715377807617188
2010-06-28,17.384172439575195
2010-06-29,16.30963134765625
2010-06-30,16.287548065185547
2010-07-01,16.081462860107422
2010-07-02,15.978425979614258
2010-07-06,15.926909446716309
2010-07-07,16.49363136291504
2010-07-08,16.684988021850586
2010-07-09,17.31793975830078
2010-07-12,17.03826904296875
2010-07-13,17.61969566345215
2010-07-14,17.10450553894043
2010-07-15,16.76594352722168
2010-07-16,16.022584915161133
2010-07-19,16.103546142578125
2010-07-20,16.30963134765625
2010-07-21,16.007871627807617
2010-07-22,16.95730209350586
2010-07-23,17.244340896606445
2010-07-26,17.222261428833008
2010-07-27,17.141307830810547
2010-07-28,16.788022994995117
2010-07-29,17.14866065979004
2010-07-30,17.229623794555664
2010-08-02,17.75217628479004
2010-08-03,17.251697540283203
2010-08-04,17.546098709106445
2010-08-05,16.692350387573242
2010-08-06,16.56722640991211
2010-08-09,16.817466735839844
2010-08-10,16.604028701782227
2010-08-11,15.352836608886719
2010-08-12,15.212992668151855
2010-08-13,15.36755657196045
2010-08-16,14.970114707946777
2010-08-17,15.470596313476562
2010-08-18,15.603065490722656
2010-08-19,14.98483657836914
2010-08-20,14.815556526184082
2010-08-23,14.778755187988281
2010-08-24,14.197325706481934
2010-08-25,14.359244346618652
2010-08-26,14.050124168395996
2010-08-27,14.955394744873047
2010-08-30,14.453692436218262
2010-08-31,14.881621360778809
2010-09-01,15.818635940551758
2010-09-02,16.062114715576172
2010-09-03,16.60809326171875
2010-09-07,15.95143985748291
2010-09-08,16.37937355041504
2010-09-09,16.47528076171875
2010-09-10,16.932723999023438
2010-09-13,17.30901336669922
2010-09-14,17.04339599609375
2010-09-15,16.947479248046875
2010-09-16,16.75566291809082
2010-09-17,16.600711822509766
2010-09-20,16.917972564697266
2010-09-21,17.087684631347656
2010-09-22,16.467910766601562
2010-09-23,16.121135711669922
2010-09-24,16.74089813232422
2010-09-27,16.600711822509766
2010-09-28,17.294252395629883
