Date,HYLN
2020-01-02,9.949999809265137
2020-01-03,9.949999809265137
2020-01-06,9.989999771118164
2020-01-07,10.020000457763672
2020-01-08,10.029999732971191
2020-01-09,10.029999732971191
2020-01-10,10.029999732971191
2020-01-13,10.029999732971191
2020-01-14,10.029999732971191
2020-01-15,10.029999732971191
2020-01-16,10.050000190734863
2020-01-17,10.039999961853027
2020-01-21,10.029999732971191
2020-01-22,10.029999732971191
2020-01-23,10.069999694824219
2020-01-24,10.029999732971191
2020-01-27,10.020000457763672
2020-01-28,10.029999732971191
2020-01-29,10.03499984741211
2020-01-30,10.029999732971191
2020-01-31,10.029999732971191
2020-02-03,10.029999732971191
2020-02-04,10.069999694824219
2020-02-05,10.069999694824219
2020-02-06,10.029999732971191
2020-02-07,10.029999732971191
2020-02-10,10.029999732971191
2020-02-11,10.029999732971191
2020-02-12,10.050000190734863
2020-02-13,10.050000190734863
2020-02-14,10.050000190734863
2020-02-18,10.039999961853027
2020-02-19,10.039999961853027
2020-02-20,10.039999961853027
2020-02-21,10.050000190734863
2020-02-24,10.050000190734863
2020-02-25,10.04699993133545
2020-02-26,10.039999961853027
2020-02-27,10.029999732971191
2020-02-28,10.029999732971191
2020-03-02,10.069999694824219
2020-03-03,10.020000457763672
2020-03-04,10.020000457763672
2020-03-05,10.050000190734863
2020-03-06,10.069999694824219
2020-03-09,10.069999694824219
2020-03-10,10.050000190734863
2020-03-11,10.050000190734863
2020-03-12,9.949999809265137
2020-03-13,9.850000381469727
2020-03-16,9.701000213623047
2020-03-17,9.675999641418457
2020-03-18,9.550000190734863
2020-03-19,9.619999885559082
2020-03-20,9.619999885559082
2020-03-23,9.619999885559082
2020-03-24,9.649999618530273
2020-03-25,9.699999809265137
2020-03-26,9.800000190734863
2020-03-27,9.829999923706055
2020-03-30,9.829999923706055
2020-03-31,9.829999923706055
2020-04-01,9.899999618530273
2020-04-02,9.899999618530273
2020-04-03,9.899999618530273
2020-04-06,9.84000015258789
2020-04-07,9.899999618530273
2020-04-08,9.90999984741211
2020-04-09,9.90999984741211
2020-04-13,9.90999984741211
2020-04-14,9.9399995803833
2020-04-15,9.9399995803833
2020-04-16,9.9399995803833
2020-04-17,9.930000305175781
2020-04-20,9.930000305175781
2020-04-21,9.930000305175781
2020-04-22,9.930000305175781
2020-04-23,9.930000305175781
2020-04-24,9.930000305175781
2020-04-27,9.9399995803833
2020-04-28,9.9399995803833
2020-04-29,9.9399995803833
2020-04-30,9.9399995803833
2020-05-01,9.9399995803833
2020-05-04,9.9399995803833
2020-05-05,9.9399995803833
2020-05-06,9.890000343322754
2020-05-07,9.9399995803833
