Date,WM
2010-01-04,22.88261604309082
2010-01-05,22.78213882446289
2010-01-06,22.77543830871582
2010-01-07,22.82903480529785
2010-01-08,22.936214447021484
2010-01-11,23.224254608154297
2010-01-12,23.364917755126953
2010-01-13,23.31132698059082
2010-01-14,23.070180892944336
2010-01-15,22.273038864135742
2010-01-19,22.721851348876953
2010-01-20,22.587881088256836
2010-01-21,22.172561645507812
2010-01-22,22.011791229248047
2010-01-25,21.86441993713379
2010-01-26,21.810840606689453
2010-01-27,21.824230194091797
2010-01-28,21.50938606262207
2010-01-29,21.46919822692871
2010-02-01,21.5562801361084
2010-02-02,21.777334213256836
2010-02-03,21.750539779663086
2010-02-04,21.308427810668945
2010-02-05,21.31513023376465
2010-02-08,21.033784866333008
2010-02-09,21.475908279418945
2010-02-10,21.38212013244629
2010-02-11,21.388813018798828
2010-02-12,21.32182502746582
2010-02-16,22.038593292236328
2010-02-17,22.105573654174805
2010-02-18,22.038593292236328
2010-02-19,22.360118865966797
2010-02-22,22.346723556518555
2010-02-23,21.851024627685547
2010-02-24,22.051984786987305
2010-02-25,22.12566375732422
2010-02-26,22.11896324157715
2010-03-01,22.568716049194336
2010-03-02,22.66340446472168
2010-03-03,22.656641006469727
2010-03-04,22.6363582611084
2010-03-05,22.900114059448242
2010-03-08,22.72426986694336
2010-03-09,22.737802505493164
2010-03-10,22.649883270263672
2010-03-11,22.622821807861328
2010-03-12,22.60253143310547
2010-03-15,22.791906356811523
2010-03-16,22.91364097595215
2010-03-17,22.974515914916992
2010-03-18,23.062429428100586
2010-03-19,23.10301399230957
2010-03-22,23.17740821838379
2010-03-23,23.461454391479492
2010-03-24,23.238269805908203
2010-03-25,23.17740821838379
2010-03-26,23.28561782836914
2010-03-29,23.366775512695312
2010-03-30,23.29237937927246
2010-03-31,23.28561782836914
2010-04-01,23.387062072753906
2010-04-05,23.454702377319336
2010-04-06,23.56290626525879
2010-04-07,23.454702377319336
2010-04-08,23.407360076904297
2010-04-09,23.51556396484375
2010-04-12,23.61701774597168
2010-04-13,23.583200454711914
2010-04-14,23.738754272460938
2010-04-15,23.765811920166016
2010-04-16,23.691404342651367
2010-04-19,23.745512008666992
2010-04-20,23.73198699951172
2010-04-21,23.759033203125
2010-04-22,23.833438873291016
2010-04-23,24.029569625854492
2010-04-26,24.11748695373535
2010-04-27,23.51556396484375
2010-04-28,23.867244720458984
2010-04-29,23.73198699951172
2010-04-30,23.454702377319336
2010-05-03,23.72522735595703
2010-05-04,23.13005828857422
2010-05-05,23.021852493286133
2010-05-06,22.379348754882812
2010-05-07,22.223800659179688
2010-05-10,22.981260299682617
2010-05-11,22.967744827270508
2010-05-12,23.231510162353516
2010-05-13,23.035371780395508
2010-05-14,22.6363582611084
2010-05-17,22.818952560424805
2010-05-18,22.825721740722656
2010-05-19,22.521377563476562
2010-05-20,21.75714111328125
2010-05-21,21.91269874572754
2010-05-24,21.65569305419922
2010-05-25,21.669212341308594
2010-05-26,21.790956497192383
2010-05-27,22.320281982421875
2010-05-28,22.20416259765625
2010-06-01,21.835342407226562
2010-06-02,22.320281982421875
2010-06-03,22.402238845825195
2010-06-04,21.55532455444336
2010-06-07,21.425548553466797
2010-06-08,21.753387451171875
2010-06-09,21.82851791381836
2010-06-10,22.4227237701416
2010-06-11,22.381750106811523
2010-06-14,22.4227237701416
2010-06-15,22.95545768737793
2010-06-16,22.975954055786133
2010-06-17,23.023767471313477
2010-06-18,22.900815963745117
2010-06-21,22.914478302001953
2010-06-22,22.566158294677734
2010-06-23,22.31344223022461
2010-06-24,21.951461791992188
2010-06-25,21.958290100097656
2010-06-28,22.06074333190918
2010-06-29,21.487022399902344
2010-06-30,21.370912551879883
2010-07-01,21.616792678833008
2010-07-02,21.7260684967041
2010-07-06,21.671430587768555
2010-07-07,22.183679580688477
2010-07-08,22.456871032714844
2010-07-09,22.388574600219727
2010-07-12,22.36125946044922
2010-07-13,22.64128303527832
2010-07-14,22.57981300354004
2010-07-15,22.661775588989258
