Date,AEBI
2025-07-02,11.157014846801758
2025-07-03,13.58201789855957
2025-07-07,12.105061531066895
2025-07-08,11.596109390258789
2025-07-09,11.795698165893555
2025-07-10,11.45639705657959
2025-07-11,11.047240257263184
2025-07-14,10.288804054260254
2025-07-15,10.099193572998047
2025-07-16,10.189008712768555
2025-07-17,10.21894645690918
2025-07-18,9.899604797363281
2025-07-21,9.240962028503418
2025-07-22,9.3407564163208
2025-07-23,9.530365943908691
2025-07-24,9.869667053222656
2025-07-25,9.759892463684082
2025-07-28,9.809789657592773
2025-07-29,10.01935863494873
2025-07-30,10.15907096862793
2025-07-31,10.278823852539062
2025-08-01,9.700016975402832
2025-08-04,10.977384567260742
2025-08-05,10.797754287719727
2025-08-06,10.468433380126953
2025-08-07,10.36863899230957
2025-08-08,11.097137451171875
2025-08-11,11.097137451171875
2025-08-12,11.466377258300781
2025-08-13,12.164937973022461
2025-08-14,12.125020027160645
2025-08-15,11.775739669799805
2025-08-18,11.875534057617188
2025-08-19,11.705883026123047
2025-08-20,11.45639705657959
2025-08-21,11.636027336120605
2025-08-22,12.214835166931152
2025-08-25,11.646007537841797
2025-08-26,11.995287895202637
2025-08-27,11.805678367614746
2025-08-28,12.13499927520752
2025-08-29,12.289999961853027
2025-09-02,12.0
2025-09-03,11.489999771118164
2025-09-04,11.350000381469727
2025-09-05,11.710000038146973
2025-09-08,11.760000228881836
2025-09-09,11.770000457763672
2025-09-10,11.819999694824219
2025-09-11,12.489999771118164
2025-09-12,12.40999984741211
2025-09-15,12.550000190734863
2025-09-16,12.520000457763672
2025-09-17,12.180000305175781
2025-09-18,12.6899995803833
2025-09-19,12.489999771118164
