Date,MCY
2010-01-04,19.08835792541504
2010-01-05,18.810596466064453
2010-01-06,18.690866470336914
2010-01-07,18.733972549438477
2010-01-08,18.75791358947754
2010-01-11,18.66214370727539
2010-01-12,18.590303421020508
2010-01-13,18.8441104888916
2010-01-14,18.791440963745117
2010-01-15,18.5711612701416
2010-01-19,18.580726623535156
2010-01-20,18.346080780029297
2010-01-21,18.202409744262695
2010-01-22,17.95339584350586
2010-01-25,18.25029945373535
2010-01-26,18.23594093322754
2010-01-27,18.475379943847656
2010-01-28,18.360441207885742
2010-01-29,18.302976608276367
2010-02-01,18.31734275817871
2010-02-02,18.44185447692871
2010-02-03,18.350860595703125
2010-02-04,18.31255531311035
2010-02-05,18.695667266845703
2010-02-08,18.523271560668945
2010-02-09,18.264667510986328
2010-02-10,18.25508689880371
2010-02-11,18.336502075195312
2010-02-12,18.39875602722168
2010-02-16,18.748340606689453
2010-02-17,18.87285041809082
2010-02-18,19.471452713012695
2010-02-19,19.447507858276367
2010-02-22,19.572021484375
2010-02-23,19.495405197143555
2010-02-24,19.715686798095703
2010-02-25,19.739641189575195
2010-02-26,19.663007736206055
2010-03-01,19.907245635986328
2010-03-02,20.42923355102539
2010-03-03,20.17063331604004
2010-03-04,20.1945743560791
2010-03-05,20.252042770385742
2010-03-08,20.352603912353516
2010-03-09,20.520204544067383
2010-03-10,20.572891235351562
2010-03-11,20.615989685058594
2010-03-12,20.70824432373047
2010-03-15,20.635412216186523
2010-03-16,20.645126342773438
2010-03-17,20.863611221313477
2010-03-18,21.150081634521484
2010-03-19,20.99956703186035
2010-03-22,20.99956703186035
2010-03-23,21.14037322998047
2010-03-24,21.184072494506836
2010-03-25,21.154937744140625
2010-03-26,21.24233627319336
2010-03-29,21.34429168701172
2010-03-30,21.227764129638672
2010-03-31,21.227764129638672
2010-04-01,21.426847457885742
2010-04-05,21.499670028686523
2010-04-06,21.73273468017578
2010-04-07,21.80556869506836
2010-04-08,21.645334243774414
2010-04-09,21.655044555664062
2010-04-12,21.59678077697754
2010-04-13,21.54823112487793
2010-04-14,21.742443084716797
2010-04-15,21.815277099609375
2010-04-16,21.70360565185547
2010-04-19,21.878395080566406
2010-04-20,22.077468872070312
2010-04-21,22.16486358642578
2010-04-22,21.999771118164062
2010-04-23,22.150299072265625
2010-04-26,22.06289291381836
2010-04-27,21.64047622680664
2010-04-28,21.883243560791016
2010-04-29,21.999771118164062
2010-04-30,21.84441375732422
2010-05-03,22.461036682128906
2010-05-04,22.25225830078125
2010-05-05,22.087173461914062
2010-05-06,21.368568420410156
