Date,FDS
2010-01-04,56.13444137573242
2010-01-05,56.66481399536133
2010-01-06,56.79106521606445
2010-01-07,57.27096939086914
2010-01-08,57.397239685058594
2010-01-11,56.5048713684082
2010-01-12,56.067108154296875
2010-01-13,57.1951904296875
2010-01-14,56.479618072509766
2010-01-15,56.24388122558594
2010-01-19,56.42909622192383
2010-01-20,55.37680435180664
2010-01-21,54.46760940551758
2010-01-22,53.76885986328125
2010-01-25,53.390037536621094
2010-01-26,53.83622360229492
2010-01-27,54.48442840576172
2010-01-28,53.60049057006836
2010-01-29,53.03643798828125
2010-02-01,53.67625045776367
2010-02-02,54.42551040649414
2010-02-03,53.94564437866211
2010-02-04,52.354549407958984
2010-02-05,52.910179138183594
2010-02-08,52.45556640625
2010-02-09,53.11221694946289
2010-02-10,53.12063980102539
2010-02-11,54.15609359741211
2010-02-12,54.63595199584961
2010-02-16,54.95587158203125
2010-02-17,55.43572998046875
2010-02-18,54.98112869262695
2010-02-19,54.89693832397461
2010-02-22,54.91378402709961
2010-02-23,54.720157623291016
2010-02-24,55.9361572265625
2010-02-25,55.86015701293945
2010-02-26,55.902366638183594
2010-03-01,57.08460235595703
2010-03-02,58.07259750366211
2010-03-03,58.70594787597656
2010-03-04,58.275264739990234
2010-03-05,59.36461639404297
2010-03-08,59.3223762512207
2010-03-09,59.955718994140625
2010-03-10,60.090824127197266
2010-03-11,60.30193328857422
2010-03-12,60.10771942138672
2010-03-15,60.47926712036133
2010-03-16,62.39616775512695
2010-03-17,64.32150268554688
2010-03-18,63.375728607177734
2010-03-19,61.3237419128418
2010-03-22,61.669921875
2010-03-23,62.10906219482422
2010-03-24,61.39126968383789
2010-03-25,60.99441909790039
2010-03-26,61.13794708251953
2010-03-29,61.627708435058594
2010-03-30,61.85573959350586
2010-03-31,61.957069396972656
2010-04-01,62.15126037597656
2010-04-05,62.83527374267578
2010-04-06,63.01261901855469
2010-04-07,63.40106964111328
2010-04-08,63.029510498046875
2010-04-09,63.29127502441406
2010-04-12,63.730403900146484
2010-04-13,63.705055236816406
2010-04-14,64.16105651855469
2010-04-15,63.82330322265625
2010-04-16,62.961944580078125
2010-04-19,63.04638671875
2010-04-20,63.94151306152344
2010-04-21,64.15260314941406
2010-04-22,64.32150268554688
2010-04-23,64.69306945800781
2010-04-26,64.96328735351562
2010-04-27,64.25396728515625
2010-04-28,63.31661605834961
2010-04-29,63.274375915527344
2010-04-30,63.51927947998047
2010-05-03,64.76902770996094
2010-05-04,63.13926696777344
2010-05-05,62.48060989379883
2010-05-06,60.93529510498047
2010-05-07,59.584129333496094
2010-05-10,62.03306198120117
2010-05-11,61.458805084228516
2010-05-12,62.750831604003906
2010-05-13,63.10548782348633
2010-05-14,62.01616668701172
2010-05-17,62.252601623535156
2010-05-18,60.94373321533203
2010-05-19,60.38637924194336
2010-05-20,57.49837112426758
2010-05-21,58.334381103515625
2010-05-24,57.91215133666992
2010-05-25,57.076133728027344
2010-05-26,56.60165023803711
2010-05-27,58.68608856201172
