Date,EXR
2010-01-04,6.916342258453369
2010-01-05,6.869807720184326
2010-01-06,6.893074035644531
2010-01-07,6.840723514556885
2010-01-08,6.689480781555176
2010-01-11,6.7418341636657715
2010-01-12,6.503341197967529
2010-01-13,6.619678974151611
2010-01-14,6.596409320831299
2010-01-15,6.625498294830322
2010-01-19,6.817453861236572
2010-01-20,6.83490514755249
2010-01-21,6.7243852615356445
2010-01-22,6.6778459548950195
2010-01-25,6.701115608215332
2010-01-26,6.60222864151001
2010-01-27,6.631312370300293
2010-01-28,6.573145866394043
2010-01-29,6.60222864151001
2010-02-01,6.6662139892578125
2010-02-02,6.817453861236572
2010-02-03,6.753469467163086
2010-02-04,6.503341197967529
2010-02-05,6.60222864151001
2010-02-08,6.474254131317139
2010-02-09,6.445170879364014
2010-02-10,6.474254131317139
2010-02-11,6.567325592041016
2010-02-12,6.608044624328613
2010-02-16,6.7418341636657715
2010-02-17,6.74765157699585
2010-02-18,6.887256622314453
2010-02-19,7.021048069000244
2010-02-22,6.980328559875488
2010-02-23,6.701115608215332
2010-02-24,6.689480781555176
2010-02-25,6.648764133453369
2010-02-26,6.561509609222412
2010-03-01,6.596409320831299
2010-03-02,6.497522354125977
2010-03-03,6.57896089553833
2010-03-04,6.82327127456665
2010-03-05,7.102482795715332
2010-03-08,7.259540557861328
2010-03-09,7.364246368408203
2010-03-10,7.364246368408203
2010-03-11,7.364246368408203
2010-03-12,7.4580607414245605
2010-03-15,7.504964828491211
2010-03-16,7.680862903594971
2010-03-17,7.698452472686768
2010-03-18,7.727766513824463
2010-03-19,7.546008586883545
2010-03-22,7.563596248626709
2010-03-23,7.657408714294434
2010-03-24,7.645680904388428
2010-03-25,7.563596248626709
2010-03-26,7.622231483459473
2010-03-29,7.6398186683654785
2010-03-30,7.663271903991699
2010-03-31,7.434605598449707
2010-04-01,7.452194690704346
2010-04-05,7.645680904388428
2010-04-06,7.856756687164307
2010-04-07,7.950569152832031
2010-04-08,7.8743510246276855
2010-04-09,8.085429191589355
2010-04-12,7.991613388061523
2010-04-13,8.267189025878906
2010-04-14,8.437222480773926
2010-04-15,8.026795387268066
2010-04-16,7.833306789398193
2010-04-19,7.9153947830200195
2010-04-20,7.979887008666992
2010-04-21,8.261323928833008
2010-04-22,8.284774780273438
2010-04-23,8.501715660095215
2010-04-26,8.695205688476562
2010-04-27,8.407903671264648
2010-04-28,8.33754825592041
2010-04-29,8.888691902160645
2010-04-30,8.806604385375977
2010-05-03,9.123223304748535
2010-05-04,9.146677017211914
2010-05-05,9.28153133392334
2010-05-06,9.011816024780273
2010-05-07,8.824197769165039
2010-05-10,9.334299087524414
2010-05-11,9.29912281036377
2010-05-12,9.516064643859863
