Date,SR
2010-01-04,18.840559005737305
2010-01-05,18.244094848632812
2010-01-06,18.014259338378906
2010-01-07,18.09087371826172
2010-01-08,18.063508987426758
2010-01-11,18.06898307800293
2010-01-12,18.112760543823242
2010-01-13,18.16748809814453
2010-01-14,18.134653091430664
2010-01-15,17.970497131347656
2010-01-19,18.28240203857422
2010-01-20,18.025211334228516
2010-01-21,17.66404151916504
2010-01-22,17.581972122192383
2010-01-25,17.71329689025879
2010-01-26,17.510822296142578
2010-01-27,17.68593406677246
2010-01-28,17.68593406677246
2010-01-29,17.653104782104492
2010-02-01,17.620269775390625
2010-02-02,17.521780014038086
2010-02-03,17.456104278564453
2010-02-04,17.127775192260742
2010-02-05,17.23174285888672
2010-02-08,17.051164627075195
2010-02-09,17.1223087310791
2010-02-10,17.09494400024414
2010-02-11,17.09494400024414
2010-02-12,17.187971115112305
2010-02-16,17.47252082824707
2010-02-17,17.702350616455078
2010-02-18,17.80631446838379
2010-02-19,18.101816177368164
2010-02-22,18.074453353881836
2010-02-23,18.255033493041992
2010-02-24,18.304290771484375
2010-02-25,18.29334259033203
2010-02-26,17.943130493164062
2010-03-01,18.435619354248047
2010-03-02,18.501285552978516
2010-03-03,18.391841888427734
2010-03-04,18.430143356323242
2010-03-05,18.36995506286621
2010-03-08,18.462976455688477
2010-03-09,18.55434226989746
2010-03-10,18.737058639526367
2010-03-11,18.725980758666992
2010-03-12,18.66507911682129
2010-03-15,18.615243911743164
2010-03-16,18.63185691833496
2010-03-17,18.82564926147461
2010-03-18,18.903167724609375
2010-03-19,19.16340446472168
2010-03-22,19.074811935424805
2010-03-23,19.14126205444336
2010-03-24,18.908702850341797
2010-03-25,18.626317977905273
2010-03-26,18.515583038330078
2010-03-29,18.725980758666992
2010-03-30,18.77581214904785
2010-03-31,18.67061996459961
2010-04-01,18.853334426879883
2010-04-05,18.95853614807129
2010-04-06,19.196630477905273
2010-04-07,19.21877098083496
2010-04-08,18.991762161254883
2010-04-09,19.102495193481445
2010-04-12,19.06927490234375
2010-04-13,18.88655662536621
2010-04-14,19.02497673034668
2010-04-15,19.113571166992188
2010-04-16,19.074811935424805
2010-04-19,19.06927490234375
2010-04-20,19.096967697143555
2010-04-21,19.29075050354004
2010-04-22,19.318435668945312
2010-04-23,19.545446395874023
2010-04-26,19.395959854125977
2010-04-27,19.124649047851562
2010-04-28,19.29075050354004
2010-04-29,19.573129653930664
2010-04-30,18.869945526123047
2010-05-03,19.407024383544922
2010-05-04,19.395959854125977
2010-05-05,19.240922927856445
2010-05-06,18.687231063842773
2010-05-07,18.26641845703125
2010-05-10,18.991762161254883
2010-05-11,19.395959854125977
2010-05-12,19.58974266052246
2010-05-13,19.72263526916504
2010-05-14,19.534372329711914
2010-05-17,19.672807693481445
2010-05-18,19.47347640991211
2010-05-19,19.323978424072266
2010-05-20,18.587560653686523
2010-05-21,18.548799514770508
2010-05-24,18.355010986328125
2010-05-25,18.089235305786133
2010-05-26,18.050474166870117
2010-05-27,18.371618270874023
2010-05-28,18.321788787841797
2010-06-01,17.729339599609375
2010-06-02,18.12799644470215
2010-06-03,18.55987548828125
2010-06-04,18.11138343811035
2010-06-07,17.917587280273438
2010-06-08,17.91204833984375
2010-06-09,17.830774307250977
2010-06-10,18.27359962463379
2010-06-11,18.408140182495117
2010-06-14,18.492212295532227
2010-06-15,18.69400978088379
2010-06-16,18.856557846069336
2010-06-17,19.00229835510254
2010-06-18,19.153642654418945
2010-06-21,19.013511657714844
2010-06-22,18.671585083007812
2010-06-23,18.424951553344727
2010-06-24,18.46978759765625
2010-06-25,18.90140724182129
2010-06-28,19.063961029052734
2010-06-29,18.654762268066406
2010-06-30,18.57068634033203
2010-07-01,18.385711669921875
2010-07-02,18.346466064453125
2010-07-06,18.26799201965332
