Date,SSTK
2012-10-11,17.70140266418457
2012-10-12,17.979259490966797
2012-10-15,18.755638122558594
2012-10-16,18.829191207885742
2012-10-17,18.861879348754883
2012-10-18,19.90794563293457
2012-10-19,18.65757179260254
2012-10-22,19.139745712280273
2012-10-23,18.469602584838867
2012-10-24,18.534982681274414
2012-10-25,18.54315757751465
2012-10-26,18.968116760253906
2012-10-31,19.409435272216797
2012-11-01,20.177635192871094
2012-11-02,20.283878326416016
2012-11-05,19.70363426208496
2012-11-06,18.52680778503418
2012-11-07,19.08253288269043
2012-11-08,19.613739013671875
2012-11-09,19.491159439086914
2012-11-12,19.564706802368164
2012-11-13,19.58922576904297
2012-11-14,18.69025993347168
2012-11-15,17.807641983032227
2012-11-16,19.098878860473633
2012-11-19,21.264562606811523
2012-11-20,22.474075317382812
2012-11-21,22.58848762512207
2012-11-23,22.482248306274414
2012-11-26,22.04911231994629
2012-11-27,21.16649055480957
2012-11-28,21.191007614135742
2012-11-29,21.13380241394043
2012-11-30,20.921323776245117
2012-12-03,21.19918441772461
2012-12-04,20.61077117919922
2012-12-05,20.144943237304688
2012-12-06,19.94063377380371
2012-12-07,20.954017639160156
2012-12-10,21.395320892333984
2012-12-11,20.89680290222168
2012-12-12,20.994869232177734
2012-12-13,20.962182998657227
2012-12-14,21.076597213745117
2012-12-17,20.26753044128418
2012-12-18,20.839603424072266
2012-12-19,20.504531860351562
2012-12-20,19.818050384521484
2012-12-21,19.54018783569336
2012-12-24,19.270496368408203
2012-12-26,19.074363708496094
2012-12-27,20.06321907043457
2012-12-28,20.676151275634766
2012-12-31,21.24821662902832
2013-01-02,21.526079177856445
2013-01-03,21.13380241394043
2013-01-04,21.052082061767578
2013-01-07,21.34628677368164
2013-01-08,21.109291076660156
2013-01-09,21.730384826660156
2013-01-10,22.000076293945312
2013-01-11,22.817319869995117
2013-01-14,22.01642417907715
2013-01-15,21.673187255859375
2013-01-16,21.141979217529297
2013-01-17,21.57511329650879
2013-01-18,20.954017639160156
2013-01-22,20.962182998657227
2013-01-23,20.569908142089844
2013-01-24,19.45029067993164
2013-01-25,20.16128921508789
2013-01-28,19.997840881347656
2013-01-29,20.667980194091797
2013-01-30,20.202150344848633
2013-01-31,20.618946075439453
2013-02-01,20.774219512939453
2013-02-04,20.586259841918945
2013-02-05,20.55356216430664
2013-02-06,20.471845626831055
2013-02-07,20.520877838134766
2013-02-08,20.62711524963379
2013-02-11,21.092941284179688
2013-02-12,19.90794563293457
2013-02-13,20.55356216430664
