Date,LOB
2015-07-23,18.274845123291016
2015-07-24,18.456924438476562
2015-07-27,18.68692970275879
2015-07-28,18.97441291809082
2015-07-29,19.68355941772461
2015-07-30,19.309823989868164
2015-07-31,19.31940269470215
2015-08-03,19.328990936279297
2015-08-04,19.51106071472168
2015-08-05,19.788976669311523
2015-08-06,19.750638961791992
2015-08-07,19.36732292175293
2015-08-10,19.156492233276367
2015-08-11,19.300230026245117
2015-08-12,19.2523250579834
2015-08-13,19.08941078186035
2015-08-14,18.418594360351562
2015-08-17,18.706092834472656
2015-08-18,18.993574142456055
2015-08-19,19.022329330444336
2015-08-20,18.706092834472656
2015-08-21,18.31318473815918
2015-08-24,17.84362030029297
2015-08-25,18.351518630981445
2015-08-26,18.85942268371582
2015-08-27,18.68692970275879
2015-08-28,18.552762985229492
2015-08-31,18.466514587402344
2015-09-01,18.466514587402344
2015-09-02,18.447345733642578
2015-09-03,18.552762985229492
2015-09-04,17.996944427490234
2015-09-08,18.648591995239258
2015-09-09,18.111942291259766
2015-09-10,18.284435272216797
2015-09-11,18.34193229675293
2015-09-14,18.610260009765625
2015-09-15,18.878582000732422
2015-09-16,18.888168334960938
2015-09-17,18.878582000732422
2015-09-18,18.696510314941406
2015-09-21,18.945667266845703
2015-09-22,19.08941078186035
2015-09-23,19.070232391357422
2015-09-24,19.261991500854492
2015-09-25,18.983945846557617
2015-09-28,19.146940231323242
2015-09-29,19.185285568237305
2015-09-30,18.830535888671875
2015-10-01,18.542903900146484
2015-10-02,18.082687377929688
2015-10-05,18.216920852661133
2015-10-06,17.78546142578125
2015-10-07,17.814226150512695
2015-10-08,17.71834945678711
2015-10-09,18.504552841186523
2015-10-12,18.3223819732666
2015-10-13,17.96762466430664
2015-10-14,17.823814392089844
2015-10-15,17.78546142578125
2015-10-16,17.33483123779297
2015-10-19,16.759557723999023
2015-10-20,16.826677322387695
2015-10-21,16.21305274963379
2015-10-22,15.350149154663086
2015-10-23,15.74324893951416
2015-10-26,15.685722351074219
2015-10-27,14.841991424560547
2015-10-28,14.870757102966309
2015-10-29,13.816094398498535
