Date,UPS
2010-01-04,34.56595993041992
2010-01-05,34.62538146972656
2010-01-06,34.36990737915039
2010-01-07,34.10849380493164
2010-01-08,35.74825668334961
2010-01-11,37.322689056396484
2010-01-12,37.07316589355469
2010-01-13,36.87710952758789
2010-01-14,36.95433807373047
2010-01-15,36.79392623901367
2010-01-19,36.98404312133789
2010-01-20,36.33644104003906
2010-01-21,35.46902847290039
2010-01-22,34.90461349487305
2010-01-25,34.90461349487305
2010-01-26,34.83926773071289
2010-01-27,35.25514602661133
2010-01-28,35.029380798339844
2010-01-29,34.32238006591797
2010-02-01,34.69072723388672
2010-02-02,34.8273811340332
2010-02-03,34.97591018676758
2010-02-04,34.037200927734375
2010-02-05,33.983734130859375
2010-02-08,33.63912582397461
2010-02-09,34.10849380493164
2010-02-10,33.906494140625
2010-02-11,33.97838592529297
2010-02-12,33.63692092895508
2010-02-16,34.34379577636719
2010-02-17,34.45161056518555
2010-02-18,34.247947692871094
2010-02-19,34.63134765625
2010-02-22,34.71521759033203
2010-02-23,34.98480224609375
2010-02-24,35.2004508972168
2010-02-25,34.996768951416016
2010-02-26,35.18846130371094
2010-03-01,35.254356384277344
2010-03-02,35.440059661865234
2010-03-03,35.452064514160156
2010-03-04,35.46403121948242
2010-03-05,35.63775634765625
2010-03-08,35.82347106933594
2010-03-09,36.11700439453125
2010-03-10,36.3806037902832
2010-03-11,37.422950744628906
2010-03-12,37.33308792114258
2010-03-15,37.560726165771484
2010-03-16,37.42892837524414
2010-03-17,37.668556213378906
2010-03-18,38.59109878540039
2010-03-19,38.537193298339844
2010-03-22,38.31553649902344
2010-03-23,38.710906982421875
2010-03-24,38.20168685913086
2010-03-25,38.129825592041016
2010-03-26,38.141815185546875
2010-03-29,38.417354583740234
2010-03-30,38.65700149536133
2010-03-31,38.585113525390625
2010-04-01,38.42935562133789
2010-04-05,38.44733810424805
2010-04-06,38.47128677368164
2010-04-07,38.141815185546875
2010-04-08,38.50123977661133
2010-04-09,38.60308074951172
2010-04-12,38.794776916503906
2010-04-13,38.86666488647461
2010-04-14,39.20812225341797
2010-04-15,41.26887130737305
2010-04-16,40.861507415771484
2010-04-19,40.90943145751953
2010-04-20,40.77164840698242
2010-04-21,40.8076171875
2010-04-22,40.89147186279297
2010-04-23,41.25090026855469
2010-04-26,41.04722213745117
2010-04-27,39.669395446777344
2010-04-28,40.92143630981445
2010-04-29,41.75410079956055
2010-04-30,41.41863250732422
2010-05-03,42.3531608581543
2010-05-04,41.298828125
2010-05-05,40.2444953918457
2010-05-06,38.93854904174805
2010-05-07,38.29756164550781
2010-05-10,40.42421340942383
2010-05-11,40.13066482543945
2010-05-12,40.87349319458008
2010-05-13,40.28838348388672
2010-05-14,39.66105270385742
2010-05-17,39.54039764404297
2010-05-18,39.38355255126953
2010-05-19,39.28705596923828
2010-05-20,38.26160430908203
2010-05-21,37.62821960449219
2010-05-24,37.18787384033203
2010-05-25,37.38090515136719
2010-05-26,37.37486267089844
2010-05-27,38.346046447753906
2010-05-28,37.85744857788086
2010-06-01,36.89833450317383
2010-06-02,37.75489807128906
2010-06-03,38.00825500488281
2010-06-04,36.530399322509766
2010-06-07,35.25762176513672
2010-06-08,35.5712776184082
2010-06-09,35.360172271728516
2010-06-10,36.699302673339844
2010-06-11,36.91644287109375
2010-06-14,36.844051361083984
2010-06-15,37.7971305847168
2010-06-16,37.646324157714844
2010-06-17,37.51964569091797
2010-06-18,37.70061111450195
2010-06-21,37.501548767089844
2010-06-22,36.43385696411133
2010-06-23,36.42181396484375
2010-06-24,36.246864318847656
2010-06-25,36.40370178222656
2010-06-28,35.96939468383789
2010-06-29,34.70867919921875
2010-06-30,34.31660079956055
2010-07-01,34.98616027832031
2010-07-02,34.23817443847656
