Date,INFA
2021-10-27,29.0
2021-10-28,29.5
2021-10-29,29.65999984741211
2021-11-01,29.649999618530273
2021-11-02,31.15999984741211
2021-11-03,31.31999969482422
2021-11-04,31.469999313354492
2021-11-05,31.270000457763672
2021-11-08,32.560001373291016
2021-11-09,32.88999938964844
2021-11-10,32.88999938964844
2021-11-11,32.52000045776367
2021-11-12,32.34000015258789
2021-11-15,33.20000076293945
2021-11-16,32.349998474121094
2021-11-17,32.97999954223633
2021-11-18,33.5
2021-11-19,33.22999954223633
2021-11-22,33.16999816894531
2021-11-23,31.950000762939453
2021-11-24,32.45000076293945
2021-11-26,32.9900016784668
2021-11-29,34.400001525878906
2021-11-30,32.189998626708984
2021-12-01,33.959999084472656
2021-12-02,33.970001220703125
2021-12-03,32.52000045776367
2021-12-06,33.7599983215332
2021-12-07,35.02000045776367
2021-12-08,36.38999938964844
2021-12-09,35.0
2021-12-10,38.52000045776367
2021-12-13,36.349998474121094
2021-12-14,36.459999084472656
2021-12-15,38.83000183105469
2021-12-16,36.02000045776367
2021-12-17,36.43000030517578
2021-12-20,36.63999938964844
2021-12-21,35.47999954223633
2021-12-22,34.7400016784668
2021-12-23,35.209999084472656
2021-12-27,35.189998626708984
2021-12-28,35.119998931884766
2021-12-29,36.349998474121094
2021-12-30,37.220001220703125
2021-12-31,36.97999954223633
2022-01-03,35.95000076293945
2022-01-04,34.310001373291016
2022-01-05,31.229999542236328
2022-01-06,30.520000457763672
2022-01-07,30.1200008392334
2022-01-10,29.950000762939453
2022-01-11,31.899999618530273
2022-01-12,31.75
2022-01-13,29.8700008392334
2022-01-14,29.489999771118164
2022-01-18,28.09000015258789
2022-01-19,27.360000610351562
2022-01-20,26.450000762939453
2022-01-21,25.68000030517578
2022-01-24,27.3799991607666
2022-01-25,26.100000381469727
2022-01-26,26.100000381469727
2022-01-27,25.889999389648438
2022-01-28,25.989999771118164
2022-01-31,27.920000076293945
2022-02-01,28.829999923706055
2022-02-02,27.940000534057617
2022-02-03,26.350000381469727
2022-02-04,27.149999618530273
2022-02-07,27.6299991607666
2022-02-08,28.700000762939453
2022-02-09,29.059999465942383
2022-02-10,28.56999969482422
2022-02-11,25.739999771118164
2022-02-14,26.100000381469727
2022-02-15,27.479999542236328
2022-02-16,28.149999618530273
2022-02-17,20.18000030517578
2022-02-18,20.350000381469727
2022-02-22,21.25
2022-02-23,20.239999771118164
2022-02-24,22.040000915527344
2022-02-25,21.770000457763672
2022-02-28,20.15999984741211
2022-03-01,20.049999237060547
2022-03-02,19.75
2022-03-03,18.75
2022-03-04,17.649999618530273
2022-03-07,17.729999542236328
2022-03-08,17.799999237060547
2022-03-09,18.25
2022-03-10,17.959999084472656
2022-03-11,16.989999771118164
2022-03-14,16.780000686645508
2022-03-15,17.1200008392334
2022-03-16,18.149999618530273
2022-03-17,18.729999542236328
2022-03-18,18.829999923706055
2022-03-21,19.040000915527344
2022-03-22,19.81999969482422
2022-03-23,18.969999313354492
2022-03-24,19.329999923706055
2022-03-25,18.84000015258789
2022-03-28,19.229999542236328
2022-03-29,20.360000610351562
2022-03-30,19.899999618530273
2022-03-31,19.739999771118164
2022-04-01,20.18000030517578
2022-04-04,20.18000030517578
2022-04-05,19.5
2022-04-06,19.139999389648438
2022-04-07,19.06999969482422
2022-04-08,19.0
2022-04-11,19.5
2022-04-12,20.299999237060547
2022-04-13,21.59000015258789
2022-04-14,21.229999542236328
2022-04-18,21.139999389648438
2022-04-19,22.030000686645508
2022-04-20,22.0
2022-04-21,21.190000534057617
2022-04-22,21.25
2022-04-25,21.6200008392334
2022-04-26,20.790000915527344
2022-04-27,20.200000762939453
2022-04-28,20.670000076293945
2022-04-29,19.459999084472656
2022-05-02,20.18000030517578
2022-05-03,19.940000534057617
2022-05-04,20.579999923706055
2022-05-05,20.260000228881836
2022-05-06,19.850000381469727
2022-05-09,17.56999969482422
2022-05-10,17.68000030517578
2022-05-11,17.25
2022-05-12,17.510000228881836
2022-05-13,18.5
2022-05-16,18.040000915527344
2022-05-17,18.799999237060547
2022-05-18,17.780000686645508
2022-05-19,18.399999618530273
2022-05-20,18.719999313354492
2022-05-23,19.18000030517578
2022-05-24,18.790000915527344
2022-05-25,20.059999465942383
2022-05-26,20.56999969482422
2022-05-27,20.950000762939453
2022-05-31,20.399999618530273
2022-06-01,20.260000228881836
2022-06-02,20.850000381469727
2022-06-03,19.670000076293945
2022-06-06,20.360000610351562
2022-06-07,20.290000915527344
2022-06-08,20.34000015258789
2022-06-09,19.690000534057617
2022-06-10,18.520000457763672
2022-06-13,17.760000228881836
2022-06-14,18.0
2022-06-15,19.229999542236328
2022-06-16,18.09000015258789
2022-06-17,18.600000381469727
2022-06-21,19.260000228881836
2022-06-22,20.030000686645508
2022-06-23,20.610000610351562
2022-06-24,21.90999984741211
2022-06-27,20.760000228881836
2022-06-28,20.399999618530273
2022-06-29,20.770000457763672
2022-06-30,20.770000457763672
2022-07-01,21.549999237060547
2022-07-05,21.3700008392334
2022-07-06,21.1299991607666
2022-07-07,21.639999389648438
2022-07-08,21.450000762939453
2022-07-11,21.31999969482422
2022-07-12,20.510000228881836
2022-07-13,20.049999237060547
2022-07-14,20.479999542236328
2022-07-15,20.149999618530273
2022-07-18,19.530000686645508
2022-07-19,19.90999984741211
2022-07-20,20.520000457763672
2022-07-21,21.049999237060547
2022-07-22,19.84000015258789
2022-07-25,19.860000610351562
2022-07-26,19.200000762939453
2022-07-27,20.059999465942383
2022-07-28,21.469999313354492
2022-07-29,22.899999618530273
2022-08-01,22.0
