Date,STRZ
2025-05-07,11.199999809265137
2025-05-08,10.430000305175781
2025-05-09,12.34000015258789
2025-05-12,12.510000228881836
2025-05-13,11.520000457763672
2025-05-14,12.380000114440918
2025-05-15,12.220000267028809
2025-05-16,13.010000228881836
2025-05-19,14.989999771118164
2025-05-20,15.949999809265137
2025-05-21,16.639999389648438
2025-05-22,16.809999465942383
2025-05-23,16.860000610351562
2025-05-27,16.979999542236328
2025-05-28,15.65999984741211
2025-05-29,16.510000228881836
2025-05-30,20.959999084472656
2025-06-02,19.3700008392334
2025-06-03,17.799999237060547
2025-06-04,17.030000686645508
2025-06-05,16.5
2025-06-06,18.049999237060547
2025-06-09,16.799999237060547
2025-06-10,18.959999084472656
2025-06-11,17.239999771118164
2025-06-12,17.110000610351562
2025-06-13,17.139999389648438
2025-06-16,17.6200008392334
2025-06-17,16.84000015258789
2025-06-18,15.920000076293945
2025-06-20,15.479999542236328
2025-06-23,16.40999984741211
2025-06-24,15.8100004196167
2025-06-25,16.059999465942383
2025-06-26,16.65999984741211
2025-06-27,16.149999618530273
2025-06-30,16.06999969482422
2025-07-01,16.170000076293945
2025-07-02,15.819999694824219
2025-07-03,15.5600004196167
2025-07-07,15.40999984741211
2025-07-08,15.40999984741211
2025-07-09,16.440000534057617
2025-07-10,17.079999923706055
2025-07-11,16.690000534057617
2025-07-14,17.100000381469727
2025-07-15,16.920000076293945
2025-07-16,16.170000076293945
2025-07-17,16.0
2025-07-18,15.890000343322754
2025-07-21,16.75
2025-07-22,16.860000610351562
2025-07-23,15.670000076293945
2025-07-24,15.960000038146973
2025-07-25,15.40999984741211
2025-07-28,15.420000076293945
2025-07-29,15.0
2025-07-30,14.989999771118164
2025-07-31,14.550000190734863
2025-08-01,14.270000457763672
2025-08-04,14.630000114440918
2025-08-05,14.180000305175781
2025-08-06,14.640000343322754
2025-08-07,14.149999618530273
2025-08-08,13.9399995803833
2025-08-11,13.600000381469727
2025-08-12,14.430000305175781
2025-08-13,15.3100004196167
2025-08-14,15.359999656677246
2025-08-15,12.239999771118164
2025-08-18,12.569999694824219
2025-08-19,13.0649995803833
2025-08-20,13.5
2025-08-21,13.170000076293945
2025-08-22,13.529999732971191
2025-08-25,13.670000076293945
2025-08-26,13.300000190734863
2025-08-27,13.5600004196167
2025-08-28,13.3100004196167
2025-08-29,12.770000457763672
2025-09-02,12.800000190734863
2025-09-03,12.970000267028809
2025-09-04,12.949999809265137
2025-09-05,12.600000381469727
2025-09-08,12.829999923706055
2025-09-09,12.369999885559082
2025-09-10,11.970000267028809
2025-09-11,13.399999618530273
2025-09-12,13.920000076293945
2025-09-15,14.949999809265137
2025-09-16,14.170000076293945
2025-09-17,14.279999732971191
2025-09-18,13.979999542236328
2025-09-19,14.40999984741211
