Date,DCOM
2010-01-04,13.770018577575684
2010-01-05,13.542037010192871
2010-01-06,12.783997535705566
2010-01-07,12.732704162597656
2010-01-08,12.909384727478027
2010-01-11,13.165868759155273
2010-01-12,13.160163879394531
2010-01-13,13.17726993560791
2010-01-14,13.20006275177002
2010-01-15,13.154462814331055
2010-01-19,13.621828079223633
2010-01-20,13.291258811950684
2010-01-21,13.108871459960938
2010-01-22,13.279855728149414
2010-01-25,13.097472190856934
2010-01-26,13.479337692260742
2010-01-27,13.718714714050293
2010-01-28,13.228558540344238
2010-01-29,13.439438819885254
2010-02-01,13.496442794799805
2010-02-02,13.228558540344238
2010-02-03,12.812499046325684
2010-02-04,12.61301326751709
2010-02-05,12.544620513916016
2010-02-08,12.174151420593262
2010-02-09,12.139958381652832
2010-02-10,12.242548942565918
2010-02-11,12.356537818908691
2010-02-12,12.362232208251953
2010-02-16,12.459126472473145
2010-02-17,12.567414283752441
2010-02-18,12.778306007385254
2010-02-19,12.584517478942871
2010-02-22,12.61301326751709
2010-02-23,13.353950500488281
2010-02-24,13.057576179504395
2010-02-25,12.983484268188477
2010-02-26,13.074675559997559
2010-03-01,13.490743637084961
2010-03-02,13.821310043334961
2010-03-03,13.76431941986084
2010-03-04,13.792813301086426
2010-03-05,14.060688018798828
2010-03-08,14.03219985961914
2010-03-09,14.248775482177734
2010-03-10,14.57934284210205
2010-03-11,14.750326156616211
2010-03-12,14.493855476379395
2010-03-15,14.847224235534668
2010-03-16,14.818730354309082
2010-03-17,14.476749420166016
2010-03-18,14.465356826782227
2010-03-19,14.790227890014648
2010-03-22,14.613546371459961
2010-03-23,14.562246322631836
2010-03-24,14.396963119506836
2010-03-25,14.015094757080078
2010-03-26,13.770018577575684
2010-03-29,13.205765724182129
2010-03-30,13.348250389099121
2010-03-31,13.336851119995117
2010-04-01,13.422343254089355
2010-04-05,13.952398300170898
2010-04-06,13.690221786499023
2010-04-07,13.137368202209473
2010-04-08,12.937889099121094
2010-04-09,13.26032829284668
2010-04-12,13.18547534942627
