Date,PRMB
2010-01-04,6.223233699798584
2010-01-05,6.434703350067139
2010-01-06,6.313863277435303
2010-01-07,6.404491901397705
2010-01-08,6.306312084197998
2010-01-11,6.396943092346191
2010-01-12,6.260995388031006
2010-01-13,6.3667311668396
2010-01-14,6.412045478820801
2010-01-15,6.35917854309082
2010-01-19,6.404491901397705
2010-01-20,6.389389514923096
2010-01-21,6.177920341491699
2010-01-22,6.2081298828125
2010-01-25,6.238340854644775
2010-01-26,6.313863277435303
2010-01-27,6.215681552886963
2010-01-28,6.306312084197998
2010-01-29,6.1023945808410645
2010-02-01,5.906029224395752
2010-02-02,5.671904563903809
2010-02-03,5.48309326171875
2010-02-04,5.241412162780762
2010-02-05,5.475540637969971
2010-02-08,5.475540637969971
2010-02-09,5.626588344573975
2010-02-10,5.671904563903809
2010-02-11,5.762533187866211
2010-02-12,5.747429847717285
2010-02-16,5.853163242340088
2010-02-17,5.792743682861328
2010-02-18,5.777639389038086
2010-02-19,5.792743682861328
2010-02-22,5.694561004638672
2010-02-23,5.671904563903809
2010-02-24,5.671904563903809
2010-02-25,5.505749225616455
2010-02-26,5.43022346496582
2010-03-01,5.25651741027832
2010-03-02,5.18099308013916
2010-03-03,5.25651741027832
2010-03-04,5.25651741027832
2010-03-05,5.25651741027832
2010-03-08,5.2716217041015625
2010-03-09,5.211203098297119
2010-03-10,5.392461776733398
2010-03-11,5.535958290100098
2010-03-12,5.513302326202393
2010-03-15,5.369804382324219
2010-03-16,5.377357482910156
2010-03-17,5.5586161613464355
2010-03-18,5.671904563903809
2010-03-19,5.664351940155029
2010-03-22,5.619035720825195
2010-03-23,5.702113151550293
2010-03-24,5.664351940155029
2010-03-25,5.890925884246826
2010-03-26,5.868266582489014
2010-03-29,6.041976451873779
2010-03-30,5.868266582489014
2010-03-31,5.853163242340088
2010-04-01,5.951345443725586
2010-04-05,6.109945774078369
2010-04-06,6.087290287017822
2010-04-07,6.041976451873779
2010-04-08,6.079737663269043
2010-04-09,6.034422397613525
2010-04-12,6.026869773864746
2010-04-13,6.019318103790283
2010-04-14,6.109945774078369
2010-04-15,6.177920341491699
2010-04-16,6.09484338760376
2010-04-19,5.989107608795166
2010-04-20,6.215681552886963
2010-04-21,6.223233699798584
2010-04-22,6.260995388031006
2010-04-23,6.540436744689941
2010-04-26,6.555542945861816
2010-04-27,6.336521148681641
