Date,CUBE
2010-01-04,4.172877788543701
2010-01-05,4.257091522216797
2010-01-06,4.210630416870117
2010-01-07,4.22224235534668
2010-01-08,4.158360481262207
2010-01-11,4.239667892456055
2010-01-12,4.152551651000977
2010-01-13,4.233860969543457
2010-01-14,4.2977447509765625
2010-01-15,4.3500142097473145
2010-01-19,4.471979141235352
2010-01-20,4.3500142097473145
2010-01-21,4.1641669273376465
2010-01-22,4.042203903198242
2010-01-25,4.053818702697754
2010-01-26,3.978316307067871
2010-01-27,4.077049732208252
2010-01-28,3.9957427978515625
2010-01-29,4.0189714431762695
2010-02-01,4.0189714431762695
2010-02-02,4.065435409545898
2010-02-03,4.123513221740723
2010-02-04,3.9550869464874268
2010-02-05,3.9608967304229736
2010-02-08,3.8098931312561035
2010-02-09,3.7518160343170166
2010-02-10,3.873778820037842
2010-02-11,3.943472146987915
2010-02-12,3.873778820037842
2010-02-16,3.8853957653045654
2010-02-17,3.9144320487976074
2010-02-18,4.013164520263672
2010-02-19,3.8389320373535156
2010-02-22,3.8912012577056885
2010-02-23,3.7750463485717773
2010-02-24,3.7750463485717773
2010-02-25,3.6646981239318848
2010-02-26,3.7808539867401123
2010-03-01,3.8912012577056885
2010-03-02,3.7518160343170166
2010-03-03,3.9144320487976074
2010-03-04,3.9202399253845215
2010-03-05,4.082857131958008
2010-03-08,4.0363945960998535
2010-03-09,4.042203903198242
2010-03-10,4.04801082611084
2010-03-11,4.059625625610352
2010-03-12,4.065435409545898
2010-03-15,4.065435409545898
2010-03-16,4.175782203674316
2010-03-17,4.326784133911133
2010-03-18,4.390668869018555
2010-03-19,4.373246669769287
2010-03-22,4.3500142097473145
2010-03-23,4.332592964172363
2010-03-24,4.338399887084961
2010-03-25,4.309360980987549
2010-03-26,4.2628984451293945
2010-03-29,4.257091522216797
2010-03-30,4.29193639755249
2010-03-31,4.181589126586914
2010-04-01,4.210630416870117
2010-04-05,4.45831298828125
2010-04-06,4.6972551345825195
2010-04-07,4.662287712097168
2010-04-08,4.615664958953857
2010-04-09,4.662287712097168
2010-04-12,4.5632147789001465
2010-04-13,4.685600280761719
2010-04-14,4.7089104652404785
2010-04-15,4.615664958953857
2010-04-16,4.493279457092285
2010-04-19,4.574869155883789
2010-04-20,4.679770469665527
2010-04-21,4.749703884124756
2010-04-22,4.749703884124756
2010-04-23,4.877918720245361
2010-04-26,4.947852611541748
2010-04-27,4.685600280761719
2010-04-28,4.691426753997803
2010-04-29,5.046926975250244
2010-04-30,5.023614883422852
2010-05-03,5.134346008300781
2010-05-04,5.046926975250244
2010-05-05,5.011961460113525
2010-05-06,4.813813209533691
2010-05-07,4.743877410888672
2010-05-10,5.035271644592285
2010-05-11,5.180967330932617
2010-05-12,5.233418941497803
2010-05-13,5.210106372833252
2010-05-14,5.1226887702941895
2010-05-17,5.146000385284424
2010-05-18,4.942026138305664
2010-05-19,4.796328544616699
2010-05-20,4.5049357414245605
2010-05-21,4.673945903778076
2010-05-24,4.633148193359375
2010-05-25,4.545731544494629
2010-05-26,4.539902687072754
2010-05-27,4.837123870849609
2010-05-28,4.790503025054932
2010-06-01,4.662287712097168
2010-06-02,4.668115615844727
2010-06-03,4.703083038330078
2010-06-04,4.394207000732422
2010-06-07,4.429172992706299
2010-06-08,4.423346519470215
2010-06-09,4.388378143310547
2010-06-10,4.510763645172119
2010-06-11,4.5632147789001465
2010-06-14,4.673945903778076
2010-06-15,4.9245405197143555
2010-06-16,4.825466632843018
2010-06-17,4.778845310211182
2010-06-18,4.767190933227539
2010-06-21,4.726394176483154
2010-06-22,4.574869155883789
2010-06-23,4.615664958953857
2010-06-24,4.539902687072754
2010-06-25,4.644803047180176
2010-06-28,4.534074306488037
2010-06-29,4.359238624572754
2010-06-30,4.347584247589111
2010-07-01,4.370894432067871
2010-07-02,4.215939044952393
2010-07-06,4.02297830581665
2010-07-07,4.239330768585205
2010-07-08,4.239330768585205
2010-07-09,4.379665851593018
2010-07-12,4.3387346267700195
2010-07-13,4.531698703765869
2010-07-14,4.502458572387695
2010-07-15,4.572628021240234
2010-07-16,4.367972373962402
2010-07-19,4.408901691436768
2010-07-20,4.578475475311279
2010-07-21,4.502458572387695
2010-07-22,4.584322929382324
2010-07-23,4.683728218078613
2010-07-26,4.8299126625061035
2010-07-27,4.818215847015381
2010-07-28,4.765592098236084
2010-07-29,4.783132076263428
2010-07-30,4.718811988830566
2010-08-02,4.882537364959717
2010-08-03,4.771440029144287
2010-08-04,4.742202281951904
2010-08-05,4.742202281951904
2010-08-06,4.841605186462402
2010-08-09,4.917622089385986
2010-08-10,4.841605186462402
2010-08-11,4.67788028717041
2010-08-12,4.672033786773682
2010-08-13,4.607713222503662
2010-08-16,4.67788028717041
2010-08-17,4.835760116577148
2010-08-18,4.824064254760742
2010-08-19,4.67788028717041
2010-08-20,4.642795562744141
2010-08-23,4.584322929382324
2010-08-24,4.537543773651123
2010-08-25,4.666186332702637
2010-08-26,4.578475475311279
2010-08-27,4.765592098236084
2010-08-30,4.6486430168151855
2010-08-31,4.67788028717041
2010-09-01,4.847455024719238
2010-09-02,4.911772727966309
2010-09-03,4.999485492706299
2010-09-07,4.929316997528076
2010-09-08,4.88838529586792
2010-09-09,4.876690864562988
2010-09-10,4.911772727966309
2010-09-13,5.052112102508545
2010-09-14,5.08719539642334
2010-09-15,5.133975982666016
2010-09-16,5.057957172393799
2010-09-17,5.057957172393799
2010-09-20,5.180752754211426
2010-09-21,4.970247268676758
2010-09-22,4.9351630210876465
2010-09-23,4.753896713256836
