Date,IDT
2010-01-04,1.0333023071289062
2010-01-05,1.0221914052963257
2010-01-06,1.0110807418823242
2010-01-07,0.9377495646476746
2010-01-08,0.9577488303184509
2010-01-11,0.9755261540412903
2010-01-12,0.9533044695854187
2010-01-13,0.9466381072998047
2010-01-14,0.9488604068756104
2010-01-15,0.9510826468467712
2010-01-19,0.917750358581543
2010-01-20,0.8999728560447693
2010-01-21,0.8955285549163818
2010-01-22,0.9377495646476746
2010-01-25,0.9933037757873535
2010-01-26,1.037746787071228
2010-01-27,1.026635766029358
2010-01-28,0.9933037757873535
2010-01-29,0.9888588786125183
2010-02-01,1.0133030414581299
2010-02-02,0.9888588786125183
2010-02-03,1.0488572120666504
2010-02-04,1.0599677562713623
2010-02-05,1.075523018836975
2010-02-08,1.0777455568313599
2010-02-09,1.075523018836975
2010-02-10,1.093300700187683
2010-02-11,1.0999670028686523
2010-02-12,1.1199665069580078
2010-02-16,1.1177442073822021
2010-02-17,1.1088558435440063
2010-02-18,1.1044111251831055
2010-02-19,1.1066335439682007
2010-02-22,1.0955227613449097
2010-02-23,1.1021887063980103
2010-02-24,1.0733006000518799
2010-02-25,1.026635766029358
2010-02-26,1.0533016920089722
2010-03-01,1.071079134941101
2010-03-02,1.093300700187683
2010-03-03,1.1421875953674316
2010-03-04,1.1199665069580078
2010-03-05,1.1044111251831055
2010-03-08,1.1021887063980103
2010-03-09,1.1044111251831055
2010-03-10,1.0999670028686523
2010-03-11,1.1355217695236206
2010-03-12,1.2177412509918213
2010-03-15,1.2466291189193726
2010-03-16,1.2621843814849854
2010-03-17,1.2999613285064697
2010-03-18,1.4599562883377075
2010-03-19,1.6666169166564941
2010-03-22,1.6266177892684937
2010-03-23,1.6155072450637817
2010-03-24,1.6088403463363647
2010-03-25,1.5888409614562988
2010-03-26,1.4332901239395142
2010-03-29,1.5288430452346802
2010-03-30,1.4710670709609985
2010-03-31,1.4399570226669312
2010-04-01,1.451067328453064
2010-04-05,1.531065583229065
2010-04-06,1.555509090423584
2010-04-07,1.5177323818206787
2010-04-08,1.5199546813964844
2010-04-09,1.4866218566894531
2010-04-12,1.5266211032867432
2010-04-13,1.579952597618103
2010-04-14,1.6132851839065552
2010-04-15,1.637727975845337
2010-04-16,1.5866186618804932
2010-04-19,1.5932854413986206
2010-04-20,1.7177258729934692
2010-04-21,1.959940791130066
2010-04-22,2.0910487174987793
2010-04-23,2.046605348587036
2010-04-26,2.035493850708008
2010-04-27,2.0332722663879395
2010-04-28,1.984384536743164
2010-04-29,2.248821258544922
2010-04-30,2.2021563053131104
2010-05-03,2.3199303150177
2010-05-04,2.224377393722534
2010-05-05,2.15104603767395
2010-05-06,1.997718334197998
2010-05-07,1.802168369293213
2010-05-10,1.9643861055374146
2010-05-11,2.0999367237091064
2010-05-12,2.2021563053131104
2010-05-13,2.282153606414795
2010-05-14,2.2154884338378906
2010-05-17,2.1821563243865967
2010-05-18,2.2443771362304688
