Date,CNMD
2010-01-04,19.2627010345459
2010-01-05,18.60535430908203
2010-01-06,18.47222137451172
2010-01-07,18.863290786743164
2010-01-08,19.02971839904785
2010-01-11,18.87161636352539
2010-01-12,18.538787841796875
2010-01-13,18.588712692260742
2010-01-14,18.94650650024414
2010-01-15,19.05467987060547
2010-01-19,19.129560470581055
2010-01-20,18.87993621826172
2010-01-21,18.3474063873291
2010-01-22,17.956323623657227
2010-01-25,18.189311981201172
2010-01-26,18.16435432434082
2010-01-27,18.106103897094727
2010-01-28,18.039535522460938
2010-01-29,17.898075103759766
2010-02-01,18.61367416381836
2010-02-02,19.004751205444336
2010-02-03,18.854970932006836
2010-02-04,18.53046417236328
2010-02-05,18.09778594970703
2010-02-08,18.447256088256836
2010-02-09,18.61367416381836
2010-02-10,18.621990203857422
2010-02-11,18.68855857849121
2010-02-12,18.705198287963867
2010-02-16,18.705198287963867
2010-02-17,18.572071075439453
2010-02-18,18.63031005859375
2010-02-19,18.54710578918457
2010-02-22,18.447256088256836
2010-02-23,18.372365951538086
2010-02-24,18.430614471435547
2010-02-25,18.205955505371094
2010-02-26,18.205955505371094
2010-03-01,18.455575942993164
2010-03-02,18.53046417236328
2010-03-03,18.705198287963867
2010-03-04,18.94650650024414
2010-03-05,19.33757972717285
2010-03-08,19.395822525024414
2010-03-09,19.412466049194336
2010-03-10,19.728662490844727
2010-03-11,19.795223236083984
2010-03-12,19.861793518066406
2010-03-15,20.003253936767578
2010-03-16,19.978288650512695
2010-03-17,20.111419677734375
2010-03-18,20.361042022705078
2010-03-19,20.677236557006836
2010-03-22,20.893573760986328
2010-03-23,20.993423461914062
2010-03-24,20.718833923339844
2010-03-25,20.535778045654297
2010-03-26,20.3776798248291
2010-03-29,20.194623947143555
2010-03-30,20.194623947143555
2010-03-31,19.811866760253906
2010-04-01,20.277835845947266
2010-04-05,20.177982330322266
2010-04-06,20.119749069213867
2010-04-07,19.9699649810791
2010-04-08,19.953325271606445
2010-04-09,19.9699649810791
2010-04-12,19.994924545288086
2010-04-13,20.011568069458008
2010-04-14,20.693870544433594
2010-04-15,20.677236557006836
2010-04-16,20.66059112548828
2010-04-19,20.79372215270996
2010-04-20,20.868608474731445
2010-04-21,20.802047729492188
2010-04-22,20.735483169555664
2010-04-23,20.743797302246094
2010-04-26,20.502500534057617
2010-04-27,20.26951026916504
