Date,PRTA
2012-12-21,7.199999809265137
2012-12-24,6.800000190734863
2012-12-26,6.800000190734863
2012-12-27,6.900000095367432
2012-12-28,6.869999885559082
2012-12-31,7.329999923706055
2013-01-02,7.0
2013-01-03,6.829999923706055
2013-01-04,6.550000190734863
2013-01-07,6.289999961853027
2013-01-08,6.0
2013-01-09,6.039999961853027
2013-01-10,6.099999904632568
2013-01-11,6.429999828338623
2013-01-14,6.460000038146973
2013-01-15,6.260000228881836
2013-01-16,5.96999979019165
2013-01-17,5.840000152587891
2013-01-18,6.139999866485596
2013-01-22,5.960000038146973
2013-01-23,6.010000228881836
2013-01-24,6.0
2013-01-25,6.110000133514404
2013-01-28,6.050000190734863
2013-01-29,6.130000114440918
2013-01-30,6.050000190734863
2013-01-31,6.010000228881836
2013-02-01,6.440000057220459
2013-02-04,6.630000114440918
2013-02-05,6.510000228881836
2013-02-06,6.699999809265137
2013-02-07,6.619999885559082
2013-02-08,6.269999980926514
2013-02-11,6.070000171661377
2013-02-12,6.239999771118164
2013-02-13,6.050000190734863
2013-02-14,6.21999979019165
2013-02-15,6.010000228881836
2013-02-19,6.099999904632568
2013-02-20,6.239999771118164
2013-02-21,6.329999923706055
2013-02-22,6.570000171661377
2013-02-25,6.5
2013-02-26,6.550000190734863
2013-02-27,6.480000019073486
2013-02-28,6.170000076293945
2013-03-01,6.179999828338623
2013-03-04,6.440000057220459
2013-03-05,6.25
2013-03-06,6.28000020980835
2013-03-07,6.510000228881836
2013-03-08,6.409999847412109
2013-03-11,6.559999942779541
2013-03-12,6.599999904632568
2013-03-13,6.570000171661377
2013-03-14,6.619999885559082
2013-03-15,6.440000057220459
2013-03-18,6.650000095367432
2013-03-19,6.449999809265137
2013-03-20,6.570000171661377
2013-03-21,6.78000020980835
2013-03-22,6.639999866485596
2013-03-25,6.5
2013-03-26,6.590000152587891
2013-03-27,6.635000228881836
2013-03-28,6.690000057220459
2013-04-01,6.724999904632568
2013-04-02,6.610000133514404
2013-04-03,6.599999904632568
2013-04-04,6.639999866485596
2013-04-05,6.760000228881836
2013-04-08,6.730000019073486
2013-04-09,7.440000057220459
2013-04-10,7.630000114440918
2013-04-11,7.849999904632568
2013-04-12,7.860000133514404
2013-04-15,8.0
2013-04-16,7.929999828338623
2013-04-17,7.880000114440918
2013-04-18,8.020000457763672
2013-04-19,7.849999904632568
2013-04-22,8.0
2013-04-23,8.0
2013-04-24,7.940000057220459
2013-04-25,7.96999979019165
2013-04-26,8.279999732971191
2013-04-29,8.350000381469727
2013-04-30,8.260000228881836
2013-05-01,8.210000038146973
2013-05-02,8.300000190734863
2013-05-03,8.3100004196167
2013-05-06,8.380000114440918
2013-05-07,8.319999694824219
2013-05-08,8.0
2013-05-09,8.289999961853027
2013-05-10,8.274999618530273
2013-05-13,8.199999809265137
2013-05-14,8.34000015258789
2013-05-15,8.25
2013-05-16,9.329999923706055
2013-05-17,9.859999656677246
2013-05-20,10.0
2013-05-21,10.550000190734863
2013-05-22,10.0
2013-05-23,10.100000381469727
2013-05-24,10.279999732971191
2013-05-28,10.699999809265137
2013-05-29,10.350000381469727
2013-05-30,10.550000190734863
2013-05-31,9.9399995803833
2013-06-03,9.75
2013-06-04,9.510000228881836
2013-06-05,9.449999809265137
2013-06-06,9.479999542236328
2013-06-07,10.789999961853027
2013-06-10,10.930000305175781
2013-06-11,11.010000228881836
2013-06-12,10.979999542236328
2013-06-13,10.5600004196167
2013-06-14,11.359999656677246
2013-06-17,11.010000228881836
2013-06-18,12.770000457763672
2013-06-19,13.0
2013-06-20,13.710000038146973
2013-06-21,12.0600004196167
2013-06-24,11.359999656677246
2013-06-25,11.680000305175781
2013-06-26,11.180000305175781
2013-06-27,11.949999809265137
2013-06-28,12.90999984741211
2013-07-01,12.979999542236328
2013-07-02,12.390000343322754
2013-07-03,12.59000015258789
2013-07-05,12.529999732971191
2013-07-08,12.720000267028809
2013-07-09,13.149999618530273
2013-07-10,13.199999809265137
2013-07-11,13.399999618530273
2013-07-12,15.529999732971191
2013-07-15,16.75
2013-07-16,16.65999984741211
2013-07-17,16.969999313354492
2013-07-18,17.290000915527344
2013-07-19,16.579999923706055
2013-07-22,16.420000076293945
2013-07-23,16.68000030517578
2013-07-24,17.18000030517578
2013-07-25,17.25
2013-07-26,17.25
2013-07-29,16.989999771118164
2013-07-30,16.729999542236328
2013-07-31,17.3700008392334
2013-08-01,17.6299991607666
2013-08-02,17.649999618530273
2013-08-05,17.639999389648438
2013-08-06,17.145000457763672
2013-08-07,17.15999984741211
2013-08-08,16.889999389648438
2013-08-09,15.75
2013-08-12,16.260000228881836
2013-08-13,16.0
2013-08-14,16.0
2013-08-15,16.09000015258789
2013-08-16,16.049999237060547
2013-08-19,17.030000686645508
2013-08-20,17.25
2013-08-21,17.280000686645508
2013-08-22,17.719999313354492
2013-08-23,18.760000228881836
2013-08-26,20.989999771118164
2013-08-27,20.082000732421875
2013-08-28,20.729999542236328
2013-08-29,21.18000030517578
2013-08-30,20.040000915527344
2013-09-03,20.170000076293945
2013-09-04,20.200000762939453
2013-09-05,20.139999389648438
2013-09-06,19.709999084472656
2013-09-09,20.0
2013-09-10,19.989999771118164
2013-09-11,19.770000457763672
2013-09-12,19.780000686645508
2013-09-13,20.149999618530273
2013-09-16,20.094999313354492
2013-09-17,20.219999313354492
2013-09-18,19.780000686645508
2013-09-19,20.18000030517578
2013-09-20,20.979999542236328
2013-09-23,20.969999313354492
2013-09-24,19.860000610351562
2013-09-25,20.040000915527344
2013-09-26,19.989999771118164
