Date,COLD
2018-01-19,14.181211471557617
2018-01-22,14.197173118591309
2018-01-23,14.07746410369873
2018-01-24,14.069483757019043
2018-01-25,14.165250778198242
2018-01-26,14.165250778198242
2018-01-29,14.324858665466309
2018-01-30,14.292935371398926
2018-01-31,14.58820915222168
2018-02-01,14.580235481262207
2018-02-02,14.508406639099121
2018-02-05,14.316873550415039
2018-02-06,14.205150604248047
2018-02-07,14.380720138549805
2018-02-08,14.109383583068848
2018-02-09,14.197173118591309
2018-02-12,13.989678382873535
2018-02-13,14.332837104797363
2018-02-14,14.348796844482422
2018-02-15,14.30091667175293
2018-02-16,14.348796844482422
2018-02-20,14.340815544128418
2018-02-21,14.284957885742188
2018-02-22,14.24505615234375
2018-02-23,14.540328025817871
2018-02-26,14.436583518981934
2018-02-27,14.36475658416748
2018-02-28,14.36475658416748
2018-03-01,14.292935371398926
2018-03-02,14.284957885742188
2018-03-05,14.173227310180664
2018-03-06,14.181211471557617
2018-03-07,14.157269477844238
2018-03-08,14.253036499023438
2018-03-09,14.340815544128418
2018-03-12,14.468504905700684
2018-03-13,14.292935371398926
2018-03-14,14.316873550415039
2018-03-15,14.628113746643066
2018-03-16,14.89944839477539
2018-03-19,14.923388481140137
2018-03-20,14.939348220825195
2018-03-21,15.067041397094727
2018-03-22,15.04309368133545
2018-03-23,14.891468048095703
2018-03-26,14.883488655090332
2018-03-27,14.73984146118164
2018-03-28,14.981083869934082
2018-03-29,15.342937469482422
2018-04-02,14.940875053405762
2018-04-03,14.997163772583008
2018-04-04,15.133865356445312
2018-04-05,15.149950981140137
2018-04-06,15.141904830932617
2018-04-09,15.326859474182129
2018-04-10,15.359027862548828
2018-04-11,15.648515701293945
2018-04-12,15.51181411743164
2018-04-13,15.294692039489746
2018-04-16,15.56810188293457
2018-04-17,15.664594650268555
2018-04-18,15.857592582702637
2018-04-19,15.857592582702637
2018-04-20,15.962132453918457
2018-04-23,16.06666374206543
2018-04-24,16.147077560424805
2018-04-25,16.24358367919922
2018-04-26,16.348115921020508
2018-04-27,16.742136001586914
2018-04-30,16.573270797729492
2018-05-01,16.573270797729492
2018-05-02,16.49285888671875
2018-05-03,16.66173553466797
2018-05-04,16.67780876159668
2018-05-07,16.878847122192383
2018-05-08,16.999465942382812
2018-05-09,17.28091812133789
2018-05-10,17.232666015625
2018-05-11,17.932268142700195
2018-05-14,17.22462272644043
2018-05-15,16.911008834838867
2018-05-16,17.216585159301758
2018-05-17,17.570405960083008
2018-05-18,17.570405960083008
2018-05-21,17.602567672729492
2018-05-22,17.22462272644043
2018-05-23,17.401533126831055
2018-05-24,17.433704376220703
2018-05-25,17.377408981323242
2018-05-29,17.232666015625
2018-05-30,17.498031616210938
2018-05-31,16.56523323059082
2018-06-01,17.168338775634766
2018-06-04,17.691024780273438
2018-06-05,17.30504035949707
2018-06-06,17.449783325195312
2018-06-07,17.481948852539062
2018-06-08,17.449783325195312
2018-06-11,17.385448455810547
2018-06-12,17.449783325195312
2018-06-13,17.449783325195312
2018-06-14,17.425657272338867
2018-06-15,17.28895378112793
2018-06-18,17.46586036682129
2018-06-19,17.489990234375
2018-06-20,17.787519454956055
2018-06-21,17.89205551147461
2018-06-22,17.900100708007812
2018-06-25,18.12525749206543
2018-06-26,18.22175407409668
2018-06-27,17.787519454956055
2018-06-28,18.045425415039062
2018-06-29,17.858896255493164
2018-07-02,17.73723602294922
2018-07-03,17.875110626220703
2018-07-05,18.012990951538086
2018-07-06,18.085983276367188
2018-07-09,17.43715476989746
2018-07-10,17.53447723388672
2018-07-11,17.38848876953125
2018-07-12,17.469600677490234
2018-07-13,17.615583419799805
2018-07-16,17.550695419311523
2018-07-17,17.266834259033203
2018-07-18,17.23440170288086
2018-07-19,17.38848876953125
2018-07-20,17.323610305786133
2018-07-23,17.266834259033203
2018-07-24,17.43715476989746
2018-07-25,17.53447723388672
2018-07-26,17.510147094726562
2018-07-27,17.226289749145508
2018-07-30,17.291168212890625
2018-07-31,17.445262908935547
2018-08-01,17.36416244506836
2018-08-02,17.469600677490234
2018-08-03,17.583145141601562
2018-08-06,17.575029373168945
2018-08-07,17.429046630859375
2018-08-08,17.33172035217285
2018-08-09,17.43715476989746
2018-08-10,18.767248153686523
2018-08-13,18.637479782104492
2018-08-14,18.75102424621582
2018-08-15,18.75102424621582
2018-08-16,19.083545684814453
2018-08-17,19.359296798706055
2018-08-20,19.456621170043945
2018-08-21,19.545835494995117
2018-08-22,19.27819061279297
2018-08-23,19.343076705932617
2018-08-24,19.50528335571289
2018-08-27,19.62693214416504
2018-08-28,19.764816284179688
2018-08-29,19.98379135131836
2018-08-30,19.88646697998047
2018-08-31,20.194658279418945
2018-09-04,20.178438186645508
2018-09-05,20.178438186645508
2018-09-06,20.056785583496094
2018-09-07,20.016233444213867
2018-09-10,20.08111572265625
2018-09-11,20.129770278930664
2018-09-12,19.98379135131836
2018-09-13,20.421751022338867
2018-09-14,20.202768325805664
2018-09-17,20.835371017456055
2018-09-18,20.7542667388916
2018-09-19,20.494741439819336
2018-09-20,20.494741439819336
2018-09-21,20.583955764770508
2018-09-24,20.478519439697266
2018-09-25,20.429853439331055
2018-09-26,20.259538650512695
2018-09-27,20.29876708984375
2018-09-28,20.44586181640625
2018-10-01,20.3723087310791
2018-10-02,20.44586181640625
2018-10-03,20.44586181640625
2018-10-04,20.118989944458008
2018-10-05,20.33145523071289
2018-10-08,20.52758026123047
2018-10-09,20.609296798706055
2018-10-10,20.241565704345703
2018-10-11,19.85749053955078
2018-10-12,19.718570709228516
