Date,FCPT
2015-11-10,8.189887046813965
2015-11-11,8.507355690002441
2015-11-12,8.250168800354004
2015-11-13,8.33455753326416
2015-11-16,8.137643814086914
2015-11-17,7.976902008056641
2015-11-18,7.695601463317871
2015-11-19,7.940736293792725
2015-11-20,7.928679943084717
2015-11-23,7.876438617706299
2015-11-24,7.912605285644531
2015-11-25,7.876438617706299
2015-11-27,7.840272426605225
2015-11-30,7.956811904907227
2015-12-01,8.318482398986816
2015-12-02,8.330537796020508
2015-12-03,8.398852348327637
2015-12-04,8.72436237335205
2015-12-07,8.885103225708008
2015-12-08,8.68819522857666
2015-12-09,8.627914428710938
2015-12-10,8.736416816711426
2015-12-11,8.595766067504883
2015-12-14,8.503335952758789
2015-12-15,8.559597969055176
2015-12-16,8.68819522857666
2015-12-17,8.80875015258789
2015-12-18,9.118182182312012
2015-12-21,9.38340950012207
2015-12-22,9.28696346282959
2015-12-23,9.4035005569458
2015-12-24,9.415558815002441
2015-12-28,9.572284698486328
2015-12-29,9.724989891052246
2015-12-30,9.64059829711914
2015-12-31,9.70891284942627
2016-01-04,9.467799186706543
2016-01-05,9.399480819702148
2016-01-06,9.371353149414062
2016-01-07,9.311073303222656
2016-01-08,9.303034782409668
2016-01-11,9.371353149414062
2016-01-12,9.162385940551758
2016-01-13,9.214629173278809
2016-01-14,9.15786361694336
2016-01-15,9.252470970153809
2016-01-19,9.504751205444336
2016-01-20,9.517365455627441
2016-01-21,9.870560646057129
2016-01-22,10.11653995513916
2016-01-25,10.28052043914795
2016-01-26,10.450814247131348
2016-01-27,10.255292892456055
2016-01-28,10.381434440612793
2016-01-29,10.658946990966797
2016-02-01,10.841852188110352
2016-02-02,10.627411842346191
2016-02-03,10.627411842346191
2016-02-04,10.450814247131348
2016-02-05,10.22375774383545
2016-02-08,9.54890251159668
2016-02-09,9.460601806640625
2016-02-10,9.359686851501465
2016-02-11,9.618280410766602
2016-02-12,9.908407211303711
2016-02-16,10.13546085357666
2016-02-17,10.179609298706055
2016-02-18,10.20483684539795
2016-02-19,10.394049644470215
2016-02-22,10.299444198608398
2016-02-23,10.085002899169922
2016-02-24,9.990397453308105
2016-02-25,10.343592643737793
2016-02-26,10.28683090209961
2016-02-29,10.34990119934082
2016-03-01,10.715710639953613
2016-03-02,11.131977081298828
2016-03-03,10.886001586914062
2016-03-04,10.822929382324219
2016-03-07,11.150897979736328
2016-03-08,10.961686134338379
2016-03-09,11.049981117248535
2016-03-10,10.841852188110352
2016-03-11,11.459946632385254
2016-03-14,11.327496528625488
2016-03-15,11.207661628723145
2016-03-16,11.213971138000488
2016-03-17,11.277037620544434
2016-03-18,11.232889175415039
2016-03-21,11.403182983398438
2016-03-22,11.384258270263672
2016-03-23,11.264427185058594
2016-03-24,11.39687442779541
2016-03-28,11.516706466674805
2016-03-29,11.627291679382324
2016-03-30,11.66564655303955
2016-03-31,11.473883628845215
2016-04-01,11.339649200439453
2016-04-04,11.109527587890625
2016-04-05,11.147883415222168
2016-04-06,11.192625045776367
2016-04-07,11.320467948913574
2016-04-08,11.448314666748047
2016-04-11,11.441917419433594
2016-04-12,11.448314666748047
2016-04-13,11.473883628845215
2016-04-14,11.627291679382324
2016-04-15,11.499449729919434
2016-04-18,11.614509582519531
2016-04-19,11.684823989868164
2016-04-20,11.556981086730957
2016-04-21,11.243762969970703
2016-04-22,11.339649200439453
2016-04-25,11.486665725708008
2016-04-26,11.35242748260498
2016-04-27,11.397174835205078
2016-04-28,11.467489242553711
2016-04-29,11.346036911010742
2016-05-02,11.486665725708008
2016-05-03,11.703997611999512
2016-05-04,12.132270812988281
2016-05-05,12.081134796142578
2016-05-06,12.15783977508545
2016-05-09,12.164233207702637
2016-05-10,11.959683418273926
2016-05-11,11.889364242553711
2016-05-12,11.991647720336914
2016-05-13,12.170623779296875
2016-05-16,12.298465728759766
2016-05-17,12.189797401428223
2016-05-18,12.087528228759766
2016-05-19,12.087528228759766
2016-05-20,12.119486808776855
2016-05-23,12.260110855102539
2016-05-24,12.400736808776855
2016-05-25,12.439092636108398
2016-05-26,12.343210220336914
2016-05-27,12.490228652954102
2016-05-31,12.426307678222656
2016-06-01,12.266504287719727
2016-06-02,12.330425262451172
2016-06-03,12.566934585571289
2016-06-06,12.656426429748535
2016-06-07,12.71395492553711
2016-06-08,12.816227912902832
2016-06-09,12.912111282348633
2016-06-10,12.873757362365723
2016-06-13,12.797054290771484
2016-06-14,12.618069648742676
2016-06-15,12.841798782348633
2016-06-16,12.835404396057129
2016-06-17,12.822622299194336
2016-06-20,12.771482467651367
2016-06-21,12.803445816040039
2016-06-22,12.707562446594238
2016-06-23,12.541364669799805
2016-06-24,12.528581619262695
2016-06-27,12.490228652954102
2016-06-28,12.945256233215332
2016-06-29,13.081177711486816
2016-06-30,13.327140808105469
2016-07-01,13.39834213256836
2016-07-05,13.547207832336426
2016-07-06,13.553683280944824
2016-07-07,13.43070125579834
2016-07-08,13.566624641418457
2016-07-11,13.793170928955078
2016-07-12,13.799640655517578
2016-07-13,13.799640655517578
2016-07-14,13.514849662780762
2016-07-15,13.521317481994629
2016-07-18,13.67665958404541
2016-07-19,13.70255184173584
2016-07-20,13.728442192077637
2016-07-21,13.819063186645508
2016-07-22,13.8837890625
2016-07-25,13.935569763183594
2016-07-26,13.851422309875488
2016-07-27,13.838475227355957
2016-07-28,13.870842933654785
2016-07-29,14.052077293395996
2016-08-01,14.090910911560059
2016-08-02,13.806117057800293
2016-08-03,13.864374160766602
2016-08-04,13.631354331970215
2016-08-05,13.851422309875488
