Date,JAKK
2010-01-04,114.5703125
2010-01-05,114.11166381835938
2010-01-06,115.30416107177734
2010-01-07,117.32218933105469
2010-01-08,115.02896118164062
2010-01-11,105.85599517822266
2010-01-12,105.85599517822266
2010-01-13,109.34171295166016
2010-01-14,108.69962310791016
2010-01-15,106.58984375
2010-01-19,105.39735412597656
2010-01-20,103.1041030883789
2010-01-21,101.2695083618164
2010-01-22,99.89359283447266
2010-01-25,99.52664947509766
2010-01-26,99.61837768554688
2010-01-27,100.81085968017578
2010-01-28,102.37027740478516
2010-01-29,100.90259552001953
2010-02-01,102.64545440673828
2010-02-02,102.5537338256836
2010-02-03,103.83793640136719
2010-02-04,100.99433135986328
2010-02-05,102.18681335449219
2010-02-08,101.81989288330078
2010-02-09,105.30561828613281
2010-02-10,104.02140045166016
2010-02-11,107.14022064208984
2010-02-12,109.06654357910156
2010-02-16,109.7086410522461
2010-02-17,109.7086410522461
2010-02-18,111.08458709716797
2010-02-19,112.36878967285156
2010-02-22,112.2770767211914
2010-02-23,111.63496398925781
2010-02-24,112.09361267089844
2010-02-25,114.75376892089844
2010-02-26,113.28610229492188
2010-03-01,115.5793228149414
2010-03-02,114.66204833984375
2010-03-03,109.34171295166016
2010-03-04,109.7086410522461
2010-03-05,116.12972259521484
2010-03-08,114.84551239013672
2010-03-09,116.12972259521484
2010-03-10,117.87257385253906
2010-03-11,117.78084564208984
2010-03-12,117.32218933105469
2010-03-15,118.97332763671875
2010-03-16,122.1838607788086
2010-03-17,123.19287109375
2010-03-18,123.00944519042969
2010-03-19,126.03650665283203
2010-03-22,127.87110900878906
2010-03-23,129.88919067382812
2010-03-24,126.77037048339844
2010-03-25,123.92674255371094
2010-03-26,124.11018371582031
2010-03-29,123.74327850341797
2010-03-30,123.92674255371094
2010-03-31,119.98235321044922
2010-04-01,121.90865325927734
2010-04-05,126.03650665283203
2010-04-06,126.49515533447266
2010-04-07,128.5132293701172
2010-04-08,130.89817810058594
2010-04-09,133.37489318847656
2010-04-12,133.0996856689453
